City,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Phillipsburg,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Marlboro,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 ,20180812
Mount Vernon,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180812
Oklahoma City,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 ,20180812
Greensburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Pittsburgh,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Andrews,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Myrtle Beach,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Dallas,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 ,20180812
Fort Worth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Houston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mesquite,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Norfolk,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Richmond,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Seattle,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Churchville,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 ,20180812
Flint Township,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Friendly,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180812
Marvin,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
North Druid Hills,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 ,20180812
Spokane Valley,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
,497,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 ,20180812
Durham,182,92,247,42.11%,3.06,0:06:00,0.00%,0,$0.00 ,20180819
Charlotte,46,23,57,45.61%,2.3,0:04:28,0.00%,0,$0.00 ,20180819
Atlanta,19,11,27,29.63%,3.56,0:06:54,0.00%,0,$0.00 ,20180819
Raleigh,19,5,32,62.50%,2.56,0:04:47,0.00%,0,$0.00 ,20180819
Franklin,18,9,25,36.00%,2.96,0:09:25,0.00%,0,$0.00 ,20180819
Chapel Hill,9,6,12,33.33%,2.92,0:06:36,0.00%,0,$0.00 ,20180819
North Druid Hills,9,7,9,55.56%,1.67,0:03:19,0.00%,0,$0.00 ,20180819
New York,8,6,12,58.33%,2,0:02:33,0.00%,0,$0.00 ,20180819
Cary,7,4,10,60.00%,2,0:03:27,0.00%,0,$0.00 ,20180819
Creedmoor,7,5,7,28.57%,4,0:12:31,0.00%,0,$0.00 ,20180819
Winston-Salem,7,4,7,42.86%,1.57,0:00:22,0.00%,0,$0.00 ,20180819
Greensboro,6,4,9,77.78%,1.56,0:01:13,0.00%,0,$0.00 ,20180819
Roanoke Rapids,5,3,6,33.33%,3.67,0:11:21,0.00%,0,$0.00 ,20180819
Cincinnati,5,5,6,33.33%,4.17,0:00:55,0.00%,0,$0.00 ,20180819
High Point,4,1,7,42.86%,2.86,0:03:38,0.00%,0,$0.00 ,20180819
Hillsborough,4,1,5,60.00%,1.8,0:00:14,0.00%,0,$0.00 ,20180819
Mebane,4,1,4,0.00%,4.5,0:11:47,0.00%,0,$0.00 ,20180819
(not set),3,3,4,0.00%,5.25,0:18:50,0.00%,0,$0.00 ,20180819
Orlando,3,0,3,66.67%,1.33,0:05:03,0.00%,0,$0.00 ,20180819
Henderson,3,3,3,66.67%,1.33,0:00:24,0.00%,0,$0.00 ,20180819
Sylva,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Dallas,3,0,6,66.67%,3.17,0:10:13,0.00%,0,$0.00 ,20180819
Chantilly,3,3,5,40.00%,3.8,0:05:26,0.00%,0,$0.00 ,20180819
Burnsville,2,2,2,50.00%,1.5,0:01:43,0.00%,0,$0.00 ,20180819
Jacksonville,2,0,3,33.33%,3,0:03:32,0.00%,0,$0.00 ,20180819
Morrisville,2,2,2,50.00%,1.5,0:00:43,0.00%,0,$0.00 ,20180819
Oxford,2,1,2,0.00%,2.5,0:05:16,0.00%,0,$0.00 ,20180819
Roxboro,2,1,3,0.00%,4.67,0:07:05,0.00%,0,$0.00 ,20180819
Swannanoa,2,1,3,33.33%,3.67,0:14:54,0.00%,0,$0.00 ,20180819
Whiteville,2,1,4,0.00%,2.75,0:07:41,0.00%,0,$0.00 ,20180819
Williamston,2,1,2,0.00%,2.5,0:12:24,0.00%,0,$0.00 ,20180819
Philadelphia,2,0,3,0.00%,2,0:07:23,0.00%,0,$0.00 ,20180819
Charleston,2,2,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180819
Myrtle Beach,2,1,2,0.00%,2,0:00:43,0.00%,0,$0.00 ,20180819
Charlottesville,2,1,3,66.67%,1.33,0:00:42,0.00%,0,$0.00 ,20180819
Norfolk,2,1,2,50.00%,2.5,0:01:53,0.00%,0,$0.00 ,20180819
Fearrington,2,0,2,50.00%,2.5,0:02:40,0.00%,0,$0.00 ,20180819
Friendly,2,0,2,0.00%,2.5,0:11:58,0.00%,0,$0.00 ,20180819
Mobile,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180819
Washington,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180819
Miami Beach,1,0,1,0.00%,3,0:03:47,0.00%,0,$0.00 ,20180819
Riverdale,1,1,2,50.00%,1.5,0:00:38,0.00%,0,$0.00 ,20180819
Roswell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Louisville,1,1,1,0.00%,4,0:00:57,0.00%,0,$0.00 ,20180819
Addis,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180819
Baltimore,1,1,1,0.00%,5,0:01:33,0.00%,0,$0.00 ,20180819
Hyattsville,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Bay Saint Louis,1,1,2,50.00%,1.5,0:02:53,0.00%,0,$0.00 ,20180819
Apex,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Butner,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Concord,1,0,1,0.00%,2,0:00:17,0.00%,0,$0.00 ,20180819
Fuquay Varina,1,1,2,50.00%,2,0:00:15,0.00%,0,$0.00 ,20180819
Kernersville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kittrell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Knightdale,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 ,20180819
Leland,1,1,1,0.00%,3,0:02:46,0.00%,0,$0.00 ,20180819
Siler City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wake Forest,1,1,4,0.00%,2,0:00:27,0.00%,0,$0.00 ,20180819
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wilson,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Newburgh,1,0,3,66.67%,2,0:00:43,0.00%,0,$0.00 ,20180819
Lancaster,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Blythewood,1,0,1,0.00%,5,0:13:38,0.00%,0,$0.00 ,20180819
Columbia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Conway,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kingstree,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Manning,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
North Myrtle Beach,1,0,1,0.00%,3,0:01:10,0.00%,0,$0.00 ,20180819
Sumter,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Johnson City,1,1,2,50.00%,2.5,0:04:18,0.00%,0,$0.00 ,20180819
Nashville,1,1,2,0.00%,3,0:01:37,0.00%,0,$0.00 ,20180819
Carrollton,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Kilgore,1,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180819
