City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Nashville,google,1,1,2,0.00%,3,0:01:37,0.00%,0,$0.00 ,20180819
Carrollton,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Dallas,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Dallas,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kilgore,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kilgore,myubc.org,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180819
Missouri City,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Annandale,(direct),1,1,1,0.00%,10,0:08:57,0.00%,0,$0.00 ,20180819
Annandale,google,1,0,1,0.00%,7,0:03:57,0.00%,0,$0.00 ,20180819
Arlington,myubc.org,1,0,1,0.00%,5,0:04:56,0.00%,0,$0.00 ,20180819
Chantilly,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Charlottesville,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Newport News,myubc.org,1,1,1,0.00%,10,0:06:47,0.00%,0,$0.00 ,20180819
Norfolk,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Norfolk,google,1,1,1,0.00%,4,0:03:46,0.00%,0,$0.00 ,20180819
Virginia Beach,google,1,0,1,0.00%,18,0:38:44,0.00%,0,$0.00 ,20180819
Seattle,(direct),1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 ,20180819
Friendly,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Friendly,google,1,0,1,0.00%,3,0:23:52,0.00%,0,$0.00 ,20180819
Myrtle Grove,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Panthersville,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Spokane Valley,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wheaton-Glenmont,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
,,487,235,601,42.93%,2.82,0:05:23,0.00%,0,$0.00 ,20180819
Durham,google,70,39,81,59.26%,2.36,0:04:50,0.00%,0,$0.00 ,20180826
Durham,myubc.org,62,21,78,16.67%,3.88,0:06:26,0.00%,0,$0.00 ,20180826
Durham,(direct),52,20,68,48.53%,2.22,0:04:54,0.00%,0,$0.00 ,20180826
Charlotte,google,20,6,27,48.15%,2.52,0:05:18,0.00%,0,$0.00 ,20180826
Raleigh,google,15,7,18,33.33%,3.44,0:11:46,0.00%,0,$0.00 ,20180826
Durham,bing,12,5,16,62.50%,1.75,0:04:31,0.00%,0,$0.00 ,20180826
Raleigh,(direct),11,4,13,30.77%,2.38,0:05:10,0.00%,0,$0.00 ,20180826
Charlotte,(direct),10,6,15,53.33%,3.27,0:05:41,0.00%,0,$0.00 ,20180826
Franklin,(direct),10,6,11,72.73%,1.27,0:01:53,0.00%,0,$0.00 ,20180826
Charlotte,myubc.org,9,5,10,30.00%,2.8,0:03:22,0.00%,0,$0.00 ,20180826
Atlanta,google,8,5,9,66.67%,1.67,0:03:31,0.00%,0,$0.00 ,20180826
Atlanta,(direct),7,1,9,44.44%,2.56,0:01:47,0.00%,0,$0.00 ,20180826
Raleigh,myubc.org,5,2,6,16.67%,10.83,0:15:38,0.00%,0,$0.00 ,20180826
Greensboro,(direct),4,4,4,75.00%,1.25,0:03:47,0.00%,0,$0.00 ,20180826
New York,(direct),4,4,4,50.00%,3,0:07:02,0.00%,0,$0.00 ,20180826
Norfolk,myubc.org,4,2,7,14.29%,2.43,0:03:24,0.00%,0,$0.00 ,20180826
Atlanta,myubc.org,3,1,4,50.00%,1.75,0:00:21,0.00%,0,$0.00 ,20180826
Durham,yahoo,3,2,4,50.00%,1.75,0:01:37,0.00%,0,$0.00 ,20180826
Franklin,google,3,1,3,33.33%,2,0:16:06,0.00%,0,$0.00 ,20180826
Hillsborough,myubc.org,3,2,4,0.00%,2,0:00:46,0.00%,0,$0.00 ,20180826
Mebane,myubc.org,3,1,4,0.00%,3.25,0:00:30,0.00%,0,$0.00 ,20180826
Norfolk,google,3,2,4,25.00%,4,0:11:27,0.00%,0,$0.00 ,20180826
Miami,(direct),2,1,2,50.00%,1.5,0:04:31,0.00%,0,$0.00 ,20180826
Smyrna,myubc.org,2,2,2,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180826
Apex,google,2,2,3,66.67%,3.67,0:07:24,0.00%,0,$0.00 ,20180826
Cary,bing,2,2,3,66.67%,1.67,0:00:52,0.00%,0,$0.00 ,20180826
Cary,myubc.org,2,1,3,33.33%,3.67,0:10:32,0.00%,0,$0.00 ,20180826
Cashiers,(direct),2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 ,20180826
Chapel Hill,myubc.org,2,2,2,0.00%,3,0:00:21,0.00%,0,$0.00 ,20180826
Durham,m.facebook.com,2,1,3,66.67%,1.33,0:00:12,0.00%,0,$0.00 ,20180826
Franklin,myubc.org,2,2,2,0.00%,3.5,0:10:08,0.00%,0,$0.00 ,20180826
Greensboro,google,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Greensboro,myubc.org,2,2,3,33.33%,2,0:00:54,0.00%,0,$0.00 ,20180826
Hillsborough,google,2,1,3,33.33%,2.33,0:01:19,0.00%,0,$0.00 ,20180826
Huntersville,google,2,2,2,50.00%,1.5,0:01:20,0.00%,0,$0.00 ,20180826
Mebane,google,2,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Raleigh,bing,2,0,3,66.67%,3.67,0:16:51,0.00%,0,$0.00 ,20180826
Wake Forest,google,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Wake Forest,m.facebook.com,2,2,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180826
Wake Forest,myubc.org,2,1,3,33.33%,2,0:05:48,0.00%,0,$0.00 ,20180826
Wilmington,myubc.org,2,1,3,33.33%,5.33,0:05:40,0.00%,0,$0.00 ,20180826
New York,google,2,1,3,66.67%,1.33,0:03:08,0.00%,0,$0.00 ,20180826
New York,m.facebook.com,2,2,2,50.00%,2,0:00:22,0.00%,0,$0.00 ,20180826
Blythewood,(direct),2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Norfolk,(direct),2,1,2,50.00%,4,0:06:07,0.00%,0,$0.00 ,20180826
Virginia Beach,(direct),2,1,2,50.00%,2,0:01:31,0.00%,0,$0.00 ,20180826
Virginia Beach,google,2,0,2,0.00%,3.5,0:04:21,0.00%,0,$0.00 ,20180826
Virginia Beach,myubc.org,2,0,2,0.00%,3,0:05:02,0.00%,0,$0.00 ,20180826
Miramar,bing,2,2,3,66.67%,1.33,0:01:24,0.00%,0,$0.00 ,20180826
(not set),myubc.org,1,0,1,0.00%,17,0:24:55,0.00%,0,$0.00 ,20180826
Corona,myubc.org,1,0,1,0.00%,6,0:06:43,0.00%,0,$0.00 ,20180826
Norwalk,yahoo,1,0,2,50.00%,2.5,0:11:52,0.00%,0,$0.00 ,20180826
Miami,myubc.org,1,1,2,0.00%,3.5,0:01:34,0.00%,0,$0.00 ,20180826
Tampa,m.facebook.com,1,1,1,0.00%,3,0:01:55,0.00%,0,$0.00 ,20180826
Atlanta,cvriskcalculator.com,1,0,3,33.33%,1.67,0:00:14,0.00%,0,$0.00 ,20180826
Atlanta,yahoo,1,0,1,0.00%,8,0:07:44,0.00%,0,$0.00 ,20180826
McDonough,(direct),1,0,2,50.00%,2.5,0:08:00,0.00%,0,$0.00 ,20180826
Indianapolis,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kokomo,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Emporia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Louisville,myubc.org,1,1,1,0.00%,6,0:16:14,0.00%,0,$0.00 ,20180826
Elkridge,myubc.org,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180826
Salisbury,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kansas City,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Angier,myubc.org,1,0,1,0.00%,4,0:01:27,0.00%,0,$0.00 ,20180826
Apex,myubc.org,1,0,1,0.00%,5,0:02:07,0.00%,0,$0.00 ,20180826
Bailey,myubc.org,1,1,1,0.00%,9,0:10:54,0.00%,0,$0.00 ,20180826
Benson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Benson,myubc.org,1,0,1,0.00%,3,0:00:32,0.00%,0,$0.00 ,20180826
Boone,myubc.org,1,1,2,50.00%,2.5,0:01:38,0.00%,0,$0.00 ,20180826
Buies Creek,(direct),1,1,1,0.00%,3,0:17:37,0.00%,0,$0.00 ,20180826
Burnsville,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Carrboro,(direct),1,0,1,0.00%,3,0:04:17,0.00%,0,$0.00 ,20180826
Cary,(direct),1,0,1,0.00%,2,0:08:31,0.00%,0,$0.00 ,20180826
Cary,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Chapel Hill,google,1,0,3,33.33%,4,0:09:20,0.00%,0,$0.00 ,20180826
Charlotte,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Creedmoor,myubc.org,1,0,1,0.00%,4,0:05:35,0.00%,0,$0.00 ,20180826
Durham,dnserrorassist.att.net,1,0,2,50.00%,1.5,0:00:10,0.00%,0,$0.00 ,20180826
Farmville,m.facebook.com,1,1,1,0.00%,3,0:00:35,0.00%,0,$0.00 ,20180826
Fayetteville,google,1,0,2,50.00%,3,0:03:03,0.00%,0,$0.00 ,20180826
Fayetteville,myubc.org,1,1,1,0.00%,5,0:29:41,0.00%,0,$0.00 ,20180826
Franklin,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Graham,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Graham,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Greensboro,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Greensboro,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Greenville,google,1,1,1,0.00%,12,0:13:45,0.00%,0,$0.00 ,20180826
High Point,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
High Point,myubc.org,1,0,1,0.00%,3,0:14:42,0.00%,0,$0.00 ,20180826
Hillsborough,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Huntersville,myubc.org,1,1,1,0.00%,3,0:02:16,0.00%,0,$0.00 ,20180826
Kinston,(direct),1,0,2,50.00%,3.5,0:11:07,0.00%,0,$0.00 ,20180826
Kinston,myubc.org,1,0,1,0.00%,4,0:06:47,0.00%,0,$0.00 ,20180826
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180826
Marion,google,1,0,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180826
Mebane,bing,1,1,1,0.00%,2,0:05:28,0.00%,0,$0.00 ,20180826
Oxford,(direct),1,0,1,0.00%,3,0:19:09,0.00%,0,$0.00 ,20180826
Raleigh,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Reidsville,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Roxboro,google,1,0,1,0.00%,6,0:03:21,0.00%,0,$0.00 ,20180826
Roxboro,myubc.org,1,0,3,33.33%,6.67,0:28:39,0.00%,0,$0.00 ,20180826
Siler City,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Swannanoa,myubc.org,1,0,1,0.00%,8,0:19:07,0.00%,0,$0.00 ,20180826
Swannanoa,yahoo,1,0,2,50.00%,1.5,0:00:15,0.00%,0,$0.00 ,20180826
Swansboro,myubc.org,1,1,1,0.00%,3,0:00:25,0.00%,0,$0.00 ,20180826
Sylva,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Sylva,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Williamston,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Winston-Salem,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Winston-Salem,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Winston-Salem,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180826
Cherry Hill,(direct),1,0,1,0.00%,3,0:11:29,0.00%,0,$0.00 ,20180826
Mount Laurel,(direct),1,0,2,50.00%,3.5,0:17:13,0.00%,0,$0.00 ,20180826
Newark,google,1,0,2,50.00%,4.5,0:09:23,0.00%,0,$0.00 ,20180826
Newark,myubc.org,1,0,1,0.00%,7,0:09:20,0.00%,0,$0.00 ,20180826
New York,myubc.org,1,0,3,0.00%,3,0:01:16,0.00%,0,$0.00 ,20180826
Newburgh,google,1,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20180826
Philadelphia,(direct),1,0,2,0.00%,2,0:12:29,0.00%,0,$0.00 ,20180826
Pittsburgh,m.facebook.com,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Columbia,myubc.org,1,1,1,0.00%,7,0:01:03,0.00%,0,$0.00 ,20180826
Conway,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Myrtle Beach,bing,1,1,1,0.00%,4,0:13:48,0.00%,0,$0.00 ,20180826
Myrtle Beach,myubc.org,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180826
Chattanooga,myubc.org,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180826
Knoxville,(direct),1,0,1,0.00%,3,0:00:46,0.00%,0,$0.00 ,20180826
Nashville,(direct),1,1,3,33.33%,4,0:13:14,0.00%,0,$0.00 ,20180826
Fort Worth,(direct),1,1,1,0.00%,4,0:25:28,0.00%,0,$0.00 ,20180826
Fort Worth,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Rosenberg,myubc.org,1,1,1,0.00%,4,0:01:24,0.00%,0,$0.00 ,20180826
Waco,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Chantilly,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Colonial Heights,(direct),1,0,1,0.00%,12,0:32:09,0.00%,0,$0.00 ,20180826
Reston,myubc.org,1,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 ,20180826
Richmond,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Brookhaven,myubc.org,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180826
Dale City,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Friendly,(direct),1,0,3,0.00%,4,0:10:13,0.00%,0,$0.00 ,20180826
Friendly,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Holden Beach,(direct),1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
North Plainfield,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Saxapahaw,(direct),1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180826
Spokane Valley,(direct),1,0,1,0.00%,2,0:09:53,0.00%,0,$0.00 ,20180826
Saint Charles,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180826
West Springfield,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
,,471,215,600,44.33%,2.74,0:05:08,0.00%,0,$0.00 ,20180826
Durham,google,51,18,70,58.57%,2.23,0:04:45,0.00%,0,$0.00 ,20180902
Durham,(direct),46,19,61,49.18%,2.3,0:05:40,0.00%,0,$0.00 ,20180902
Durham,myubc.org,43,13,60,13.33%,3.18,0:05:11,0.00%,0,$0.00 ,20180902
Charlotte,google,15,5,25,52.00%,2.28,0:05:19,0.00%,0,$0.00 ,20180902
Charlotte,myubc.org,15,7,19,21.05%,3.47,0:07:25,0.00%,0,$0.00 ,20180902
Charlotte,(direct),12,4,15,46.67%,2.53,0:06:20,0.00%,0,$0.00 ,20180902
Durham,bing,10,1,13,61.54%,1.54,0:01:18,0.00%,0,$0.00 ,20180902
Raleigh,(direct),9,5,12,75.00%,2.33,0:02:48,0.00%,0,$0.00 ,20180902
Atlanta,myubc.org,8,2,8,12.50%,4.25,0:06:28,0.00%,0,$0.00 ,20180902
Atlanta,(direct),7,4,9,77.78%,1.22,0:02:02,0.00%,0,$0.00 ,20180902
Raleigh,myubc.org,6,4,6,33.33%,2.5,0:00:24,0.00%,0,$0.00 ,20180902
Atlanta,google,5,4,7,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Chapel Hill,myubc.org,5,2,9,0.00%,2.22,0:00:20,0.00%,0,$0.00 ,20180902
Durham,yahoo,5,2,6,66.67%,1.33,0:00:19,0.00%,0,$0.00 ,20180902
Franklin,(direct),5,1,6,50.00%,1.5,0:02:04,0.00%,0,$0.00 ,20180902
Raleigh,google,5,2,9,44.44%,2,0:00:29,0.00%,0,$0.00 ,20180902
Cary,myubc.org,4,2,4,0.00%,8,0:14:06,0.00%,0,$0.00 ,20180902
Mebane,myubc.org,4,1,4,0.00%,3,0:10:00,0.00%,0,$0.00 ,20180902
New York,(direct),4,3,6,66.67%,1.83,0:03:07,0.00%,0,$0.00 ,20180902
(not set),google,3,3,4,75.00%,1.75,0:03:21,0.00%,0,$0.00 ,20180902
Orlando,google,3,0,3,33.33%,3,0:04:10,0.00%,0,$0.00 ,20180902
Orlando,myubc.org,3,2,3,33.33%,3,0:01:44,0.00%,0,$0.00 ,20180902
Cary,google,3,0,5,20.00%,1.8,0:07:35,0.00%,0,$0.00 ,20180902
Chapel Hill,google,3,2,3,66.67%,1.33,0:00:18,0.00%,0,$0.00 ,20180902
Wake Forest,google,3,2,4,75.00%,1.25,0:00:23,0.00%,0,$0.00 ,20180902
Williamston,(direct),3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Norfolk,myubc.org,3,1,3,0.00%,4,0:02:54,0.00%,0,$0.00 ,20180902
Mobile,myubc.org,2,2,3,33.33%,2,0:00:51,0.00%,0,$0.00 ,20180902
Corona,myubc.org,2,1,2,0.00%,5.5,0:09:54,0.00%,0,$0.00 ,20180902
Savannah,myubc.org,2,0,5,0.00%,7.6,0:28:51,0.00%,0,$0.00 ,20180902
Charlotte,yahoo,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Franklin,google,2,0,2,50.00%,2.5,0:06:05,0.00%,0,$0.00 ,20180902
Franklin,myubc.org,2,1,2,0.00%,2.5,0:04:02,0.00%,0,$0.00 ,20180902
Hickory,bing,2,2,2,50.00%,1.5,0:00:22,0.00%,0,$0.00 ,20180902
Hillsborough,myubc.org,2,1,2,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180902
Raleigh,bing,2,1,6,83.33%,1.67,0:03:06,0.00%,0,$0.00 ,20180902
Wake Forest,myubc.org,2,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180902
Carrollton,myubc.org,2,1,3,33.33%,5.33,0:06:39,0.00%,0,$0.00 ,20180902
Saint Charles,myubc.org,2,2,2,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180902
(not set),myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Mobile,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Chandler,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Berkeley,(direct),1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180902
Oakland,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburg,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hartford,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Middletown,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Washington,google,1,1,1,0.00%,7,0:09:48,0.00%,0,$0.00 ,20180902
Clayton,bing,1,0,2,50.00%,3.5,0:13:43,0.00%,0,$0.00 ,20180902
Clayton,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Miami Beach,google,1,0,1,0.00%,3,0:29:41,0.00%,0,$0.00 ,20180902
Atlanta,cvriskcalculator.com,1,0,1,0.00%,6,0:03:49,0.00%,0,$0.00 ,20180902
Columbus,myubc.org,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180902
Savannah,bing,1,1,1,0.00%,2,0:05:29,0.00%,0,$0.00 ,20180902
Savannah,google,1,0,1,0.00%,2,0:02:58,0.00%,0,$0.00 ,20180902
Honolulu,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Shreveport,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Billerica,bing,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Billerica,myubc.org,1,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Boston,(direct),1,0,3,66.67%,1.33,0:03:09,0.00%,0,$0.00 ,20180902
Hyattsville,(direct),1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180902
Black Mountain,myubc.org,1,0,2,0.00%,2,0:00:39,0.00%,0,$0.00 ,20180902
Black Mountain,yahoo,1,0,1,0.00%,3,0:04:16,0.00%,0,$0.00 ,20180902
Cherokee,(direct),1,1,1,0.00%,10,0:08:18,0.00%,0,$0.00 ,20180902
Clemmons,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Creedmoor,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Creedmoor,myubc.org,1,0,2,0.00%,4,0:20:44,0.00%,0,$0.00 ,20180902
Fayetteville,(direct),1,1,1,0.00%,3,0:01:38,0.00%,0,$0.00 ,20180902
Fayetteville,gospelmusicfever.blogspot.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Franklin,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Goldsboro,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Goldsboro,myubc.org,1,1,1,0.00%,4,0:21:10,0.00%,0,$0.00 ,20180902
Graham,(direct),1,0,1,0.00%,6,0:07:59,0.00%,0,$0.00 ,20180902
Graham,google,1,0,1,0.00%,5,0:09:18,0.00%,0,$0.00 ,20180902
Greensboro,google,1,0,2,50.00%,1.5,0:03:24,0.00%,0,$0.00 ,20180902
Greensboro,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180902
Hayesville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hickory,facebook.com,1,0,1,0.00%,2,0:00:52,0.00%,0,$0.00 ,20180902
High Point,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hillsborough,bing,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hillsborough,google,1,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Jacksonville,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Kernersville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180902
Morrisville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Murphy,myubc.org,1,0,1,0.00%,4,0:13:44,0.00%,0,$0.00 ,20180902
Oxford,(direct),1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Rocky Mount,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Roxboro,(direct),1,1,2,0.00%,5,0:09:36,0.00%,0,$0.00 ,20180902
Roxboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Salisbury,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Selma,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Sylva,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Sylva,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Timberlake,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Wake Forest,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Whiteville,google,1,1,2,0.00%,2,0:12:27,0.00%,0,$0.00 ,20180902
Whiteville,myubc.org,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180902
Winston-Salem,google,1,0,1,0.00%,2,0:01:24,0.00%,0,$0.00 ,20180902
Cherry Hill,(direct),1,0,2,50.00%,1.5,0:01:46,0.00%,0,$0.00 ,20180902
Mount Laurel,myubc.org,1,0,2,0.00%,4,0:06:22,0.00%,0,$0.00 ,20180902
Newark,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Las Vegas,yahoo,1,1,1,0.00%,3,0:02:14,0.00%,0,$0.00 ,20180902
New York,myubc.org,1,0,1,0.00%,2,0:00:33,0.00%,0,$0.00 ,20180902
Newburgh,google,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Cincinnati,(direct),1,1,1,0.00%,2,0:03:07,0.00%,0,$0.00 ,20180902
Cincinnati,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Cleveland,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Canonsburg,facebook.com,1,1,1,0.00%,4,0:28:01,0.00%,0,$0.00 ,20180902
Philadelphia,(direct),1,0,1,0.00%,3,0:16:46,0.00%,0,$0.00 ,20180902
Philadelphia,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Philadelphia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburgh,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Andrews,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Blythewood,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Conway,(direct),1,0,2,50.00%,1.5,0:02:17,0.00%,0,$0.00 ,20180902
Myrtle Beach,myubc.org,1,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 ,20180902
North Myrtle Beach,myubc.org,1,0,2,0.00%,6,0:11:51,0.00%,0,$0.00 ,20180902
Nashville,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Dallas,myubc.org,1,0,2,50.00%,5,0:04:31,0.00%,0,$0.00 ,20180902
Fort Worth,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Houston,(direct),1,1,1,0.00%,3,0:00:20,0.00%,0,$0.00 ,20180902
