City,Device.Category,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Winston-Salem,mobile,2,0,3,66.67%,1.33,0:00:01,0.00%,0,$0.00 ,20180826
(not set),mobile,1,0,1,0.00%,17,0:24:55,0.00%,0,$0.00 ,20180826
Corona,mobile,1,0,1,0.00%,6,0:06:43,0.00%,0,$0.00 ,20180826
Norwalk,tablet,1,0,2,50.00%,2.5,0:11:52,0.00%,0,$0.00 ,20180826
Tampa,mobile,1,1,1,0.00%,3,0:01:55,0.00%,0,$0.00 ,20180826
Atlanta,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
McDonough,mobile,1,0,2,50.00%,2.5,0:08:00,0.00%,0,$0.00 ,20180826
Smyrna,desktop,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20180826
Smyrna,mobile,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180826
Indianapolis,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kokomo,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Emporia,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Louisville,mobile,1,1,1,0.00%,6,0:16:14,0.00%,0,$0.00 ,20180826
Elkridge,desktop,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180826
Salisbury,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kansas City,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Angier,mobile,1,0,1,0.00%,4,0:01:27,0.00%,0,$0.00 ,20180826
Apex,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Apex,tablet,1,1,3,33.33%,5,0:08:06,0.00%,0,$0.00 ,20180826
Bailey,tablet,1,1,1,0.00%,9,0:10:54,0.00%,0,$0.00 ,20180826
Benson,desktop,1,1,2,50.00%,2,0:00:16,0.00%,0,$0.00 ,20180826
Boone,mobile,1,1,2,50.00%,2.5,0:01:38,0.00%,0,$0.00 ,20180826
Buies Creek,desktop,1,1,1,0.00%,3,0:17:37,0.00%,0,$0.00 ,20180826
Burnsville,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Carrboro,desktop,1,0,1,0.00%,3,0:04:17,0.00%,0,$0.00 ,20180826
Chapel Hill,desktop,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180826
Charlotte,desktop,1,1,2,50.00%,1.5,0:00:13,0.00%,0,$0.00 ,20180826
Creedmoor,desktop,1,0,1,0.00%,4,0:05:35,0.00%,0,$0.00 ,20180826
Farmville,mobile,1,1,1,0.00%,3,0:00:35,0.00%,0,$0.00 ,20180826
Greensboro,tablet,1,1,4,75.00%,1.5,0:00:40,0.00%,0,$0.00 ,20180826
Greenville,desktop,1,1,1,0.00%,12,0:13:45,0.00%,0,$0.00 ,20180826
High Point,tablet,1,0,2,50.00%,2,0:07:21,0.00%,0,$0.00 ,20180826
Hillsborough,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180826
Kinston,mobile,1,0,1,0.00%,4,0:06:47,0.00%,0,$0.00 ,20180826
Kinston,tablet,1,0,2,50.00%,3.5,0:11:07,0.00%,0,$0.00 ,20180826
Knightdale,desktop,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180826
Marion,desktop,1,0,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180826
Oxford,mobile,1,0,1,0.00%,3,0:19:09,0.00%,0,$0.00 ,20180826
Reidsville,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Roxboro,mobile,1,0,3,33.33%,6.67,0:28:39,0.00%,0,$0.00 ,20180826
Roxboro,tablet,1,0,1,0.00%,6,0:03:21,0.00%,0,$0.00 ,20180826
Siler City,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Swannanoa,desktop,1,0,3,33.33%,3.67,0:06:32,0.00%,0,$0.00 ,20180826
Swansboro,desktop,1,1,1,0.00%,3,0:00:25,0.00%,0,$0.00 ,20180826
Williamston,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Winston-Salem,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Cherry Hill,mobile,1,0,1,0.00%,3,0:11:29,0.00%,0,$0.00 ,20180826
Mount Laurel,mobile,1,0,2,50.00%,3.5,0:17:13,0.00%,0,$0.00 ,20180826
Newark,mobile,1,0,3,33.33%,5.33,0:09:22,0.00%,0,$0.00 ,20180826
New York,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Newburgh,tablet,1,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20180826
Philadelphia,desktop,1,0,2,0.00%,2,0:12:29,0.00%,0,$0.00 ,20180826
Pittsburgh,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Blythewood,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Blythewood,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Columbia,desktop,1,1,1,0.00%,7,0:01:03,0.00%,0,$0.00 ,20180826
Conway,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Myrtle Beach,tablet,1,1,2,0.00%,3,0:06:58,0.00%,0,$0.00 ,20180826
Chattanooga,mobile,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180826
Knoxville,desktop,1,0,1,0.00%,3,0:00:46,0.00%,0,$0.00 ,20180826
Nashville,mobile,1,1,3,33.33%,4,0:13:14,0.00%,0,$0.00 ,20180826
Fort Worth,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Fort Worth,tablet,1,1,1,0.00%,4,0:25:28,0.00%,0,$0.00 ,20180826
Rosenberg,tablet,1,1,1,0.00%,4,0:01:24,0.00%,0,$0.00 ,20180826
Waco,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Chantilly,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Colonial Heights,mobile,1,0,1,0.00%,12,0:32:09,0.00%,0,$0.00 ,20180826
Norfolk,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Norfolk,tablet,1,0,3,0.00%,3,0:07:20,0.00%,0,$0.00 ,20180826
Reston,mobile,1,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 ,20180826
Richmond,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Virginia Beach,tablet,1,0,1,0.00%,2,0:07:47,0.00%,0,$0.00 ,20180826
Brookhaven,desktop,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180826
Dale City,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Friendly,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Friendly,tablet,1,0,3,0.00%,4,0:10:13,0.00%,0,$0.00 ,20180826
Holden Beach,mobile,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Miramar,desktop,1,1,2,50.00%,1.5,0:02:07,0.00%,0,$0.00 ,20180826
Miramar,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
North Plainfield,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Saxapahaw,tablet,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180826
Spokane Valley,desktop,1,0,1,0.00%,2,0:09:53,0.00%,0,$0.00 ,20180826
Saint Charles,desktop,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180826
West Springfield,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
,,442,215,600,44.33%,2.74,0:05:08,0.00%,0,$0.00 ,20180826
Durham,mobile,68,26,97,45.36%,2.58,0:05:54,0.00%,0,$0.00 ,20180902
Durham,desktop,50,15,61,32.79%,2.43,0:04:04,0.00%,0,$0.00 ,20180902
Charlotte,mobile,36,14,52,40.38%,2.81,0:06:13,0.00%,0,$0.00 ,20180902
Durham,tablet,31,12,52,51.92%,2.25,0:03:36,0.00%,0,$0.00 ,20180902
Atlanta,mobile,16,8,20,60.00%,2.3,0:01:34,0.00%,0,$0.00 ,20180902
Raleigh,mobile,14,8,19,52.63%,2.32,0:01:58,0.00%,0,$0.00 ,20180902
Chapel Hill,desktop,6,3,9,11.11%,2.11,0:00:25,0.00%,0,$0.00 ,20180902
Charlotte,tablet,6,2,10,60.00%,1.8,0:04:38,0.00%,0,$0.00 ,20180902
Raleigh,desktop,5,2,9,77.78%,1.89,0:02:11,0.00%,0,$0.00 ,20180902
Orlando,mobile,4,2,6,33.33%,3,0:02:57,0.00%,0,$0.00 ,20180902
Franklin,desktop,4,0,5,40.00%,1.8,0:01:38,0.00%,0,$0.00 ,20180902
Franklin,mobile,4,2,4,50.00%,1.5,0:03:04,0.00%,0,$0.00 ,20180902
Atlanta,desktop,3,1,3,66.67%,3,0:14:09,0.00%,0,$0.00 ,20180902
Cary,desktop,3,1,5,20.00%,3.6,0:07:38,0.00%,0,$0.00 ,20180902
Raleigh,tablet,3,2,5,60.00%,2,0:00:22,0.00%,0,$0.00 ,20180902
New York,mobile,3,1,5,40.00%,2.2,0:03:51,0.00%,0,$0.00 ,20180902
Philadelphia,desktop,3,2,3,66.67%,1.67,0:05:35,0.00%,0,$0.00 ,20180902
Norfolk,mobile,3,1,3,0.00%,2,0:01:27,0.00%,0,$0.00 ,20180902
(not set),mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Mobile,mobile,2,2,2,50.00%,2,0:01:13,0.00%,0,$0.00 ,20180902
Atlanta,tablet,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Savannah,desktop,2,1,3,0.00%,3.33,0:05:06,0.00%,0,$0.00 ,20180902
Cary,tablet,2,0,3,0.00%,4,0:11:57,0.00%,0,$0.00 ,20180902
Chapel Hill,mobile,2,1,3,33.33%,1.67,0:00:04,0.00%,0,$0.00 ,20180902
Creedmoor,desktop,2,0,3,33.33%,3,0:13:49,0.00%,0,$0.00 ,20180902
Franklin,tablet,2,0,2,50.00%,2.5,0:06:05,0.00%,0,$0.00 ,20180902
Goldsboro,tablet,2,2,2,50.00%,2.5,0:10:35,0.00%,0,$0.00 ,20180902
Graham,mobile,2,0,2,0.00%,5.5,0:08:39,0.00%,0,$0.00 ,20180902
Greensboro,mobile,2,1,3,33.33%,1.67,0:02:16,0.00%,0,$0.00 ,20180902
Hickory,desktop,2,2,3,33.33%,1.67,0:00:32,0.00%,0,$0.00 ,20180902
Hillsborough,desktop,2,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20180902
Mebane,desktop,2,1,2,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180902
Mebane,mobile,2,0,2,0.00%,4,0:19:53,0.00%,0,$0.00 ,20180902
Sylva,desktop,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Wake Forest,desktop,2,2,3,66.67%,1.33,0:00:30,0.00%,0,$0.00 ,20180902
Wake Forest,tablet,2,1,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180902
Williamston,desktop,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
New York,desktop,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Cincinnati,mobile,2,2,2,50.00%,1.5,0:01:34,0.00%,0,$0.00 ,20180902
Fearrington,desktop,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Friendly,mobile,2,2,2,0.00%,2.5,0:14:46,0.00%,0,$0.00 ,20180902
Saint Charles,tablet,2,2,2,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180902
(not set),desktop,1,1,2,50.00%,2.5,0:06:42,0.00%,0,$0.00 ,20180902
(not set),tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Mobile,tablet,1,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Chandler,mobile,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Berkeley,desktop,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180902
Corona,desktop,1,1,1,0.00%,3,0:08:20,0.00%,0,$0.00 ,20180902
Corona,mobile,1,0,1,0.00%,8,0:11:28,0.00%,0,$0.00 ,20180902
Oakland,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Pittsburg,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hartford,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Middletown,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Washington,tablet,1,1,1,0.00%,7,0:09:48,0.00%,0,$0.00 ,20180902
Clayton,desktop,1,0,2,50.00%,3.5,0:13:43,0.00%,0,$0.00 ,20180902
Clayton,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Miami Beach,mobile,1,0,1,0.00%,3,0:29:41,0.00%,0,$0.00 ,20180902
Columbus,desktop,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20180902
Savannah,mobile,1,0,4,0.00%,8,0:34:21,0.00%,0,$0.00 ,20180902
Honolulu,tablet,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Shreveport,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Billerica,desktop,1,0,7,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Boston,mobile,1,0,3,66.67%,1.33,0:03:09,0.00%,0,$0.00 ,20180902
Hyattsville,desktop,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180902
Black Mountain,desktop,1,0,3,0.00%,2.33,0:01:51,0.00%,0,$0.00 ,20180902
Cary,mobile,1,1,1,0.00%,11,0:20:13,0.00%,0,$0.00 ,20180902
Cherokee,mobile,1,1,1,0.00%,10,0:08:18,0.00%,0,$0.00 ,20180902
Clemmons,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Fayetteville,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Fayetteville,mobile,1,1,1,0.00%,3,0:01:38,0.00%,0,$0.00 ,20180902
Hayesville,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
High Point,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hillsborough,mobile,1,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180902
Hillsborough,tablet,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180902
Jacksonville,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Kernersville,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Knightdale,desktop,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180902
Morrisville,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Murphy,mobile,1,0,1,0.00%,4,0:13:44,0.00%,0,$0.00 ,20180902
Oxford,mobile,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Rocky Mount,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Roxboro,mobile,1,1,2,0.00%,5,0:09:36,0.00%,0,$0.00 ,20180902
Roxboro,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Salisbury,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Selma,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Timberlake,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Wake Forest,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Whiteville,mobile,1,1,2,0.00%,2,0:12:27,0.00%,0,$0.00 ,20180902
Whiteville,tablet,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180902
Williamston,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Winston-Salem,desktop,1,0,1,0.00%,2,0:01:24,0.00%,0,$0.00 ,20180902
Cherry Hill,mobile,1,0,2,50.00%,1.5,0:01:46,0.00%,0,$0.00 ,20180902
Mount Laurel,mobile,1,0,2,0.00%,4,0:06:22,0.00%,0,$0.00 ,20180902
Newark,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Las Vegas,mobile,1,1,1,0.00%,3,0:02:14,0.00%,0,$0.00 ,20180902
Newburgh,tablet,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Cleveland,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Canonsburg,desktop,1,1,1,0.00%,4,0:28:01,0.00%,0,$0.00 ,20180902
Pittsburgh,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Andrews,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Blythewood,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Conway,desktop,1,0,2,50.00%,1.5,0:02:17,0.00%,0,$0.00 ,20180902
Myrtle Beach,tablet,1,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 ,20180902
North Myrtle Beach,mobile,1,0,2,0.00%,6,0:11:51,0.00%,0,$0.00 ,20180902
Nashville,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Carrollton,desktop,1,1,1,0.00%,3,0:17:42,0.00%,0,$0.00 ,20180902
Carrollton,mobile,1,0,2,50.00%,6.5,0:01:08,0.00%,0,$0.00 ,20180902
Dallas,mobile,1,0,2,50.00%,5,0:04:31,0.00%,0,$0.00 ,20180902
Fort Worth,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Houston,mobile,1,1,1,0.00%,3,0:00:20,0.00%,0,$0.00 ,20180902
New Caney,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Tyler,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Charlottesville,desktop,1,0,2,50.00%,1.5,0:03:08,0.00%,0,$0.00 ,20180902
Danville,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hampton,mobile,1,1,1,0.00%,2,0:01:08,0.00%,0,$0.00 ,20180902
Norfolk,tablet,1,0,1,0.00%,8,0:04:25,0.00%,0,$0.00 ,20180902
Virginia Beach,mobile,1,0,1,0.00%,12,1:03:04,0.00%,0,$0.00 ,20180902
Fearrington,mobile,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180902
Friendly,tablet,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180902
Holden Beach,desktop,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180902
Richlands,mobile,1,0,2,0.00%,2.5,0:09:52,0.00%,0,$0.00 ,20180902
Saxapahaw,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Spokane Valley,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
,,391,165,542,45.94%,2.42,0:04:26,0.00%,0,$0.00 ,20180902
Durham,mobile,67,33,83,55.42%,2.73,0:04:51,0.00%,0,$0.00 ,20180909
Durham,desktop,57,22,71,47.89%,2.06,0:02:54,0.00%,0,$0.00 ,20180909
Charlotte,mobile,38,14,59,50.85%,2.17,0:03:49,0.00%,0,$0.00 ,20180909
Durham,tablet,32,16,44,43.18%,2.27,0:03:18,0.00%,0,$0.00 ,20180909
Raleigh,mobile,19,5,27,66.67%,1.48,0:01:49,0.00%,0,$0.00 ,20180909
Atlanta,mobile,10,3,12,66.67%,1.92,0:05:29,0.00%,0,$0.00 ,20180909
Raleigh,desktop,8,2,14,57.14%,2,0:02:14,0.00%,0,$0.00 ,20180909
Raleigh,tablet,7,3,9,66.67%,1.78,0:03:50,0.00%,0,$0.00 ,20180909
Cary,desktop,5,4,6,83.33%,1.17,0:00:04,0.00%,0,$0.00 ,20180909
Franklin,mobile,5,3,6,0.00%,2.17,0:05:22,0.00%,0,$0.00 ,20180909
Charlotte,tablet,4,1,6,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20180909
Chapel Hill,mobile,3,0,6,33.33%,3.5,0:04:43,0.00%,0,$0.00 ,20180909
Franklin,tablet,3,1,3,33.33%,1.67,0:00:15,0.00%,0,$0.00 ,20180909
Hillsborough,desktop,3,2,4,50.00%,1.75,0:00:45,0.00%,0,$0.00 ,20180909
Myrtle Beach,mobile,3,2,3,33.33%,1.67,0:00:27,0.00%,0,$0.00 ,20180909
(not set),desktop,2,2,2,50.00%,2,0:06:16,0.00%,0,$0.00 ,20180909
(not set),mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Huntsville,mobile,2,2,4,25.00%,3,0:05:07,0.00%,0,$0.00 ,20180909
Washington,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Efland,desktop,2,2,2,50.00%,2,0:02:28,0.00%,0,$0.00 ,20180909
Fayetteville,mobile,2,2,2,50.00%,2.5,0:11:14,0.00%,0,$0.00 ,20180909
Franklin,desktop,2,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20180909
Greensboro,mobile,2,2,2,0.00%,3,0:10:48,0.00%,0,$0.00 ,20180909
Marion,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Sylva,desktop,2,2,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 ,20180909
Sylva,mobile,2,0,2,50.00%,1.5,0:02:03,0.00%,0,$0.00 ,20180909
Winston-Salem,mobile,2,0,5,60.00%,2.6,0:01:03,0.00%,0,$0.00 ,20180909
New York,mobile,2,1,2,0.00%,2.5,0:07:36,0.00%,0,$0.00 ,20180909
Cincinnati,mobile,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20180909
Norfolk,mobile,2,1,4,25.00%,2.75,0:02:01,0.00%,0,$0.00 ,20180909
(not set),tablet,1,1,1,0.00%,2,0:01:28,0.00%,0,$0.00 ,20180909
Saint-Brieuc,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Birmingham,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Corona,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Ontario,mobile,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180909
Clayton,desktop,1,0,2,0.00%,6.5,0:06:47,0.00%,0,$0.00 ,20180909
Miami,mobile,1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 ,20180909
Tallahassee,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Chicago,mobile,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 ,20180909
Schiller Park,mobile,1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 ,20180909
Hyattsville,desktop,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180909
Black Mountain,desktop,1,0,4,50.00%,2.5,0:01:12,0.00%,0,$0.00 ,20180909
Burlington,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Burnsville,desktop,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180909
Cary,mobile,1,0,1,0.00%,6,0:15:33,0.00%,0,$0.00 ,20180909
Cashiers,desktop,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 ,20180909
Chapel Hill,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Charlotte,desktop,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180909
Clayton,desktop,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180909
Clayton,mobile,1,0,1,0.00%,7,0:16:53,0.00%,0,$0.00 ,20180909
Clayton,tablet,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180909
Concord,desktop,1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 ,20180909
Cornelius,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Creedmoor,desktop,1,0,3,33.33%,3,0:07:37,0.00%,0,$0.00 ,20180909
Greensboro,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Henderson,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Hickory,mobile,1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 ,20180909
Jacksonville,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Mebane,desktop,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180909
Mebane,mobile,1,0,1,0.00%,3,0:02:27,0.00%,0,$0.00 ,20180909
Mebane,tablet,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180909
Oxford,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsboro,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Rocky Mount,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Rocky Mount,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Salisbury,tablet,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 ,20180909
Timberlake,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wake Forest,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wake Forest,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Warrenton,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Winston-Salem,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Omaha,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Mount Vernon,desktop,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
New York,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Newburgh,tablet,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 ,20180909
Columbus,mobile,1,1,2,0.00%,3,0:03:14,0.00%,0,$0.00 ,20180909
Philadelphia,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsburgh,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Providence,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Providence,mobile,1,1,1,0.00%,5,0:07:57,0.00%,0,$0.00 ,20180909
Andrews,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Blythewood,mobile,1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 ,20180909
Columbia,mobile,1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 ,20180909
Myrtle Beach,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
