City,Device.Category,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Creedmoor,desktop,1,0,2,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180812
Creedmoor,mobile,1,1,1,0.00%,4,0:21:54,0.00%,0,$0.00 ,20180812
Cullowhee,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Efland,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Fayetteville,desktop,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180812
Franklinton,mobile,1,1,1,0.00%,2,0:00:19,0.00%,0,$0.00 ,20180812
Graham,mobile,1,0,2,0.00%,2.5,0:01:15,0.00%,0,$0.00 ,20180812
Hayesville,desktop,1,1,2,50.00%,3,0:16:18,0.00%,0,$0.00 ,20180812
High Point,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,tablet,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180812
Hillsborough,tablet,1,1,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180812
Kernersville,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Knightdale,desktop,1,0,1,0.00%,3,0:12:21,0.00%,0,$0.00 ,20180812
Mebane,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Murphy,mobile,1,0,1,0.00%,4,0:01:45,0.00%,0,$0.00 ,20180812
Nashville,mobile,1,0,1,0.00%,4,0:28:50,0.00%,0,$0.00 ,20180812
Oak Island,desktop,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 ,20180812
Ocean Isle Beach,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oxford,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Roxboro,mobile,1,0,3,66.67%,3,0:04:53,0.00%,0,$0.00 ,20180812
Shallotte,mobile,1,1,2,0.00%,2,0:05:53,0.00%,0,$0.00 ,20180812
Sylva,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Sylva,mobile,1,0,1,0.00%,2,0:00:49,0.00%,0,$0.00 ,20180812
Wake Forest,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wake Forest,mobile,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 ,20180812
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Whiteville,mobile,1,0,1,0.00%,2,0:01:22,0.00%,0,$0.00 ,20180812
Williamston,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wilson,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Montclair,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Newark,mobile,1,1,1,0.00%,4,0:02:33,0.00%,0,$0.00 ,20180812
Phillipsburg,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Marlboro,tablet,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 ,20180812
Mount Vernon,tablet,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180812
New York,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oklahoma City,mobile,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 ,20180812
Greensburg,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Philadelphia,desktop,1,0,1,0.00%,3,0:07:26,0.00%,0,$0.00 ,20180812
Philadelphia,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Pittsburgh,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Andrews,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Columbia,desktop,1,1,1,0.00%,3,0:05:48,0.00%,0,$0.00 ,20180812
Columbia,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Myrtle Beach,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
Nashville,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Dallas,mobile,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 ,20180812
Fort Worth,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Houston,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mesquite,mobile,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Newport News,desktop,1,1,1,0.00%,5,0:07:09,0.00%,0,$0.00 ,20180812
Newport News,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Norfolk,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Richmond,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,tablet,1,0,1,0.00%,2,0:00:41,0.00%,0,$0.00 ,20180812
Seattle,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Churchville,desktop,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 ,20180812
Flint Township,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Friendly,tablet,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180812
Marvin,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
North Druid Hills,mobile,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 ,20180812
Spokane Valley,desktop,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
,,497,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 ,20180812
Durham,mobile,85,44,110,40.00%,3.43,0:06:20,0.00%,0,$0.00 ,20180819
Durham,desktop,69,34,95,50.53%,2.58,0:04:21,0.00%,0,$0.00 ,20180819
Charlotte,mobile,39,21,49,44.90%,2.41,0:04:14,0.00%,0,$0.00 ,20180819
Durham,tablet,28,14,42,28.57%,3.21,0:08:49,0.00%,0,$0.00 ,20180819
Atlanta,mobile,18,10,25,24.00%,3.76,0:07:27,0.00%,0,$0.00 ,20180819
Raleigh,mobile,10,2,14,50.00%,2.86,0:04:02,0.00%,0,$0.00 ,20180819
Franklin,mobile,8,4,10,10.00%,2.5,0:13:07,0.00%,0,$0.00 ,20180819
North Druid Hills,mobile,8,7,8,62.50%,1.5,0:03:33,0.00%,0,$0.00 ,20180819
Charlotte,tablet,7,2,8,50.00%,1.62,0:05:49,0.00%,0,$0.00 ,20180819
Franklin,desktop,6,3,11,63.64%,3,0:04:20,0.00%,0,$0.00 ,20180819
Raleigh,desktop,6,2,15,80.00%,1.87,0:05:49,0.00%,0,$0.00 ,20180819
Cary,desktop,5,2,8,75.00%,1.25,0:02:35,0.00%,0,$0.00 ,20180819
New York,desktop,5,5,8,75.00%,1.62,0:00:09,0.00%,0,$0.00 ,20180819
Chapel Hill,desktop,4,2,7,14.29%,3,0:07:10,0.00%,0,$0.00 ,20180819
Chapel Hill,mobile,4,3,4,50.00%,3.25,0:07:17,0.00%,0,$0.00 ,20180819
Franklin,tablet,4,2,4,25.00%,4,0:14:07,0.00%,0,$0.00 ,20180819
Greensboro,desktop,4,2,7,85.71%,1.43,0:00:10,0.00%,0,$0.00 ,20180819
Winston-Salem,desktop,4,3,4,25.00%,1.75,0:00:37,0.00%,0,$0.00 ,20180819
Cincinnati,mobile,4,4,4,0.00%,5.75,0:01:22,0.00%,0,$0.00 ,20180819
Orlando,mobile,3,0,3,66.67%,1.33,0:05:03,0.00%,0,$0.00 ,20180819
Creedmoor,desktop,3,2,3,33.33%,4.67,0:17:05,0.00%,0,$0.00 ,20180819
Creedmoor,mobile,3,2,3,33.33%,3.33,0:03:24,0.00%,0,$0.00 ,20180819
High Point,tablet,3,1,6,50.00%,3,0:04:14,0.00%,0,$0.00 ,20180819
Hillsborough,desktop,3,1,3,33.33%,2.33,0:00:23,0.00%,0,$0.00 ,20180819
Raleigh,tablet,3,1,3,33.33%,4.67,0:03:05,0.00%,0,$0.00 ,20180819
Roanoke Rapids,desktop,3,3,3,33.33%,3,0:10:40,0.00%,0,$0.00 ,20180819
New York,mobile,3,1,4,25.00%,2.75,0:07:21,0.00%,0,$0.00 ,20180819
Dallas,mobile,3,0,6,66.67%,3.17,0:10:13,0.00%,0,$0.00 ,20180819
(not set),mobile,2,2,2,0.00%,2.5,0:00:59,0.00%,0,$0.00 ,20180819
Greensboro,mobile,2,2,2,50.00%,2,0:04:54,0.00%,0,$0.00 ,20180819
Henderson,mobile,2,2,2,50.00%,1.5,0:00:37,0.00%,0,$0.00 ,20180819
Mebane,desktop,2,1,2,0.00%,5.5,0:11:10,0.00%,0,$0.00 ,20180819
Mebane,mobile,2,0,2,0.00%,3.5,0:12:25,0.00%,0,$0.00 ,20180819
Morrisville,desktop,2,2,2,50.00%,1.5,0:00:43,0.00%,0,$0.00 ,20180819
Swannanoa,desktop,2,1,3,33.33%,3.67,0:14:54,0.00%,0,$0.00 ,20180819
Winston-Salem,mobile,2,0,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20180819
Charleston,desktop,2,2,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180819
Myrtle Beach,mobile,2,1,2,0.00%,2,0:00:43,0.00%,0,$0.00 ,20180819
Chantilly,tablet,2,2,2,50.00%,3,0:01:31,0.00%,0,$0.00 ,20180819
Norfolk,mobile,2,1,2,50.00%,2.5,0:01:53,0.00%,0,$0.00 ,20180819
(not set),desktop,1,1,2,0.00%,8,0:36:42,0.00%,0,$0.00 ,20180819
Mobile,tablet,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180819
Washington,mobile,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180819
Miami Beach,mobile,1,0,1,0.00%,3,0:03:47,0.00%,0,$0.00 ,20180819
Atlanta,desktop,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Riverdale,desktop,1,1,2,50.00%,1.5,0:00:38,0.00%,0,$0.00 ,20180819
Roswell,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Louisville,mobile,1,1,1,0.00%,4,0:00:57,0.00%,0,$0.00 ,20180819
Addis,mobile,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180819
Baltimore,desktop,1,1,1,0.00%,5,0:01:33,0.00%,0,$0.00 ,20180819
Hyattsville,desktop,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Bay Saint Louis,desktop,1,1,2,50.00%,1.5,0:02:53,0.00%,0,$0.00 ,20180819
Apex,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Burnsville,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Burnsville,mobile,1,1,1,0.00%,2,0:03:25,0.00%,0,$0.00 ,20180819
Butner,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Cary,mobile,1,1,1,0.00%,4,0:08:48,0.00%,0,$0.00 ,20180819
Cary,tablet,1,1,1,0.00%,6,0:05:05,0.00%,0,$0.00 ,20180819
Chapel Hill,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Concord,mobile,1,0,1,0.00%,2,0:00:17,0.00%,0,$0.00 ,20180819
Creedmoor,tablet,1,1,1,0.00%,4,0:26:12,0.00%,0,$0.00 ,20180819
