# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181104-20181104,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018110409,44,15,50,60.00%,1.76,0:03:49,0.00%,0,$0.00 
Durham,2018110407,40,14,41,48.78%,2.49,0:04:42,0.00%,0,$0.00 
Durham,2018110410,37,12,40,45.00%,2.02,0:04:45,0.00%,0,$0.00 
Durham,2018110411,29,9,26,50.00%,2.62,0:02:46,0.00%,0,$0.00 
Durham,2018110408,25,6,24,66.67%,1.62,0:03:29,0.00%,0,$0.00 
Durham,2018110412,14,5,15,53.33%,1.53,0:00:19,0.00%,0,$0.00 
Durham,2018110413,11,4,12,50.00%,1.58,0:03:15,0.00%,0,$0.00 
Durham,2018110414,10,2,10,60.00%,2,0:03:16,0.00%,0,$0.00 
Charlotte,2018110409,9,1,10,30.00%,2,0:03:20,0.00%,0,$0.00 
Raleigh,2018110410,9,2,9,66.67%,1.56,0:05:11,0.00%,0,$0.00 
Charlotte,2018110411,8,3,8,75.00%,1.75,0:04:54,0.00%,0,$0.00 
Durham,2018110415,8,2,7,57.14%,2.43,0:00:57,0.00%,0,$0.00 
Raleigh,2018110409,8,3,9,77.78%,1.33,0:01:22,0.00%,0,$0.00 
Charlotte,2018110408,7,3,7,42.86%,1.86,0:03:54,0.00%,0,$0.00 
Charlotte,2018110410,7,0,6,16.67%,3.33,0:04:25,0.00%,0,$0.00 
Raleigh,2018110411,7,2,7,71.43%,2.14,0:08:48,0.00%,0,$0.00 
Durham,2018110419,6,1,6,83.33%,1.17,0:00:46,0.00%,0,$0.00 
Atlanta,2018110412,5,2,5,60.00%,1.4,0:00:03,0.00%,0,$0.00 
Charlotte,2018110407,5,3,5,20.00%,3.4,0:03:05,0.00%,0,$0.00 
Charlotte,2018110412,5,0,5,80.00%,1.2,0:07:32,0.00%,0,$0.00 
Durham,2018110416,5,2,5,60.00%,2.4,0:01:20,0.00%,0,$0.00 
Raleigh,2018110408,5,2,5,60.00%,2.4,0:01:47,0.00%,0,$0.00 
Raleigh,2018110412,5,2,5,40.00%,3,0:04:57,0.00%,0,$0.00 
Charlotte,2018110413,4,2,3,0.00%,2.33,0:00:47,0.00%,0,$0.00 
Durham,2018110406,4,1,4,50.00%,2.5,0:14:17,0.00%,0,$0.00 
Durham,2018110418,4,0,4,75.00%,1.25,0:00:00,0.00%,0,$0.00 
Raleigh,2018110407,4,0,4,25.00%,2.25,0:05:06,0.00%,0,$0.00 
Cary,2018110411,3,2,4,50.00%,1.75,0:00:15,0.00%,0,$0.00 
Durham,2018110417,3,0,3,33.33%,2,0:02:09,0.00%,0,$0.00 
Durham,2018110423,3,0,3,66.67%,1.67,0:01:18,0.00%,0,$0.00 
Franklin,2018110407,3,1,3,33.33%,1.67,0:00:18,0.00%,0,$0.00 
Franklin,2018110409,3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,2018110410,3,0,3,33.33%,3,0:26:18,0.00%,0,$0.00 
Franklin,2018110411,3,1,2,50.00%,3,0:07:55,0.00%,0,$0.00 
Greensboro,2018110412,3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,2018110409,3,0,4,50.00%,2,0:00:08,0.00%,0,$0.00 
(not set),2018110415,2,1,2,50.00%,1,0:12:50,0.00%,0,$0.00 
Atlanta,2018110407,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
