# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181021-20181021,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,69,31,97,52.58%,1.91,0:02:38,0.00%,0,$0.00 
Durham,mobile,69,30,97,55.67%,1.98,0:02:06,0.00%,0,$0.00 
Durham,tablet,48,13,70,48.57%,2.47,0:04:16,0.00%,0,$0.00 
Raleigh,mobile,35,13,42,66.67%,2.79,0:02:02,0.00%,0,$0.00 
Charlotte,mobile,31,13,44,45.45%,2.16,0:03:11,0.00%,0,$0.00 
Atlanta,mobile,12,6,15,46.67%,1.6,0:04:08,0.00%,0,$0.00 
Franklin,mobile,9,6,14,50.00%,1.93,0:03:41,0.00%,0,$0.00 
Franklin,desktop,8,3,13,61.54%,1.54,0:02:49,0.00%,0,$0.00 
Franklin,tablet,7,4,8,37.50%,1.88,0:05:17,0.00%,0,$0.00 
Raleigh,desktop,6,1,15,93.33%,1.07,0:01:33,0.00%,0,$0.00 
Cary,desktop,4,2,4,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Chapel Hill,mobile,4,2,4,50.00%,2.25,0:01:13,0.00%,0,$0.00 
Raleigh,tablet,4,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),desktop,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,desktop,3,1,4,75.00%,1.5,0:00:12,0.00%,0,$0.00 
Creedmoor,desktop,3,1,6,50.00%,2.33,0:00:32,0.00%,0,$0.00 
Sylva,desktop,3,0,4,75.00%,2.75,0:05:56,0.00%,0,$0.00 
Winston-Salem,mobile,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),mobile,2,1,3,33.33%,2,0:07:48,0.00%,0,$0.00 
Birmingham,mobile,2,1,3,33.33%,2.33,0:05:18,0.00%,0,$0.00 
Washington,mobile,2,1,3,66.67%,1.33,0:00:01,0.00%,0,$0.00 
Cary,mobile,2,1,6,33.33%,1.83,0:00:25,0.00%,0,$0.00 
Chapel Hill,desktop,2,0,2,0.00%,2,0:00:08,0.00%,0,$0.00 
Charlotte,tablet,2,2,2,50.00%,1.5,0:05:35,0.00%,0,$0.00 
Greensboro,desktop,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,desktop,2,1,4,50.00%,1.75,0:00:39,0.00%,0,$0.00 
Mebane,tablet,2,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
Wake Forest,mobile,2,0,2,50.00%,3,0:02:01,0.00%,0,$0.00 
Winston-Salem,desktop,2,0,2,50.00%,1.5,0:11:48,0.00%,0,$0.00 
New York,mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Bethel Park,mobile,2,2,3,33.33%,1.67,0:01:34,0.00%,0,$0.00 
Philadelphia,desktop,2,0,3,66.67%,2.33,0:01:15,0.00%,0,$0.00 
Norfolk,mobile,2,0,3,33.33%,2.33,0:10:24,0.00%,0,$0.00 
Virginia Beach,mobile,2,2,2,50.00%,1.5,0:00:09,0.00%,0,$0.00 
Rochester Hills,desktop,2,2,2,50.00%,3,0:02:01,0.00%,0,$0.00 
Oranjestad,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oranjestad,tablet,1,0,1,0.00%,6,0:14:48,0.00%,0,$0.00 
