# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181118-20181118,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018111809,60,16,60,50.00%,1.78,0:02:46,0.00%,0,$0.00 
Durham,2018111807,45,13,45,44.44%,2.29,0:03:15,0.00%,0,$0.00 
Durham,2018111810,33,6,31,29.03%,2.55,0:02:58,0.00%,0,$0.00 
Durham,2018111811,33,6,34,52.94%,2.71,0:02:19,0.00%,0,$0.00 
Durham,2018111808,32,8,30,53.33%,2.3,0:01:42,0.00%,0,$0.00 
Durham,2018111812,13,2,13,53.85%,1.54,0:00:44,0.00%,0,$0.00 
Raleigh,2018111809,12,3,11,54.55%,3.09,0:01:58,0.00%,0,$0.00 
Durham,2018111813,9,1,11,54.55%,2.18,0:00:57,0.00%,0,$0.00 
Charlotte,2018111807,8,4,8,50.00%,2.12,0:00:12,0.00%,0,$0.00 
Charlotte,2018111811,8,2,10,50.00%,2.5,0:02:59,0.00%,0,$0.00 
Raleigh,2018111810,8,4,7,71.43%,1.57,0:00:18,0.00%,0,$0.00 
Cary,2018111809,7,0,7,85.71%,1.14,0:00:01,0.00%,0,$0.00 
Durham,2018111817,7,1,7,85.71%,1.14,0:03:24,0.00%,0,$0.00 
Raleigh,2018111807,7,2,8,37.50%,3.25,0:03:39,0.00%,0,$0.00 
Atlanta,2018111808,5,2,6,33.33%,2,0:02:37,0.00%,0,$0.00 
Charlotte,2018111810,5,0,5,60.00%,1.6,0:00:09,0.00%,0,$0.00 
Durham,2018111819,5,0,5,60.00%,1.8,0:01:46,0.00%,0,$0.00 
Durham,2018111820,5,1,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018111813,4,2,4,50.00%,1.75,0:05:49,0.00%,0,$0.00 
Raleigh,2018111811,4,1,4,50.00%,1.75,0:02:32,0.00%,0,$0.00 
Raleigh,2018111812,4,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 
Chapel Hill,2018111809,3,2,3,33.33%,2,0:10:20,0.00%,0,$0.00 
Charlotte,2018111808,3,1,3,33.33%,2.33,0:03:40,0.00%,0,$0.00 
Charlotte,2018111809,3,2,3,33.33%,1.67,0:06:07,0.00%,0,$0.00 
Durham,2018111814,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018111815,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018111818,3,1,2,50.00%,11.5,0:01:05,0.00%,0,$0.00 
Franklin,2018111808,3,2,3,0.00%,2.33,0:01:30,0.00%,0,$0.00 
Franklin,2018111809,3,0,3,66.67%,1.67,0:02:01,0.00%,0,$0.00 
Wake Forest,2018111807,3,0,3,66.67%,3.33,0:39:17,0.00%,0,$0.00 
(not set),2018111808,2,0,1,0.00%,5,0:26:22,0.00%,0,$0.00 
Atlanta,2018111809,2,0,2,0.00%,2,0:09:27,0.00%,0,$0.00 
Atlanta,2018111811,2,2,3,66.67%,1,0:04:47,0.00%,0,$0.00 
Cary,2018111807,2,1,2,0.00%,3.5,0:01:32,0.00%,0,$0.00 
Cary,2018111810,2,1,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Cary,2018111821,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,2018111807,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,2018111810,2,1,1,100.00%,5,0:00:00,0.00%,0,$0.00 
Charlotte,2018111816,2,0,2,0.00%,2.5,0:01:15,0.00%,0,$0.00 
Charlotte,2018111818,2,0,2,50.00%,1,0:07:40,0.00%,0,$0.00 
Charlotte,2018111819,2,0,1,100.00%,2,0:00:00,0.00%,0,$0.00 
Durham,2018111822,2,1,2,50.00%,1.5,0:00:41,0.00%,0,$0.00 
Franklin,2018111807,2,0,2,0.00%,2,0:10:53,0.00%,0,$0.00 
Hillsborough,2018111823,2,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Mars Hill,2018111811,2,1,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Mebane,2018111809,2,0,2,0.00%,2,0:00:03,0.00%,0,$0.00 
Raleigh,2018111808,2,0,2,50.00%,6,0:12:06,0.00%,0,$0.00 
Raleigh,2018111814,2,0,2,0.00%,3.5,0:01:58,0.00%,0,$0.00 
Raleigh,2018111818,2,0,2,0.00%,2,0:03:17,0.00%,0,$0.00 
Winston-Salem,2018111812,2,0,2,0.00%,2,0:00:11,0.00%,0,$0.00 
Virginia Beach,2018111809,2,1,3,0.00%,2.33,0:01:13,0.00%,0,$0.00 
(not set),2018111807,1,1,1,0.00%,1,0:24:42,0.00%,0,$0.00 
Corona,2018111808,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,2018111814,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,2018111823,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New Haven,2018111813,1,1,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Waterbury,2018111810,1,1,1,0.00%,2,0:17:55,0.00%,0,$0.00 
Waterbury,2018111811,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Miami,2018111807,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Miami,2018111808,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Miami,2018111809,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Miami,2018111810,1,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Orlando,2018111808,1,0,1,0.00%,5,0:36:04,0.00%,0,$0.00 
Atlanta,2018111807,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018111810,1,0,1,0.00%,3,0:01:50,0.00%,0,$0.00 
Atlanta,2018111812,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Atlanta,2018111819,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrollton,2018111811,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,2018111810,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Chicago,2018111808,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Catonsville,2018111810,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Asheville,2018111812,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Bailey,2018111809,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,2018111811,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Burlington,2018111818,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Candler,2018111812,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,2018111811,1,1,1,0.00%,2,0:00:18,0.00%,0,$0.00 
Cary,2018111814,1,0,1,0.00%,2,0:00:57,0.00%,0,$0.00 
Chapel Hill,2018111812,1,0,2,0.00%,2,0:01:24,0.00%,0,$0.00 
Chapel Hill,2018111823,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018111805,1,1,1,0.00%,6,0:01:02,0.00%,0,$0.00 
Charlotte,2018111812,1,1,2,50.00%,1.5,0:01:52,0.00%,0,$0.00 
Charlotte,2018111814,1,1,2,0.00%,2.5,0:02:58,0.00%,0,$0.00 
Charlotte,2018111820,1,0,1,0.00%,3,0:28:45,0.00%,0,$0.00 
Charlotte,2018111822,1,0,1,0.00%,2,0:01:10,0.00%,0,$0.00 
Charlotte,2018111823,1,0,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Clayton,2018111809,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,2018111819,1,0,1,0.00%,3,0:14:35,0.00%,0,$0.00 
Creedmoor,2018111807,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,2018111808,1,0,1,0.00%,2,0:00:20,0.00%,0,$0.00 
Creedmoor,2018111813,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Durham,2018111816,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018111821,1,0,1,0.00%,2,0:00:38,0.00%,0,$0.00 
Durham,2018111823,1,0,1,0.00%,11,0:01:31,0.00%,0,$0.00 
Eden,2018111809,1,0,1,0.00%,2,0:29:49,0.00%,0,$0.00 
Eden,2018111810,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Franklin,2018111810,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,2018111812,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Franklin,2018111814,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,2018111820,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Graham,2018111809,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,2018111811,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,2018111811,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,2018111813,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,2018111808,1,1,1,0.00%,2,0:00:30,0.00%,0,$0.00 
Hillsborough,2018111809,1,0,1,0.00%,3,0:00:46,0.00%,0,$0.00 
Hillsborough,2018111810,1,0,1,0.00%,7,0:29:59,0.00%,0,$0.00 
Hillsborough,2018111812,1,0,1,0.00%,4,0:00:50,0.00%,0,$0.00 
Hillsborough,2018111813,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Knightdale,2018111815,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Leland,2018111809,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Leland,2018111811,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Leland,2018111812,1,0,1,0.00%,2,0:09:13,0.00%,0,$0.00 
