# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181021-20181021,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,186,74,264,52.65%,2.08,0:02:52,0.00%,0,$0.00 
Raleigh,45,15,61,75.41%,2.25,0:01:47,0.00%,0,$0.00 
Charlotte,34,16,49,42.86%,2.12,0:03:20,0.00%,0,$0.00 
Franklin,24,13,35,51.43%,1.77,0:03:43,0.00%,0,$0.00 
Atlanta,13,7,16,50.00%,1.56,0:03:52,0.00%,0,$0.00 
Cary,6,3,10,40.00%,1.7,0:00:17,0.00%,0,$0.00 
Chapel Hill,6,2,6,33.33%,2.17,0:00:51,0.00%,0,$0.00 
Winston-Salem,6,1,6,83.33%,1.17,0:03:56,0.00%,0,$0.00 
(not set),5,3,6,66.67%,1.5,0:03:54,0.00%,0,$0.00 
Creedmoor,5,2,8,62.50%,2,0:00:24,0.00%,0,$0.00 
Hillsborough,4,2,11,45.45%,2,0:03:26,0.00%,0,$0.00 
Mebane,4,0,4,25.00%,2.25,0:01:05,0.00%,0,$0.00 
Sylva,4,0,5,80.00%,2.4,0:04:45,0.00%,0,$0.00 
Washington,3,2,4,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Carrboro,3,1,4,75.00%,1.5,0:00:12,0.00%,0,$0.00 
Greensboro,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,3,1,3,66.67%,2.33,0:01:20,0.00%,0,$0.00 
Weaverville,3,0,6,100.00%,1,0:00:00,0.00%,0,$0.00 
Oranjestad,2,1,2,50.00%,3.5,0:07:24,0.00%,0,$0.00 
Birmingham,2,1,3,33.33%,2.33,0:05:18,0.00%,0,$0.00 
Winter Haven,2,1,2,50.00%,3,0:03:14,0.00%,0,$0.00 
Fayetteville,2,1,4,0.00%,5.75,0:03:09,0.00%,0,$0.00 
Greenville,2,2,2,0.00%,4,0:09:35,0.00%,0,$0.00 
Knightdale,2,0,2,50.00%,1.5,0:00:07,0.00%,0,$0.00 
New York,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Bethel Park,2,2,3,33.33%,1.67,0:01:34,0.00%,0,$0.00 
Philadelphia,2,0,3,66.67%,2.33,0:01:15,0.00%,0,$0.00 
Columbia,2,1,4,0.00%,4.25,0:07:01,0.00%,0,$0.00 
Norfolk,2,0,3,33.33%,2.33,0:10:24,0.00%,0,$0.00 
Virginia Beach,2,2,2,50.00%,1.5,0:00:09,0.00%,0,$0.00 
Rochester Hills,2,2,2,50.00%,3,0:02:01,0.00%,0,$0.00 
Montego Bay,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Corona,1,0,2,50.00%,1.5,0:00:19,0.00%,0,$0.00 
Valley Center,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pinellas Park,1,1,2,50.00%,3.5,0:06:35,0.00%,0,$0.00 
Tallahassee,1,0,1,0.00%,7,0:09:37,0.00%,0,$0.00 
Columbus,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Forsyth,1,1,1,0.00%,3,0:08:10,0.00%,0,$0.00 
Kennesaw,1,0,1,0.00%,4,0:04:13,0.00%,0,$0.00 
Savannah,1,0,1,0.00%,2,0:01:02,0.00%,0,$0.00 
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New Orleans,1,0,1,0.00%,3,0:02:35,0.00%,0,$0.00 
Elkridge,1,0,1,0.00%,7,0:31:54,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,4,0:00:58,0.00%,0,$0.00 
St. Louis,1,1,1,0.00%,2,0:17:55,0.00%,0,$0.00 
Apex,1,1,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Burlington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,1,0,1,0.00%,5,0:14:45,0.00%,0,$0.00 
Fuquay Varina,1,1,1,0.00%,4,0:21:50,0.00%,0,$0.00 
High Point,1,1,1,0.00%,3,0:00:51,0.00%,0,$0.00 
Huntersville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
King,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 
New Bern,1,1,1,0.00%,9,0:17:19,0.00%,0,$0.00 
Oxford,1,0,1,0.00%,5,0:54:48,0.00%,0,$0.00 
Rocky Mount,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Salisbury,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Waynesville,1,0,1,0.00%,2,0:12:21,0.00%,0,$0.00 
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Williamston,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,1,1,1,0.00%,4,0:04:36,0.00%,0,$0.00 
Newburgh,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Blue Bell,1,0,1,0.00%,2,0:00:14,0.00%,0,$0.00 
