# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181021-20181021,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018102109,56,14,59,50.85%,2.02,0:04:16,0.00%,0,$0.00 
Durham,2018102111,43,18,45,42.22%,1.93,0:02:08,0.00%,0,$0.00 
Durham,2018102107,36,10,40,32.50%,2.82,0:04:35,0.00%,0,$0.00 
Durham,2018102108,34,12,32,62.50%,2.06,0:02:21,0.00%,0,$0.00 
Durham,2018102110,25,7,25,56.00%,1.88,0:01:40,0.00%,0,$0.00 
Durham,2018102112,17,4,15,80.00%,1.53,0:01:47,0.00%,0,$0.00 
Charlotte,2018102109,11,4,12,8.33%,2.42,0:06:35,0.00%,0,$0.00 
Charlotte,2018102110,8,4,7,57.14%,1.43,0:02:54,0.00%,0,$0.00 
Raleigh,2018102107,8,3,8,50.00%,7.38,0:06:16,0.00%,0,$0.00 
Charlotte,2018102112,7,2,8,37.50%,2.38,0:02:16,0.00%,0,$0.00 
Durham,2018102114,7,1,8,50.00%,1.62,0:06:45,0.00%,0,$0.00 
Durham,2018102117,7,1,6,50.00%,2.5,0:00:45,0.00%,0,$0.00 
Franklin,2018102108,7,2,7,28.57%,2,0:08:55,0.00%,0,$0.00 
Raleigh,2018102109,7,1,7,85.71%,1.14,0:03:18,0.00%,0,$0.00 
Raleigh,2018102110,7,2,8,75.00%,1.5,0:00:23,0.00%,0,$0.00 
Raleigh,2018102112,7,4,7,85.71%,1.29,0:00:12,0.00%,0,$0.00 
Charlotte,2018102108,6,1,7,57.14%,3.14,0:03:50,0.00%,0,$0.00 
Charlotte,2018102111,6,1,5,60.00%,1.8,0:00:37,0.00%,0,$0.00 
Durham,2018102115,6,0,5,80.00%,2.4,0:00:57,0.00%,0,$0.00 
Raleigh,2018102108,6,0,5,100.00%,1.2,0:00:00,0.00%,0,$0.00 
Raleigh,2018102111,6,1,6,66.67%,1.33,0:00:17,0.00%,0,$0.00 
Raleigh,2018102116,6,0,6,66.67%,1.17,0:02:23,0.00%,0,$0.00 
Durham,2018102121,5,2,5,80.00%,1.2,0:00:54,0.00%,0,$0.00 
