# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181202-20181202,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Williamston,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,desktop,1,1,1,0.00%,6,0:18:20,0.00%,0,$0.00 
Jersey City,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New York,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dublin,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Youngstown,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Portland,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,mobile,1,0,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Kingstree,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
North Charleston,mobile,1,1,3,33.33%,6.33,0:10:42,0.00%,0,$0.00 
Dallas,mobile,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Fort Worth,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Longview,mobile,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Waco,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Annandale,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,tablet,1,0,1,0.00%,14,0:48:54,0.00%,0,$0.00 
Spotsylvania Courthouse,mobile,1,1,2,50.00%,1.5,0:00:07,0.00%,0,$0.00 
Fairmont,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
North Druid Hills,mobile,1,0,1,0.00%,3,0:21:05,0.00%,0,$0.00 
Sandy Springs,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Saint Charles,tablet,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
,,386,147,545,45.69%,2.58,0:03:33,0.00%,0,$0.00 
