# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180909-20180909,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,67,33,83,55.42%,2.73,0:04:51,0.00%,0,$0.00 
Durham,desktop,57,22,71,47.89%,2.06,0:02:54,0.00%,0,$0.00 
Charlotte,mobile,38,14,59,50.85%,2.17,0:03:49,0.00%,0,$0.00 
Durham,tablet,32,16,44,43.18%,2.27,0:03:18,0.00%,0,$0.00 
Raleigh,mobile,19,5,27,66.67%,1.48,0:01:49,0.00%,0,$0.00 
Atlanta,mobile,10,3,12,66.67%,1.92,0:05:29,0.00%,0,$0.00 
Raleigh,desktop,8,2,14,57.14%,2,0:02:14,0.00%,0,$0.00 
Raleigh,tablet,7,3,9,66.67%,1.78,0:03:50,0.00%,0,$0.00 
Cary,desktop,5,4,6,83.33%,1.17,0:00:04,0.00%,0,$0.00 
Franklin,mobile,5,3,6,0.00%,2.17,0:05:22,0.00%,0,$0.00 
Charlotte,tablet,4,1,6,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Chapel Hill,mobile,3,0,6,33.33%,3.5,0:04:43,0.00%,0,$0.00 
Franklin,tablet,3,1,3,33.33%,1.67,0:00:15,0.00%,0,$0.00 
Hillsborough,desktop,3,2,4,50.00%,1.75,0:00:45,0.00%,0,$0.00 
Myrtle Beach,mobile,3,2,3,33.33%,1.67,0:00:27,0.00%,0,$0.00 
(not set),desktop,2,2,2,50.00%,2,0:06:16,0.00%,0,$0.00 
(not set),mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Huntsville,mobile,2,2,4,25.00%,3,0:05:07,0.00%,0,$0.00 
Washington,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Efland,desktop,2,2,2,50.00%,2,0:02:28,0.00%,0,$0.00 
Fayetteville,mobile,2,2,2,50.00%,2.5,0:11:14,0.00%,0,$0.00 
Franklin,desktop,2,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Greensboro,mobile,2,2,2,0.00%,3,0:10:48,0.00%,0,$0.00 
Marion,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,desktop,2,2,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
Sylva,mobile,2,0,2,50.00%,1.5,0:02:03,0.00%,0,$0.00 
Winston-Salem,mobile,2,0,5,60.00%,2.6,0:01:03,0.00%,0,$0.00 
New York,mobile,2,1,2,0.00%,2.5,0:07:36,0.00%,0,$0.00 
Cincinnati,mobile,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Norfolk,mobile,2,1,4,25.00%,2.75,0:02:01,0.00%,0,$0.00 
(not set),tablet,1,1,1,0.00%,2,0:01:28,0.00%,0,$0.00 
Saint-Brieuc,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Corona,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ontario,mobile,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Clayton,desktop,1,0,2,0.00%,6.5,0:06:47,0.00%,0,$0.00 
Miami,mobile,1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 
Tallahassee,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,mobile,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 
Schiller Park,mobile,1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Black Mountain,desktop,1,0,4,50.00%,2.5,0:01:12,0.00%,0,$0.00 
Burlington,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burnsville,desktop,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Cary,mobile,1,0,1,0.00%,6,0:15:33,0.00%,0,$0.00 
Cashiers,desktop,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 
Chapel Hill,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,desktop,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Clayton,desktop,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Clayton,mobile,1,0,1,0.00%,7,0:16:53,0.00%,0,$0.00 
Clayton,tablet,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Concord,desktop,1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 
Cornelius,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,desktop,1,0,3,33.33%,3,0:07:37,0.00%,0,$0.00 
Greensboro,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hickory,mobile,1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 
Jacksonville,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,desktop,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Mebane,mobile,1,0,1,0.00%,3,0:02:27,0.00%,0,$0.00 
Mebane,tablet,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Oxford,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsboro,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Rocky Mount,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Rocky Mount,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Salisbury,tablet,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 
Timberlake,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Warrenton,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Omaha,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mount Vernon,desktop,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
New York,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,tablet,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Columbus,mobile,1,1,2,0.00%,3,0:03:14,0.00%,0,$0.00 
Philadelphia,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Providence,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Providence,mobile,1,1,1,0.00%,5,0:07:57,0.00%,0,$0.00 
Andrews,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,mobile,1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 
Columbia,mobile,1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 
Myrtle Beach,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Gainesville,desktop,1,0,1,0.00%,5,0:01:53,0.00%,0,$0.00 
Hampton,mobile,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Norfolk,desktop,1,1,1,0.00%,4,0:01:47,0.00%,0,$0.00 
