# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,76,29,95,52.63%,2.39,0:01:43,0.00%,0,$0.00 
Durham,mobile,71,30,94,52.13%,2.45,0:03:13,0.00%,0,$0.00 
Charlotte,mobile,41,11,66,43.94%,3.8,0:04:52,0.00%,0,$0.00 
Durham,tablet,35,9,51,39.22%,2.1,0:02:41,0.00%,0,$0.00 
Raleigh,mobile,20,11,23,47.83%,2.39,0:04:11,0.00%,0,$0.00 
Atlanta,mobile,13,5,20,55.00%,1.75,0:03:25,0.00%,0,$0.00 
Raleigh,desktop,10,5,15,53.33%,1.73,0:03:26,0.00%,0,$0.00 
Franklin,desktop,7,3,8,37.50%,2.25,0:05:12,0.00%,0,$0.00 
Raleigh,tablet,6,0,9,44.44%,2.44,0:02:11,0.00%,0,$0.00 
Chapel Hill,desktop,5,2,8,0.00%,3.75,0:07:59,0.00%,0,$0.00 
Franklin,mobile,5,2,7,57.14%,1.43,0:00:10,0.00%,0,$0.00 
(not set),mobile,4,4,4,50.00%,1.5,0:00:07,0.00%,0,$0.00 
Cary,desktop,4,1,4,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Charlotte,tablet,4,1,7,57.14%,4,0:10:25,0.00%,0,$0.00 
Henderson,mobile,3,3,3,66.67%,1.67,0:01:07,0.00%,0,$0.00 
Mebane,tablet,3,1,3,33.33%,2,0:05:17,0.00%,0,$0.00 
Winston-Salem,desktop,3,1,3,33.33%,2.67,0:21:27,0.00%,0,$0.00 
San Francisco,mobile,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,mobile,2,2,3,66.67%,1.67,0:02:45,0.00%,0,$0.00 
Atlanta,desktop,2,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Atlanta,tablet,2,1,2,0.00%,2,0:00:07,0.00%,0,$0.00 
Chicago,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,desktop,2,1,2,0.00%,2,0:00:16,0.00%,0,$0.00 
Hillsborough,desktop,2,0,5,80.00%,1.2,0:02:50,0.00%,0,$0.00 
Hillsborough,tablet,2,0,2,50.00%,4,0:03:09,0.00%,0,$0.00 
Wake Forest,mobile,2,1,2,50.00%,2,0:03:41,0.00%,0,$0.00 
Ashburn,desktop,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,mobile,2,1,2,50.00%,1.5,0:11:09,0.00%,0,$0.00 
(not set),desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Phenix City,mobile,1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 
Corona,mobile,1,0,1,0.00%,4,0:01:01,0.00%,0,$0.00 
Hialeah,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Perry,mobile,1,0,1,0.00%,2,0:01:11,0.00%,0,$0.00 
