# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180826-20180826,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,80,39,98,38.78%,2.49,0:03:07,0.00%,0,$0.00 
Durham,mobile,70,27,97,47.42%,2.93,0:06:03,0.00%,0,$0.00 
Durham,tablet,41,22,57,43.86%,2.79,0:07:18,0.00%,0,$0.00 
Charlotte,mobile,35,15,48,43.75%,2.92,0:05:27,0.00%,0,$0.00 
Raleigh,mobile,20,9,27,40.74%,2.85,0:08:22,0.00%,0,$0.00 
Atlanta,mobile,15,4,23,47.83%,2.3,0:02:20,0.00%,0,$0.00 
Franklin,mobile,10,8,11,72.73%,1.36,0:03:34,0.00%,0,$0.00 
Raleigh,desktop,9,3,11,27.27%,4,0:08:55,0.00%,0,$0.00 
New York,mobile,8,6,11,36.36%,2.55,0:03:50,0.00%,0,$0.00 
Norfolk,mobile,6,4,9,22.22%,3.44,0:06:39,0.00%,0,$0.00 
Greensboro,mobile,5,5,5,60.00%,1.4,0:03:02,0.00%,0,$0.00 
Cary,desktop,4,2,5,60.00%,1.8,0:01:13,0.00%,0,$0.00 
Franklin,desktop,4,1,4,50.00%,1.5,0:04:48,0.00%,0,$0.00 
Wake Forest,tablet,4,3,5,60.00%,1.6,0:03:29,0.00%,0,$0.00 
Miami,mobile,3,2,4,25.00%,2.5,0:03:02,0.00%,0,$0.00 
Charlotte,tablet,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Huntersville,mobile,3,3,3,33.33%,2,0:01:39,0.00%,0,$0.00 
Mebane,desktop,3,2,5,20.00%,2,0:01:14,0.00%,0,$0.00 
Raleigh,tablet,3,2,3,0.00%,16.33,0:32:58,0.00%,0,$0.00 
Virginia Beach,mobile,3,1,5,20.00%,3,0:02:48,0.00%,0,$0.00 
Atlanta,tablet,2,2,2,50.00%,2,0:01:59,0.00%,0,$0.00 
Cary,mobile,2,1,3,33.33%,3.33,0:12:14,0.00%,0,$0.00 
Cashiers,tablet,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Chapel Hill,mobile,2,1,4,25.00%,4,0:07:09,0.00%,0,$0.00 
Fayetteville,mobile,2,1,3,33.33%,3.67,0:11:55,0.00%,0,$0.00 
Franklin,tablet,2,1,2,0.00%,3.5,0:15:30,0.00%,0,$0.00 
Graham,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,desktop,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,desktop,2,1,3,0.00%,2,0:01:00,0.00%,0,$0.00 
Hillsborough,tablet,2,2,4,50.00%,2,0:00:59,0.00%,0,$0.00 
Mebane,mobile,2,1,3,66.67%,2.67,0:00:26,0.00%,0,$0.00 
Sylva,desktop,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,mobile,2,2,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Wilmington,desktop,2,1,3,33.33%,5.33,0:05:40,0.00%,0,$0.00 
Winston-Salem,mobile,2,0,3,66.67%,1.33,0:00:01,0.00%,0,$0.00 
(not set),mobile,1,0,1,0.00%,17,0:24:55,0.00%,0,$0.00 
Corona,mobile,1,0,1,0.00%,6,0:06:43,0.00%,0,$0.00 
Norwalk,tablet,1,0,2,50.00%,2.5,0:11:52,0.00%,0,$0.00 
Tampa,mobile,1,1,1,0.00%,3,0:01:55,0.00%,0,$0.00 
Atlanta,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
McDonough,mobile,1,0,2,50.00%,2.5,0:08:00,0.00%,0,$0.00 
Smyrna,desktop,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Smyrna,mobile,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Indianapolis,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kokomo,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Emporia,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Louisville,mobile,1,1,1,0.00%,6,0:16:14,0.00%,0,$0.00 
Elkridge,desktop,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Salisbury,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kansas City,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Angier,mobile,1,0,1,0.00%,4,0:01:27,0.00%,0,$0.00 
Apex,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Apex,tablet,1,1,3,33.33%,5,0:08:06,0.00%,0,$0.00 
Bailey,tablet,1,1,1,0.00%,9,0:10:54,0.00%,0,$0.00 
Benson,desktop,1,1,2,50.00%,2,0:00:16,0.00%,0,$0.00 
Boone,mobile,1,1,2,50.00%,2.5,0:01:38,0.00%,0,$0.00 
Buies Creek,desktop,1,1,1,0.00%,3,0:17:37,0.00%,0,$0.00 
Burnsville,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,desktop,1,0,1,0.00%,3,0:04:17,0.00%,0,$0.00 
