# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,google,72,24,90,58.89%,2.17,0:03:06,0.00%,0,$0.00 
Durham,myubc.org,59,21,73,23.29%,3.11,0:02:35,0.00%,0,$0.00 
Durham,(direct),45,16,57,59.65%,1.93,0:01:52,0.00%,0,$0.00 
Charlotte,google,24,7,38,60.53%,4.55,0:05:09,0.00%,0,$0.00 
Charlotte,myubc.org,20,4,27,22.22%,3.26,0:06:46,0.00%,0,$0.00 
Raleigh,myubc.org,15,7,21,19.05%,2.86,0:05:02,0.00%,0,$0.00 
Raleigh,(direct),12,7,13,76.92%,1.38,0:02:33,0.00%,0,$0.00 
Atlanta,myubc.org,11,2,16,37.50%,1.69,0:01:47,0.00%,0,$0.00 
Durham,bing,9,4,11,81.82%,1.27,0:02:01,0.00%,0,$0.00 
Raleigh,google,8,2,11,63.64%,2.09,0:02:34,0.00%,0,$0.00 
Durham,yahoo,7,2,7,71.43%,1.86,0:00:39,0.00%,0,$0.00 
Franklin,google,6,3,6,33.33%,2.33,0:05:33,0.00%,0,$0.00 
Atlanta,google,5,4,6,66.67%,2.17,0:06:42,0.00%,0,$0.00 
Charlotte,(direct),5,1,8,50.00%,2.25,0:02:01,0.00%,0,$0.00 
Cary,myubc.org,4,1,5,20.00%,2.4,0:00:32,0.00%,0,$0.00 
Chapel Hill,myubc.org,4,2,6,16.67%,4,0:07:23,0.00%,0,$0.00 
Franklin,(direct),4,1,6,66.67%,1.33,0:00:02,0.00%,0,$0.00 
(not set),(direct),3,3,3,66.67%,1.33,0:00:09,0.00%,0,$0.00 
Chicago,(direct),3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,myubc.org,3,2,3,0.00%,2,0:00:26,0.00%,0,$0.00 
Mebane,myubc.org,3,0,4,25.00%,2,0:05:14,0.00%,0,$0.00 
Winston-Salem,google,3,2,3,66.67%,2,0:11:08,0.00%,0,$0.00 
(not set),myubc.org,2,1,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Cary,google,2,0,2,50.00%,1.5,0:01:48,0.00%,0,$0.00 
Chapel Hill,(direct),2,1,2,0.00%,2.5,0:03:18,0.00%,0,$0.00 
Chapel Hill,google,2,0,2,50.00%,1.5,0:06:28,0.00%,0,$0.00 
Franklin,myubc.org,2,1,3,33.33%,2,0:03:07,0.00%,0,$0.00 
Henderson,(direct),2,2,2,50.00%,2,0:01:41,0.00%,0,$0.00 
Hillsborough,google,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,myubc.org,2,0,2,50.00%,4,0:03:09,0.00%,0,$0.00 
Knightdale,myubc.org,2,0,2,0.00%,4.5,0:01:05,0.00%,0,$0.00 
Wake Forest,(direct),2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Ashburn,(direct),2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,google,2,1,2,50.00%,1.5,0:11:09,0.00%,0,$0.00 
Phenix City,(direct),1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 
Corona,myubc.org,1,0,1,0.00%,4,0:01:01,0.00%,0,$0.00 
San Francisco,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
San Francisco,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
San Francisco,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,google,1,1,1,0.00%,3,0:08:14,0.00%,0,$0.00 
Hialeah,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Perry,(direct),1,0,1,0.00%,2,0:01:11,0.00%,0,$0.00 
Winter Haven,myubc.org,1,1,1,0.00%,10,0:32:35,0.00%,0,$0.00 
Atlanta,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Conyers,myubc.org,1,1,3,33.33%,2,0:00:21,0.00%,0,$0.00 
LaGrange,google,1,0,1,0.00%,5,0:13:28,0.00%,0,$0.00 
Macon,google,1,1,1,0.00%,3,0:00:44,0.00%,0,$0.00 
Louisville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,myubc.org,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Upper Marlboro,google,1,1,1,0.00%,2,0:00:20,0.00%,0,$0.00 
Black Mountain,yahoo,1,0,1,0.00%,2,0:01:31,0.00%,0,$0.00 
Burlington,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,google,1,0,1,0.00%,4,0:01:04,0.00%,0,$0.00 
Carrboro,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,google,1,0,1,0.00%,6,0:06:48,0.00%,0,$0.00 
Durham,r.search.aol.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,willsinspiration.wordpress.com,1,0,1,0.00%,4,0:00:57,0.00%,0,$0.00 
Fayetteville,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Garner,(direct),1,0,1,0.00%,2,0:00:14,0.00%,0,$0.00 
Graham,google,1,0,2,50.00%,1.5,0:00:33,0.00%,0,$0.00 
Greensboro,google,1,0,1,0.00%,3,0:05:26,0.00%,0,$0.00 
Greenville,google,1,1,1,0.00%,4,0:19:45,0.00%,0,$0.00 
Greenville,myubc.org,1,1,2,0.00%,6,0:21:29,0.00%,0,$0.00 
Henderson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,bing,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,us.search.yahoo.com,1,0,1,0.00%,2,0:14:11,0.00%,0,$0.00 
King,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,google,1,1,1,0.00%,3,0:15:48,0.00%,0,$0.00 
Murphy,google,1,0,1,0.00%,4,0:03:54,0.00%,0,$0.00 
Otto,bing,1,0,3,66.67%,2.33,0:00:40,0.00%,0,$0.00 
Oxford,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,m.ncsecu.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Rocky Mount,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sanford,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Swansboro,(direct),1,0,1,0.00%,4,0:16:11,0.00%,0,$0.00 
Sylva,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,google,1,1,1,0.00%,3,0:07:22,0.00%,0,$0.00 
Wake Forest,myubc.org,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,google,1,1,1,0.00%,6,0:03:27,0.00%,0,$0.00 
Wilmington,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,myubc.org,1,1,1,0.00%,4,0:01:18,0.00%,0,$0.00 
Winston-Salem,bing,1,0,1,0.00%,3,0:30:57,0.00%,0,$0.00 
New York,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
New Kensington,facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Plymouth Meeting,myubc.org,1,1,1,0.00%,2,0:00:13,0.00%,0,$0.00 
Kingstree,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Memphis,google,1,1,1,0.00%,2,0:00:52,0.00%,0,$0.00 
Carrollton,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Frisco,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Frisco,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tyler,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,bing,1,0,2,50.00%,1.5,0:00:10,0.00%,0,$0.00 
Hampton,google,1,0,3,33.33%,4,0:01:50,0.00%,0,$0.00 
Hampton,myubc.org,1,0,2,50.00%,1.5,0:00:21,0.00%,0,$0.00 
Carolina Shores,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panthersville,(direct),1,1,1,0.00%,2,0:04:25,0.00%,0,$0.00 
,,423,155,531,49.15%,2.45,0:03:10,0.00%,0,$0.00 
