# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181014-20181014,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018101409,53,18,56,44.64%,2.04,0:05:42,0.00%,0,$0.00 
Durham,2018101407,37,13,38,34.21%,2.68,0:06:01,0.00%,0,$0.00 
Durham,2018101411,32,10,30,50.00%,2.37,0:03:01,0.00%,0,$0.00 
Durham,2018101410,30,12,26,53.85%,2.04,0:02:35,0.00%,0,$0.00 
Durham,2018101408,28,10,28,39.29%,2.32,0:01:14,0.00%,0,$0.00 
Durham,2018101412,16,3,16,56.25%,1.94,0:01:20,0.00%,0,$0.00 
Charlotte,2018101411,9,3,11,45.45%,2.18,0:06:13,0.00%,0,$0.00 
Durham,2018101417,9,3,9,66.67%,3.78,0:02:20,0.00%,0,$0.00 
Charlotte,2018101409,8,2,7,42.86%,3,0:00:11,0.00%,0,$0.00 
Raleigh,2018101407,8,3,8,37.50%,2.12,0:07:48,0.00%,0,$0.00 
Durham,2018101415,7,2,6,83.33%,1.33,0:00:03,0.00%,0,$0.00 
Raleigh,2018101408,7,2,7,42.86%,2.71,0:03:15,0.00%,0,$0.00 
Raleigh,2018101410,7,2,7,42.86%,2,0:07:26,0.00%,0,$0.00 
Charlotte,2018101408,6,1,5,60.00%,1.8,0:05:27,0.00%,0,$0.00 
Charlotte,2018101410,6,4,6,66.67%,1.67,0:02:32,0.00%,0,$0.00 
Durham,2018101420,6,3,6,66.67%,1.33,0:03:18,0.00%,0,$0.00 
Raleigh,2018101411,6,0,7,57.14%,2.29,0:03:25,0.00%,0,$0.00 
Atlanta,2018101409,5,1,6,16.67%,3.33,0:01:36,0.00%,0,$0.00 
Cary,2018101409,5,1,5,40.00%,2.2,0:02:00,0.00%,0,$0.00 
Charlotte,2018101407,5,1,5,60.00%,1.2,0:04:48,0.00%,0,$0.00 
Charlotte,2018101412,5,2,4,25.00%,3,0:05:49,0.00%,0,$0.00 
Durham,2018101413,5,1,5,40.00%,2,0:01:07,0.00%,0,$0.00 
Durham,2018101414,5,1,6,66.67%,1.5,0:00:30,0.00%,0,$0.00 
Durham,2018101418,5,1,6,33.33%,3.67,0:03:16,0.00%,0,$0.00 
Durham,2018101423,5,3,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 
Raleigh,2018101409,5,2,5,80.00%,1.2,0:05:05,0.00%,0,$0.00 
Atlanta,2018101411,4,3,3,33.33%,2.67,0:00:04,0.00%,0,$0.00 
Cary,2018101411,4,3,4,25.00%,6.5,0:16:19,0.00%,0,$0.00 
Cary,2018101412,4,1,2,100.00%,4,0:00:00,0.00%,0,$0.00 
Durham,2018101416,4,2,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018101419,4,1,4,0.00%,3.75,0:03:16,0.00%,0,$0.00 
Durham,2018101422,4,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,2018101409,4,2,4,50.00%,1.5,0:00:56,0.00%,0,$0.00 
Franklin,2018101410,4,1,4,25.00%,2.25,0:11:53,0.00%,0,$0.00 
Chapel Hill,2018101409,3,0,3,0.00%,2,0:00:08,0.00%,0,$0.00 
Chapel Hill,2018101411,3,2,3,33.33%,1.33,0:10:00,0.00%,0,$0.00 
Charlotte,2018101421,3,1,3,66.67%,3,0:00:15,0.00%,0,$0.00 
Durham,2018101406,3,1,3,66.67%,2.67,0:07:36,0.00%,0,$0.00 
Durham,2018101421,3,0,1,100.00%,5,0:00:00,0.00%,0,$0.00 
Franklin,2018101411,3,1,2,100.00%,2,0:00:00,0.00%,0,$0.00 
Franklin,2018101412,3,1,3,66.67%,1.33,0:00:13,0.00%,0,$0.00 
High Point,2018101411,3,0,3,33.33%,1.67,0:00:02,0.00%,0,$0.00 
Mebane,2018101408,3,0,3,33.33%,2,0:00:10,0.00%,0,$0.00 
Birmingham,2018101408,2,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 
Washington,2018101408,2,0,1,100.00%,2,0:00:00,0.00%,0,$0.00 
Atlanta,2018101410,2,1,2,0.00%,1.5,0:14:11,0.00%,0,$0.00 
