# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180902-20180902,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,68,26,97,45.36%,2.58,0:05:54,0.00%,0,$0.00 
Durham,desktop,50,15,61,32.79%,2.43,0:04:04,0.00%,0,$0.00 
Charlotte,mobile,36,14,52,40.38%,2.81,0:06:13,0.00%,0,$0.00 
Durham,tablet,31,12,52,51.92%,2.25,0:03:36,0.00%,0,$0.00 
Atlanta,mobile,16,8,20,60.00%,2.3,0:01:34,0.00%,0,$0.00 
Raleigh,mobile,14,8,19,52.63%,2.32,0:01:58,0.00%,0,$0.00 
Chapel Hill,desktop,6,3,9,11.11%,2.11,0:00:25,0.00%,0,$0.00 
Charlotte,tablet,6,2,10,60.00%,1.8,0:04:38,0.00%,0,$0.00 
Raleigh,desktop,5,2,9,77.78%,1.89,0:02:11,0.00%,0,$0.00 
Orlando,mobile,4,2,6,33.33%,3,0:02:57,0.00%,0,$0.00 
Franklin,desktop,4,0,5,40.00%,1.8,0:01:38,0.00%,0,$0.00 
Franklin,mobile,4,2,4,50.00%,1.5,0:03:04,0.00%,0,$0.00 
Atlanta,desktop,3,1,3,66.67%,3,0:14:09,0.00%,0,$0.00 
Cary,desktop,3,1,5,20.00%,3.6,0:07:38,0.00%,0,$0.00 
Raleigh,tablet,3,2,5,60.00%,2,0:00:22,0.00%,0,$0.00 
New York,mobile,3,1,5,40.00%,2.2,0:03:51,0.00%,0,$0.00 
Philadelphia,desktop,3,2,3,66.67%,1.67,0:05:35,0.00%,0,$0.00 
Norfolk,mobile,3,1,3,0.00%,2,0:01:27,0.00%,0,$0.00 
(not set),mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Mobile,mobile,2,2,2,50.00%,2,0:01:13,0.00%,0,$0.00 
Atlanta,tablet,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Savannah,desktop,2,1,3,0.00%,3.33,0:05:06,0.00%,0,$0.00 
Cary,tablet,2,0,3,0.00%,4,0:11:57,0.00%,0,$0.00 
Chapel Hill,mobile,2,1,3,33.33%,1.67,0:00:04,0.00%,0,$0.00 
Creedmoor,desktop,2,0,3,33.33%,3,0:13:49,0.00%,0,$0.00 
Franklin,tablet,2,0,2,50.00%,2.5,0:06:05,0.00%,0,$0.00 
Goldsboro,tablet,2,2,2,50.00%,2.5,0:10:35,0.00%,0,$0.00 
Graham,mobile,2,0,2,0.00%,5.5,0:08:39,0.00%,0,$0.00 
Greensboro,mobile,2,1,3,33.33%,1.67,0:02:16,0.00%,0,$0.00 
Hickory,desktop,2,2,3,33.33%,1.67,0:00:32,0.00%,0,$0.00 
Hillsborough,desktop,2,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
