# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180916-20180916,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,335,175,460,49.57%,2.12,0:02:57,0.00%,0,$0.00 
Raleigh,55,25,74,56.76%,2.78,0:05:06,0.00%,0,$0.00 
Charlotte,52,22,71,47.89%,2.46,0:06:33,0.00%,0,$0.00 
Franklin,22,10,27,37.04%,2.56,0:04:00,0.00%,0,$0.00 
Atlanta,21,8,27,44.44%,2.07,0:06:26,0.00%,0,$0.00 
Winston-Salem,16,9,21,38.10%,2.43,0:04:45,0.00%,0,$0.00 
Cary,12,7,14,35.71%,2,0:01:24,0.00%,0,$0.00 
Wake Forest,11,8,11,54.55%,1.45,0:01:24,0.00%,0,$0.00 
Mebane,8,5,13,46.15%,1.62,0:01:00,0.00%,0,$0.00 
Chapel Hill,7,3,9,33.33%,1.67,0:03:17,0.00%,0,$0.00 
Creedmoor,5,3,6,16.67%,3,0:03:13,0.00%,0,$0.00 
Hillsborough,5,3,5,60.00%,1.4,0:00:03,0.00%,0,$0.00 
Greensboro,4,1,8,87.50%,1.25,0:00:34,0.00%,0,$0.00 
Sylva,4,2,5,20.00%,2,0:02:50,0.00%,0,$0.00 
Washington,3,1,3,66.67%,1.33,0:04:08,0.00%,0,$0.00 
Dania Beach,3,3,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Clayton,3,1,4,0.00%,2.75,0:04:19,0.00%,0,$0.00 
High Point,3,2,6,83.33%,1.17,0:00:15,0.00%,0,$0.00 
Virginia Beach,3,2,6,66.67%,1.83,0:00:49,0.00%,0,$0.00 
Seattle,3,1,3,33.33%,2,0:00:19,0.00%,0,$0.00 
(not set),2,0,2,0.00%,3,0:03:26,0.00%,0,$0.00 
Clayton,2,0,2,50.00%,2.5,0:01:46,0.00%,0,$0.00 
Miami,2,2,2,50.00%,2.5,0:00:54,0.00%,0,$0.00 
Billerica,2,1,3,33.33%,2.67,0:01:03,0.00%,0,$0.00 
Cashiers,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Greenville,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,2,1,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 
Roxboro,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
New York,2,1,2,50.00%,1.5,0:01:29,0.00%,0,$0.00 
