# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181111-20181111,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,200,79,287,47.74%,2.25,0:04:57,0.00%,0,$0.00 
Charlotte,48,18,59,37.29%,2.15,0:03:45,0.00%,0,$0.00 
Raleigh,43,15,55,40.00%,2.67,0:04:55,0.00%,0,$0.00 
Franklin,18,4,26,50.00%,2.12,0:04:24,0.00%,0,$0.00 
Atlanta,13,4,20,65.00%,2.25,0:01:45,0.00%,0,$0.00 
Chapel Hill,10,2,14,35.71%,1.93,0:02:12,0.00%,0,$0.00 
Virginia Beach,10,7,18,44.44%,2.39,0:04:08,0.00%,0,$0.00 
Cary,8,3,13,61.54%,1.38,0:01:47,0.00%,0,$0.00 
Greensboro,8,7,12,50.00%,3.58,0:06:22,0.00%,0,$0.00 
(not set),6,5,7,71.43%,2.43,0:09:35,0.00%,0,$0.00 
Mebane,6,2,7,28.57%,2.43,0:09:26,0.00%,0,$0.00 
Miami,5,0,6,50.00%,3,0:11:51,0.00%,0,$0.00 
Creedmoor,5,1,7,14.29%,4.71,0:07:24,0.00%,0,$0.00 
Hillsborough,5,1,5,40.00%,1.8,0:00:09,0.00%,0,$0.00 
Winston-Salem,4,2,7,28.57%,2.43,0:01:57,0.00%,0,$0.00 
Ashburn,4,4,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Los Angeles,3,3,4,25.00%,6.75,0:11:12,0.00%,0,$0.00 
Chicago,3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,3,1,4,0.00%,2.75,0:13:53,0.00%,0,$0.00 
Wake Forest,3,1,3,0.00%,3,0:01:15,0.00%,0,$0.00 
New York,3,1,4,25.00%,2,0:07:17,0.00%,0,$0.00 
Philadelphia,3,0,4,50.00%,2.75,0:03:56,0.00%,0,$0.00 
Columbia,3,3,6,0.00%,4.67,0:01:22,0.00%,0,$0.00 
Hampton,3,3,4,0.00%,2.75,0:01:20,0.00%,0,$0.00 
Washington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,2,0,3,66.67%,2,0:06:44,0.00%,0,$0.00 
Leland,2,1,4,75.00%,1.25,0:00:06,0.00%,0,$0.00 
Marion,2,0,3,66.67%,1.67,0:06:26,0.00%,0,$0.00 
Tel Aviv-Yafo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tiberias,1,1,2,0.00%,4,0:05:13,0.00%,0,$0.00 
Corona,1,0,1,0.00%,3,0:18:54,0.00%,0,$0.00 
San Francisco,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New Haven,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lake City,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Marietta,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Stockbridge,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Emporia,1,0,1,0.00%,3,0:02:05,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,4,0:21:14,0.00%,0,$0.00 
Cashiers,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
