# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181209-20181209,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,31,13,37,35.14%,2.14,0:03:24,0.00%,0,$0.00 
Durham,mobile,28,17,33,45.45%,2.06,0:01:28,0.00%,0,$0.00 
Durham,tablet,19,2,24,41.67%,2.21,0:02:15,0.00%,0,$0.00 
Charlotte,mobile,16,8,18,50.00%,1.89,0:02:21,0.00%,0,$0.00 
Raleigh,mobile,7,1,9,22.22%,3,0:05:35,0.00%,0,$0.00 
Franklin,tablet,3,2,3,33.33%,2,0:00:58,0.00%,0,$0.00 
Raleigh,tablet,3,0,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Atlanta,mobile,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Chapel Hill,desktop,2,1,3,66.67%,1.33,0:00:11,0.00%,0,$0.00 
Chapel Hill,mobile,2,1,3,33.33%,2.67,0:03:05,0.00%,0,$0.00 
Chapel Hill,tablet,2,1,2,50.00%,1.5,0:00:27,0.00%,0,$0.00 
Charlotte,tablet,2,0,3,66.67%,1.33,0:00:07,0.00%,0,$0.00 
Franklin,mobile,2,1,3,33.33%,4,0:03:31,0.00%,0,$0.00 
Greensboro,mobile,2,1,3,33.33%,1.67,0:00:05,0.00%,0,$0.00 
Smithfield,mobile,2,1,4,50.00%,2.25,0:00:47,0.00%,0,$0.00 
Wake Forest,desktop,2,2,3,0.00%,5.67,0:02:14,0.00%,0,$0.00 
Winston-Salem,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
New York,mobile,2,1,2,50.00%,2,0:00:29,0.00%,0,$0.00 
London,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Daphne,mobile,1,0,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 
Marietta,desktop,1,0,3,0.00%,3,0:00:46,0.00%,0,$0.00 
