# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181028-20181028,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,77,27,113,46.90%,2.37,0:05:32,0.00%,0,$0.00 
Durham,desktop,60,20,70,47.14%,2.41,0:02:06,0.00%,0,$0.00 
Durham,tablet,40,14,53,49.06%,2.21,0:03:53,0.00%,0,$0.00 
Charlotte,mobile,37,12,55,41.82%,2.2,0:05:12,0.00%,0,$0.00 
Raleigh,mobile,16,5,24,62.50%,1.5,0:01:58,0.00%,0,$0.00 
Atlanta,mobile,12,8,14,64.29%,1.64,0:00:51,0.00%,0,$0.00 
Franklin,desktop,7,0,13,76.92%,1.23,0:00:23,0.00%,0,$0.00 
Raleigh,desktop,7,1,13,76.92%,1.38,0:00:29,0.00%,0,$0.00 
Cary,desktop,6,3,7,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,desktop,6,0,7,42.86%,2.43,0:09:13,0.00%,0,$0.00 
Chapel Hill,mobile,5,1,7,57.14%,4.71,0:12:43,0.00%,0,$0.00 
Franklin,mobile,5,1,7,42.86%,3,0:12:09,0.00%,0,$0.00 
Charlotte,tablet,4,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,tablet,4,2,9,55.56%,1.56,0:00:14,0.00%,0,$0.00 
Washington,mobile,3,2,3,66.67%,1.33,0:00:32,0.00%,0,$0.00 
New York,mobile,3,2,3,66.67%,2.33,0:00:24,0.00%,0,$0.00 
Virginia Beach,mobile,3,1,5,20.00%,3.6,0:04:52,0.00%,0,$0.00 
North Decatur,mobile,3,3,4,25.00%,2.5,0:01:02,0.00%,0,$0.00 
(not set),mobile,2,1,2,50.00%,2.5,0:01:03,0.00%,0,$0.00 
Cary,mobile,2,2,2,50.00%,3.5,0:01:53,0.00%,0,$0.00 
