# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180826-20180826,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,191,88,252,43.25%,2.73,0:05:11,0.00%,0,$0.00 
Charlotte,39,18,53,47.17%,2.75,0:04:56,0.00%,0,$0.00 
Raleigh,32,14,41,34.15%,4.15,0:10:19,0.00%,0,$0.00 
Atlanta,18,7,26,50.00%,2.23,0:02:13,0.00%,0,$0.00 
Franklin,16,10,17,58.82%,1.65,0:05:15,0.00%,0,$0.00 
New York,9,7,12,41.67%,2.42,0:03:31,0.00%,0,$0.00 
Greensboro,8,7,13,76.92%,1.31,0:01:22,0.00%,0,$0.00 
Norfolk,8,5,13,23.08%,3.15,0:06:18,0.00%,0,$0.00 
Cary,6,3,8,50.00%,2.38,0:05:21,0.00%,0,$0.00 
Wake Forest,6,5,8,62.50%,1.5,0:02:11,0.00%,0,$0.00 
Hillsborough,5,4,8,25.00%,2,0:00:53,0.00%,0,$0.00 
Mebane,5,3,8,37.50%,2.25,0:00:56,0.00%,0,$0.00 
Virginia Beach,4,1,6,16.67%,2.83,0:03:38,0.00%,0,$0.00 
Miami,3,2,4,25.00%,2.5,0:03:02,0.00%,0,$0.00 
Chapel Hill,3,2,5,20.00%,3.6,0:05:44,0.00%,0,$0.00 
Huntersville,3,3,3,33.33%,2,0:01:39,0.00%,0,$0.00 
Winston-Salem,3,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 
Smyrna,2,2,2,0.00%,2,0:00:04,0.00%,0,$0.00 
Apex,2,2,4,50.00%,4,0:06:05,0.00%,0,$0.00 
Cashiers,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Fayetteville,2,1,3,33.33%,3.67,0:11:55,0.00%,0,$0.00 
Graham,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Kinston,2,0,3,33.33%,3.67,0:09:40,0.00%,0,$0.00 
Roxboro,2,0,4,25.00%,6.5,0:22:19,0.00%,0,$0.00 
Sylva,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,2,1,3,33.33%,5.33,0:05:40,0.00%,0,$0.00 
Blythewood,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Fort Worth,2,1,2,50.00%,2.5,0:12:44,0.00%,0,$0.00 
Friendly,2,0,4,25.00%,3.25,0:07:40,0.00%,0,$0.00 
Miramar,2,2,3,66.67%,1.33,0:01:24,0.00%,0,$0.00 
(not set),1,0,1,0.00%,17,0:24:55,0.00%,0,$0.00 
Corona,1,0,1,0.00%,6,0:06:43,0.00%,0,$0.00 
Norwalk,1,0,2,50.00%,2.5,0:11:52,0.00%,0,$0.00 
Tampa,1,1,1,0.00%,3,0:01:55,0.00%,0,$0.00 
McDonough,1,0,2,50.00%,2.5,0:08:00,0.00%,0,$0.00 
Indianapolis,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kokomo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Emporia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Louisville,1,1,1,0.00%,6,0:16:14,0.00%,0,$0.00 
Elkridge,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Salisbury,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kansas City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Angier,1,0,1,0.00%,4,0:01:27,0.00%,0,$0.00 
Bailey,1,1,1,0.00%,9,0:10:54,0.00%,0,$0.00 
Benson,1,1,2,50.00%,2,0:00:16,0.00%,0,$0.00 
Boone,1,1,2,50.00%,2.5,0:01:38,0.00%,0,$0.00 
Buies Creek,1,1,1,0.00%,3,0:17:37,0.00%,0,$0.00 
Burnsville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,1,0,1,0.00%,3,0:04:17,0.00%,0,$0.00 
Creedmoor,1,0,1,0.00%,4,0:05:35,0.00%,0,$0.00 
Farmville,1,1,1,0.00%,3,0:00:35,0.00%,0,$0.00 
Greenville,1,1,1,0.00%,12,0:13:45,0.00%,0,$0.00 
High Point,1,0,2,50.00%,2,0:07:21,0.00%,0,$0.00 
Knightdale,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Marion,1,0,2,50.00%,2,0:00:29,0.00%,0,$0.00 
Oxford,1,0,1,0.00%,3,0:19:09,0.00%,0,$0.00 
Reidsville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Siler City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Swannanoa,1,0,3,33.33%,3.67,0:06:32,0.00%,0,$0.00 
Swansboro,1,1,1,0.00%,3,0:00:25,0.00%,0,$0.00 
Williamston,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cherry Hill,1,0,1,0.00%,3,0:11:29,0.00%,0,$0.00 
Mount Laurel,1,0,2,50.00%,3.5,0:17:13,0.00%,0,$0.00 
Newark,1,0,3,33.33%,5.33,0:09:22,0.00%,0,$0.00 
Newburgh,1,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Philadelphia,1,0,2,0.00%,2,0:12:29,0.00%,0,$0.00 
Pittsburgh,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,1,1,1,0.00%,7,0:01:03,0.00%,0,$0.00 
Conway,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,1,1,2,0.00%,3,0:06:58,0.00%,0,$0.00 
Chattanooga,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Knoxville,1,0,1,0.00%,3,0:00:46,0.00%,0,$0.00 
Nashville,1,1,3,33.33%,4,0:13:14,0.00%,0,$0.00 
Rosenberg,1,1,1,0.00%,4,0:01:24,0.00%,0,$0.00 
Waco,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chantilly,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Colonial Heights,1,0,1,0.00%,12,0:32:09,0.00%,0,$0.00 
Reston,1,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
Richmond,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Brookhaven,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Dale City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Holden Beach,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
North Plainfield,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Saxapahaw,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Spokane Valley,1,0,1,0.00%,2,0:09:53,0.00%,0,$0.00 
Saint Charles,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
West Springfield,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,442,215,600,44.33%,2.74,0:05:08,0.00%,0,$0.00 
