# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180930-20180930,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,myubc.org,69,22,82,20.73%,3.06,0:04:26,0.00%,0,$0.00 
Durham,google,60,22,76,55.26%,2.3,0:04:32,0.00%,0,$0.00 
Durham,(direct),40,18,50,48.00%,2.14,0:05:02,0.00%,0,$0.00 
Charlotte,(direct),14,5,15,40.00%,2.13,0:01:32,0.00%,0,$0.00 
Charlotte,google,13,5,19,52.63%,1.89,0:07:06,0.00%,0,$0.00 
Charlotte,myubc.org,13,5,16,37.50%,2.88,0:03:44,0.00%,0,$0.00 
Raleigh,google,13,8,14,71.43%,1.43,0:02:13,0.00%,0,$0.00 
Raleigh,(direct),12,4,14,57.14%,1.5,0:01:44,0.00%,0,$0.00 
Durham,bing,11,5,11,72.73%,1.36,0:01:12,0.00%,0,$0.00 
Atlanta,myubc.org,9,5,11,27.27%,2.27,0:04:45,0.00%,0,$0.00 
Atlanta,google,7,5,9,66.67%,1.67,0:00:49,0.00%,0,$0.00 
Franklin,(direct),5,2,9,66.67%,2,0:02:12,0.00%,0,$0.00 
Franklin,google,5,3,5,80.00%,1.2,0:00:07,0.00%,0,$0.00 
Cary,google,4,1,4,75.00%,2.25,0:00:35,0.00%,0,$0.00 
Chapel Hill,myubc.org,4,1,7,28.57%,1.71,0:00:22,0.00%,0,$0.00 
Franklin,myubc.org,4,2,4,0.00%,2,0:00:07,0.00%,0,$0.00 
Raleigh,myubc.org,4,0,7,42.86%,1.57,0:00:04,0.00%,0,$0.00 
Miami,myubc.org,3,1,3,66.67%,2.33,0:01:46,0.00%,0,$0.00 
Chapel Hill,google,3,3,4,50.00%,1.5,0:01:04,0.00%,0,$0.00 
Durham,yahoo,3,1,6,33.33%,3,0:09:19,0.00%,0,$0.00 
Greensboro,google,3,2,3,66.67%,1.33,0:00:07,0.00%,0,$0.00 
Mebane,myubc.org,3,2,6,33.33%,2,0:01:23,0.00%,0,$0.00 
Winston-Salem,google,3,1,4,75.00%,1.25,0:01:15,0.00%,0,$0.00 
New York,google,3,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,google,2,2,2,50.00%,5,0:02:05,0.00%,0,$0.00 
Atlanta,(direct),2,1,2,0.00%,11,0:20:34,0.00%,0,$0.00 
Cary,myubc.org,2,1,2,0.00%,5,0:41:21,0.00%,0,$0.00 
Fayetteville,(direct),2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Greensboro,(direct),2,2,2,0.00%,3,0:01:51,0.00%,0,$0.00 
Knightdale,myubc.org,2,1,2,0.00%,2.5,0:00:21,0.00%,0,$0.00 
Mebane,google,2,1,2,0.00%,3.5,0:24:46,0.00%,0,$0.00 
Raleigh,bing,2,1,8,62.50%,1.5,0:02:27,0.00%,0,$0.00 
Smithfield,google,2,1,5,60.00%,3,0:05:39,0.00%,0,$0.00 
Sylva,(direct),2,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 
Winston-Salem,(direct),2,1,5,60.00%,3,0:04:26,0.00%,0,$0.00 
Austin,(direct),2,1,3,33.33%,2.33,0:04:06,0.00%,0,$0.00 
(not set),(direct),1,0,1,0.00%,2,0:25:08,0.00%,0,$0.00 
Washington,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,myubc.org,1,0,1,0.00%,2,0:00:40,0.00%,0,$0.00 
Clayton,yahoo,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Destin,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tallahassee,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kennesaw,myubc.org,1,0,3,0.00%,2,0:00:06,0.00%,0,$0.00 
Chicago,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Suitland-Silver Hill,m.facebook.com,1,0,1,0.00%,4,0:17:56,0.00%,0,$0.00 
Suitland-Silver Hill,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Apex,bing,1,1,1,0.00%,3,0:01:25,0.00%,0,$0.00 
Apex,myubc.org,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Black Mountain,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Black Mountain,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,bing,1,0,4,75.00%,1.5,0:00:10,0.00%,0,$0.00 
Charlotte,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,m.facebook.com,1,1,1,0.00%,3,0:02:15,0.00%,0,$0.00 
Charlotte,yahoo,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Concord,google,1,0,1,0.00%,5,0:03:56,0.00%,0,$0.00 
Concord,myubc.org,1,0,1,0.00%,3,0:06:40,0.00%,0,$0.00 
Cornelius,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cornelius,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,myubc.org,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Durham,m.facebook.com,1,1,1,0.00%,3,0:01:01,0.00%,0,$0.00 
Durham,outlook.live.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fayetteville,myubc.org,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Franklin,bing,1,0,2,50.00%,2,0:04:43,0.00%,0,$0.00 
Greensboro,myubc.org,1,0,3,0.00%,3.33,0:05:49,0.00%,0,$0.00 
Greenville,(direct),1,1,2,50.00%,1.5,0:13:43,0.00%,0,$0.00 
Greenville,myubc.org,1,1,1,0.00%,2,0:01:15,0.00%,0,$0.00 
Henderson,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,google,1,0,1,0.00%,4,0:29:01,0.00%,0,$0.00 
High Point,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Hillsborough,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,myubc.org,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 
Laurinburg,google,1,1,1,0.00%,2,0:03:55,0.00%,0,$0.00 
Mebane,(direct),1,1,1,0.00%,6,0:04:28,0.00%,0,$0.00 
Morrisville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ocean Isle Beach,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
