# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181104-20181104,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,78,37,104,49.04%,2.11,0:04:05,0.00%,0,$0.00 
Durham,desktop,71,26,96,65.62%,1.58,0:02:07,0.00%,0,$0.00 
Durham,tablet,41,11,54,44.44%,2.61,0:04:57,0.00%,0,$0.00 
Charlotte,mobile,35,13,42,42.86%,2.19,0:03:21,0.00%,0,$0.00 
Raleigh,mobile,18,9,26,61.54%,2.31,0:04:55,0.00%,0,$0.00 
Atlanta,mobile,14,7,17,52.94%,2.41,0:06:05,0.00%,0,$0.00 
Raleigh,desktop,7,2,11,54.55%,1.64,0:02:23,0.00%,0,$0.00 
Raleigh,tablet,6,2,9,88.89%,1.11,0:02:47,0.00%,0,$0.00 
Chapel Hill,desktop,5,1,6,50.00%,1.5,0:02:09,0.00%,0,$0.00 
Charlotte,tablet,4,0,4,25.00%,2,0:10:22,0.00%,0,$0.00 
Franklin,tablet,4,1,5,60.00%,2,0:00:33,0.00%,0,$0.00 
Greensboro,mobile,4,1,5,80.00%,1.6,0:07:24,0.00%,0,$0.00 
Miami,mobile,3,1,3,33.33%,3.33,0:13:30,0.00%,0,$0.00 
Cary,desktop,3,1,4,50.00%,1.75,0:00:15,0.00%,0,$0.00 
Franklin,desktop,3,1,5,60.00%,2.2,0:18:34,0.00%,0,$0.00 
Franklin,mobile,3,0,5,80.00%,1.2,0:00:01,0.00%,0,$0.00 
Hillsborough,desktop,3,0,6,66.67%,1.33,0:00:03,0.00%,0,$0.00 
New York,mobile,3,2,4,0.00%,2.5,0:01:12,0.00%,0,$0.00 
(not set),mobile,2,1,2,0.00%,2,0:13:04,0.00%,0,$0.00 
Tallahassee,mobile,2,1,2,50.00%,3,0:01:16,0.00%,0,$0.00 
Chapel Hill,mobile,2,1,3,33.33%,2.67,0:01:46,0.00%,0,$0.00 
Creedmoor,desktop,2,1,3,0.00%,4.33,0:01:51,0.00%,0,$0.00 
Creedmoor,tablet,2,1,3,33.33%,2,0:00:09,0.00%,0,$0.00 
Greensboro,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Matthews,tablet,2,2,3,66.67%,1.33,0:01:04,0.00%,0,$0.00 
Sylva,desktop,2,1,2,50.00%,1.5,0:02:39,0.00%,0,$0.00 
Winston-Salem,mobile,2,0,4,0.00%,4,0:03:20,0.00%,0,$0.00 
Virginia Beach,mobile,2,0,3,66.67%,1.67,0:00:08,0.00%,0,$0.00 
(not set),tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Bay Minette,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,mobile,1,0,2,50.00%,2,0:14:10,0.00%,0,$0.00 
Washington,tablet,1,1,1,0.00%,4,0:03:03,0.00%,0,$0.00 
Orlando,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbus,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,desktop,1,0,2,0.00%,2,0:00:07,0.00%,0,$0.00 
Chicago,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Frankfort,mobile,1,1,1,0.00%,7,0:32:14,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Oxford,mobile,1,0,1,0.00%,17,0:42:26,0.00%,0,$0.00 
Apex,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,desktop,1,0,1,0.00%,5,0:15:15,0.00%,0,$0.00 
