# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181028-20181028,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,177,61,236,47.46%,2.35,0:04:09,0.00%,0,$0.00 
Charlotte,42,13,61,45.90%,2.1,0:04:42,0.00%,0,$0.00 
Raleigh,27,8,46,65.22%,1.48,0:01:13,0.00%,0,$0.00 
Franklin,14,1,24,66.67%,1.75,0:03:47,0.00%,0,$0.00 
Atlanta,12,8,14,64.29%,1.64,0:00:51,0.00%,0,$0.00 
Chapel Hill,12,1,15,46.67%,3.87,0:11:18,0.00%,0,$0.00 
Cary,9,5,10,80.00%,1.6,0:00:23,0.00%,0,$0.00 
Mebane,4,0,5,20.00%,2.4,0:00:40,0.00%,0,$0.00 
Philadelphia,4,2,4,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),3,2,4,50.00%,2,0:01:21,0.00%,0,$0.00 
Washington,3,2,3,66.67%,1.33,0:00:32,0.00%,0,$0.00 
Creedmoor,3,1,4,75.00%,1.25,0:00:06,0.00%,0,$0.00 
Greensboro,3,0,4,75.00%,1.75,0:00:56,0.00%,0,$0.00 
Wake Forest,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,3,0,3,33.33%,1.67,0:00:02,0.00%,0,$0.00 
New York,3,2,3,66.67%,2.33,0:00:24,0.00%,0,$0.00 
Norfolk,3,2,5,20.00%,4.2,0:01:50,0.00%,0,$0.00 
Virginia Beach,3,1,5,20.00%,3.6,0:04:52,0.00%,0,$0.00 
North Decatur,3,3,4,25.00%,2.5,0:01:02,0.00%,0,$0.00 
Chicago,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Elkridge,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Boone,2,2,3,33.33%,1.67,0:05:34,0.00%,0,$0.00 
Garner,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,2,1,4,50.00%,2.75,0:00:21,0.00%,0,$0.00 
Oxford,2,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Roanoke Rapids,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Peekskill,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Arlington,2,1,2,50.00%,3,0:01:34,0.00%,0,$0.00 
Roanoke,2,2,2,50.00%,1.5,0:01:08,0.00%,0,$0.00 
Irondale,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fairhope,1,1,1,0.00%,3,0:07:18,0.00%,0,$0.00 
Corona,1,0,1,0.00%,2,0:28:15,0.00%,0,$0.00 
Boulder,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Athens,1,0,5,20.00%,4.2,0:07:39,0.00%,0,$0.00 
Kennesaw,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Loganville,1,1,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Riverdale,1,1,1,0.00%,3,0:02:43,0.00%,0,$0.00 
Boston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Kansas City,1,1,1,0.00%,2,0:00:26,0.00%,0,$0.00 
Apex,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,1,0,1,0.00%,3,0:28:22,0.00%,0,$0.00 
Eden,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Elm City,1,1,1,0.00%,11,0:12:12,0.00%,0,$0.00 
Graham,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Greenville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Shelby,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Welcome,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,1,0,1,0.00%,5,0:03:06,0.00%,0,$0.00 
Whittier,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Zebulon,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Newark,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Totowa,1,0,1,0.00%,13,0:29:17,0.00%,0,$0.00 
Poughkeepsie,1,1,2,50.00%,1.5,0:00:10,0.00%,0,$0.00 
White Plains,1,1,4,50.00%,2.5,0:02:14,0.00%,0,$0.00 
Columbus,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Reynoldsburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oklahoma City,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Blue Bell,1,0,1,0.00%,2,0:00:22,0.00%,0,$0.00 
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Spartanburg,1,1,1,0.00%,4,0:20:35,0.00%,0,$0.00 
Houston,1,1,1,0.00%,2,0:00:18,0.00%,0,$0.00 
Danville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hampton,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Leesburg,1,1,2,0.00%,2.5,0:00:38,0.00%,0,$0.00 
Williamsburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dock Junction,1,0,1,0.00%,3,0:23:59,0.00%,0,$0.00 
North Druid Hills,1,0,3,66.67%,1.67,0:04:19,0.00%,0,$0.00 
Panthersville,1,0,1,0.00%,4,0:29:33,0.00%,0,$0.00 
Potomac Falls,1,0,1,0.00%,3,0:36:55,0.00%,0,$0.00 
,404,147,546,53.11%,2.16,0:03:35,0.00%,0,$0.00 
