# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180819-20180819,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Chapel Hill,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,dnsrsearch.com,1,0,1,0.00%,3,0:27:56,0.00%,0,$0.00 
Concord,myubc.org,1,0,1,0.00%,2,0:00:17,0.00%,0,$0.00 
Creedmoor,(direct),1,1,1,0.00%,7,0:10:02,0.00%,0,$0.00 
Durham,dnserrorassist.att.net,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,outlook.live.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fuquay Varina,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fuquay Varina,myubc.org,1,1,1,0.00%,3,0:00:29,0.00%,0,$0.00 
Greensboro,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
High Point,myubc.org,1,0,1,0.00%,2,0:01:34,0.00%,0,$0.00 
Hillsborough,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,(direct),1,0,2,50.00%,3.5,0:05:08,0.00%,0,$0.00 
Jacksonville,google,1,0,1,0.00%,2,0:00:20,0.00%,0,$0.00 
Kernersville,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kittrell,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 
Leland,myubc.org,1,1,1,0.00%,3,0:02:46,0.00%,0,$0.00 
Mebane,(direct),1,0,1,0.00%,5,0:24:48,0.00%,0,$0.00 
Mebane,google,1,1,1,0.00%,5,0:01:00,0.00%,0,$0.00 
Morrisville,(direct),1,1,1,0.00%,2,0:01:26,0.00%,0,$0.00 
Morrisville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,(direct),1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Oxford,bing,1,1,1,0.00%,3,0:10:26,0.00%,0,$0.00 
Raleigh,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Roanoke Rapids,(direct),1,0,2,50.00%,2.5,0:03:12,0.00%,0,$0.00 
Roanoke Rapids,myubc.org,1,0,1,0.00%,8,0:29:43,0.00%,0,$0.00 
Roxboro,google,1,1,1,0.00%,5,0:08:14,0.00%,0,$0.00 
Roxboro,myubc.org,1,0,2,0.00%,4.5,0:06:31,0.00%,0,$0.00 
Siler City,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Swannanoa,facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,google,1,1,1,0.00%,2,0:00:38,0.00%,0,$0.00 
Wake Forest,myubc.org,1,0,3,0.00%,2,0:00:23,0.00%,0,$0.00 
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,frontpage.pch.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,myubc.org,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 
New York,myactivity.google.com,1,0,1,0.00%,3,0:18:38,0.00%,0,$0.00 
Newburgh,google,1,0,3,66.67%,2,0:00:43,0.00%,0,$0.00 
Cincinnati,bing,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Lancaster,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,google,1,0,1,0.00%,2,0:12:41,0.00%,0,$0.00 
Blythewood,(direct),1,0,1,0.00%,5,0:13:38,0.00%,0,$0.00 
Columbia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Conway,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kingstree,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Manning,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,google,1,1,1,0.00%,2,0:01:22,0.00%,0,$0.00 
Myrtle Beach,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
North Myrtle Beach,(direct),1,0,1,0.00%,3,0:01:10,0.00%,0,$0.00 
Sumter,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Johnson City,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Johnson City,myubc.org,1,1,1,0.00%,4,0:08:35,0.00%,0,$0.00 
Nashville,google,1,1,2,0.00%,3,0:01:37,0.00%,0,$0.00 
Carrollton,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Dallas,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
