# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181209-20181209,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018120911,21,8,20,45.00%,1.85,0:01:26,0.00%,0,$0.00 
Durham,2018120909,19,7,21,28.57%,2.43,0:02:36,0.00%,0,$0.00 
Durham,2018120907,13,3,13,46.15%,1.77,0:01:57,0.00%,0,$0.00 
Durham,2018120910,8,2,8,25.00%,3,0:09:11,0.00%,0,$0.00 
Charlotte,2018120907,7,2,7,57.14%,2,0:04:24,0.00%,0,$0.00 
Durham,2018120908,7,3,7,28.57%,2.14,0:02:23,0.00%,0,$0.00 
Durham,2018120912,7,1,6,33.33%,1.83,0:00:39,0.00%,0,$0.00 
Charlotte,2018120909,5,3,5,40.00%,1.8,0:00:10,0.00%,0,$0.00 
Chapel Hill,2018120908,4,2,3,33.33%,2.33,0:00:19,0.00%,0,$0.00 
Charlotte,2018120908,4,0,3,33.33%,2.33,0:02:55,0.00%,0,$0.00 
Durham,2018120922,4,3,4,50.00%,2,0:01:05,0.00%,0,$0.00 
Durham,2018120914,3,1,3,66.67%,1.33,0:00:07,0.00%,0,$0.00 
Raleigh,2018120909,3,0,3,33.33%,1.67,0:00:05,0.00%,0,$0.00 
Smithfield,2018120910,3,1,3,100.00%,2.33,0:00:00,0.00%,0,$0.00 
Charlotte,2018120911,2,1,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Charlotte,2018120912,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018120906,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018120913,2,0,2,50.00%,1.5,0:01:35,0.00%,0,$0.00 
Durham,2018120916,2,0,2,0.00%,3.5,0:01:21,0.00%,0,$0.00 
Franklin,2018120908,2,0,2,50.00%,4,0:02:13,0.00%,0,$0.00 
Franklin,2018120909,2,1,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Greensboro,2018120907,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Mebane,2018120909,2,1,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Raleigh,2018120908,2,0,2,0.00%,2.5,0:00:24,0.00%,0,$0.00 
Raleigh,2018120910,2,0,2,50.00%,6,0:20:11,0.00%,0,$0.00 
London,2018120907,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Daphne,2018120911,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Daphne,2018120912,1,0,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Atlanta,2018120908,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Atlanta,2018120909,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,2018120909,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Marietta,2018120910,1,0,1,0.00%,4,0:01:51,0.00%,0,$0.00 
Marietta,2018120912,1,0,1,0.00%,3,0:00:20,0.00%,0,$0.00 
