# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180812-20180812,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Franklin,tablet,3,2,4,25.00%,2.25,0:01:54,0.00%,0,$0.00 
Greensboro,desktop,3,2,5,80.00%,2,0:00:40,0.00%,0,$0.00 
Greensboro,tablet,3,2,4,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Henderson,mobile,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,mobile,3,2,4,50.00%,2.75,0:00:36,0.00%,0,$0.00 
Rocky Mount,mobile,3,3,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,tablet,2,2,2,0.00%,6.5,0:27:35,0.00%,0,$0.00 
Chapel Hill,desktop,2,1,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
High Point,mobile,2,1,2,50.00%,2.5,0:07:34,0.00%,0,$0.00 
Hillsborough,mobile,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,desktop,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,mobile,2,1,2,0.00%,6,0:19:23,0.00%,0,$0.00 
Virginia Beach,mobile,2,1,2,0.00%,4,0:01:12,0.00%,0,$0.00 
(not set),desktop,1,0,1,0.00%,3,0:14:39,0.00%,0,$0.00 
(not set),tablet,1,0,1,0.00%,3,0:04:04,0.00%,0,$0.00 
Indore,mobile,1,1,1,0.00%,5,0:08:24,0.00%,0,$0.00 
Buena Park,mobile,1,1,2,0.00%,5.5,0:05:55,0.00%,0,$0.00 
Corona,mobile,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
San Diego,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,mobile,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Clayton,desktop,1,0,1,0.00%,6,0:28:21,0.00%,0,$0.00 
Fort Lauderdale,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
