# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180930-20180930,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018093009,49,13,51,33.33%,2.22,0:05:46,0.00%,0,$0.00 
Durham,2018093010,40,14,34,38.24%,3.32,0:06:55,0.00%,0,$0.00 
Durham,2018093011,40,14,38,31.58%,2.84,0:03:01,0.00%,0,$0.00 
Durham,2018093008,33,6,27,40.74%,2.41,0:05:10,0.00%,0,$0.00 
Durham,2018093007,32,15,32,34.38%,2.75,0:06:02,0.00%,0,$0.00 
Charlotte,2018093009,15,4,15,33.33%,2,0:06:01,0.00%,0,$0.00 
Raleigh,2018093009,12,2,12,58.33%,1.42,0:00:37,0.00%,0,$0.00 
Charlotte,2018093010,9,2,7,28.57%,2.43,0:06:54,0.00%,0,$0.00 
Charlotte,2018093007,8,4,8,62.50%,2.25,0:00:42,0.00%,0,$0.00 
Charlotte,2018093008,7,2,7,42.86%,1.86,0:01:32,0.00%,0,$0.00 
Raleigh,2018093011,7,3,7,42.86%,1.57,0:03:41,0.00%,0,$0.00 
Durham,2018093012,6,0,7,71.43%,2.14,0:00:41,0.00%,0,$0.00 
Durham,2018093018,6,2,5,100.00%,2,0:00:00,0.00%,0,$0.00 
Charlotte,2018093011,5,2,5,60.00%,3.2,0:04:54,0.00%,0,$0.00 
Durham,2018093016,5,0,5,80.00%,3,0:02:14,0.00%,0,$0.00 
Raleigh,2018093007,5,2,5,40.00%,1.8,0:02:13,0.00%,0,$0.00 
Atlanta,2018093012,4,2,8,75.00%,1.62,0:00:10,0.00%,0,$0.00 
Cary,2018093009,4,0,4,50.00%,2.5,0:21:15,0.00%,0,$0.00 
Durham,2018093014,4,1,4,75.00%,1.25,0:01:09,0.00%,0,$0.00 
Durham,2018093019,4,1,4,50.00%,2,0:02:01,0.00%,0,$0.00 
Durham,2018093020,4,0,4,50.00%,1.5,0:00:23,0.00%,0,$0.00 
Franklin,2018093008,4,4,4,50.00%,1.5,0:00:10,0.00%,0,$0.00 
Franklin,2018093010,4,1,4,50.00%,3,0:04:25,0.00%,0,$0.00 
Mebane,2018093008,4,2,3,0.00%,2.67,0:01:34,0.00%,0,$0.00 
Raleigh,2018093008,4,2,4,25.00%,1.75,0:01:13,0.00%,0,$0.00 
Raleigh,2018093010,4,0,4,50.00%,2,0:06:34,0.00%,0,$0.00 
Raleigh,2018093012,4,0,3,66.67%,1.67,0:00:03,0.00%,0,$0.00 
Winston-Salem,2018093008,4,1,4,50.00%,1.75,0:04:21,0.00%,0,$0.00 
Atlanta,2018093007,3,1,3,0.00%,4,0:11:59,0.00%,0,$0.00 
Atlanta,2018093009,3,2,3,0.00%,4.33,0:07:38,0.00%,0,$0.00 
Atlanta,2018093011,3,3,3,0.00%,2.67,0:09:40,0.00%,0,$0.00 
Chapel Hill,2018093008,3,0,2,0.00%,2.5,0:01:10,0.00%,0,$0.00 
Chapel Hill,2018093011,3,1,3,0.00%,2,0:00:06,0.00%,0,$0.00 
Charlotte,2018093012,3,0,3,66.67%,1.67,0:01:35,0.00%,0,$0.00 
Durham,2018093022,3,1,3,33.33%,1.67,0:03:32,0.00%,0,$0.00 
Durham,2018093023,3,0,3,66.67%,1.33,0:00:37,0.00%,0,$0.00 
Franklin,2018093011,3,0,3,66.67%,1.67,0:03:09,0.00%,0,$0.00 
Greensboro,2018093008,3,2,3,0.00%,2,0:00:42,0.00%,0,$0.00 
Raleigh,2018093021,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Smithfield,2018093015,3,1,3,33.33%,4.33,0:09:25,0.00%,0,$0.00 
New York,2018093009,3,0,4,75.00%,2,0:19:02,0.00%,0,$0.00 
Orlando,2018093007,2,2,2,50.00%,5,0:02:05,0.00%,0,$0.00 
Atlanta,2018093008,2,0,1,0.00%,10,0:00:07,0.00%,0,$0.00 
Atlanta,2018093010,2,2,2,50.00%,2,0:05:43,0.00%,0,$0.00 
Cary,2018093010,2,1,1,0.00%,8,0:00:02,0.00%,0,$0.00 
