# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180916-20180916,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,146,85,203,51.23%,2.27,0:03:29,0.00%,0,$0.00 
Durham,desktop,117,55,161,47.20%,1.99,0:02:16,0.00%,0,$0.00 
Durham,tablet,72,35,96,50.00%,2.01,0:03:00,0.00%,0,$0.00 
Charlotte,mobile,48,22,67,49.25%,2.51,0:06:46,0.00%,0,$0.00 
Raleigh,mobile,34,14,47,48.94%,3.26,0:06:37,0.00%,0,$0.00 
Atlanta,mobile,18,6,23,47.83%,1.96,0:06:39,0.00%,0,$0.00 
Raleigh,tablet,15,8,16,68.75%,2.12,0:02:48,0.00%,0,$0.00 
Franklin,mobile,9,6,9,44.44%,2.11,0:04:15,0.00%,0,$0.00 
Wake Forest,mobile,8,7,8,75.00%,1.25,0:00:16,0.00%,0,$0.00 
Cary,mobile,7,6,8,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Franklin,desktop,7,2,8,37.50%,1.88,0:04:56,0.00%,0,$0.00 
Winston-Salem,mobile,7,5,9,33.33%,3.33,0:10:34,0.00%,0,$0.00 
Franklin,tablet,6,2,10,30.00%,3.5,0:03:01,0.00%,0,$0.00 
Raleigh,desktop,6,3,11,72.73%,1.73,0:01:59,0.00%,0,$0.00 
Winston-Salem,tablet,5,4,7,42.86%,1.71,0:00:20,0.00%,0,$0.00 
Cary,desktop,4,1,5,20.00%,2.8,0:03:44,0.00%,0,$0.00 
Winston-Salem,desktop,4,0,5,40.00%,1.8,0:00:28,0.00%,0,$0.00 
Washington,mobile,3,1,3,66.67%,1.33,0:04:08,0.00%,0,$0.00 
Chapel Hill,tablet,3,2,4,25.00%,1.75,0:00:18,0.00%,0,$0.00 
Charlotte,tablet,3,0,3,33.33%,1.67,0:03:46,0.00%,0,$0.00 
Creedmoor,desktop,3,2,4,25.00%,3.5,0:04:21,0.00%,0,$0.00 
Hillsborough,mobile,3,3,3,33.33%,1.67,0:00:06,0.00%,0,$0.00 
Mebane,desktop,3,1,7,42.86%,1.57,0:00:06,0.00%,0,$0.00 
Mebane,mobile,3,3,3,66.67%,1.67,0:02:49,0.00%,0,$0.00 
Sylva,desktop,3,1,4,0.00%,2.25,0:03:33,0.00%,0,$0.00 
Virginia Beach,mobile,3,2,6,66.67%,1.83,0:00:49,0.00%,0,$0.00 
Seattle,mobile,3,1,3,33.33%,2,0:00:19,0.00%,0,$0.00 
(not set),mobile,2,0,2,0.00%,3,0:03:26,0.00%,0,$0.00 
Dania Beach,tablet,2,2,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Miami,mobile,2,2,2,50.00%,2.5,0:00:54,0.00%,0,$0.00 
Atlanta,tablet,2,2,3,33.33%,2.33,0:04:33,0.00%,0,$0.00 
Billerica,desktop,2,1,3,33.33%,2.67,0:01:03,0.00%,0,$0.00 
Cashiers,desktop,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,desktop,2,1,3,33.33%,1.67,0:00:05,0.00%,0,$0.00 
Chapel Hill,mobile,2,0,2,50.00%,1.5,0:14:04,0.00%,0,$0.00 
Clayton,tablet,2,1,2,0.00%,2,0:02:24,0.00%,0,$0.00 
Creedmoor,tablet,2,1,2,0.00%,2,0:00:57,0.00%,0,$0.00 
Greensboro,desktop,2,0,6,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,mobile,2,1,2,50.00%,2,0:02:17,0.00%,0,$0.00 
Greenville,mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,desktop,2,2,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,tablet,2,1,3,33.33%,1.67,0:01:17,0.00%,0,$0.00 
Wake Forest,desktop,2,1,2,0.00%,2,0:05:46,0.00%,0,$0.00 
Philadelphia,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Iwakuni,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Huntsville,mobile,1,0,1,0.00%,2,0:03:23,0.00%,0,$0.00 
Montgomery,mobile,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
New Haven,tablet,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Clayton,desktop,1,0,1,0.00%,4,0:03:31,0.00%,0,$0.00 
Clayton,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dania Beach,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hollywood,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,mobile,1,0,2,0.00%,2,0:03:10,0.00%,0,$0.00 
Pompano Beach,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tallahassee,mobile,1,1,1,0.00%,2,0:14:38,0.00%,0,$0.00 
Atlanta,desktop,1,0,1,0.00%,4,0:06:51,0.00%,0,$0.00 
Kennesaw,desktop,1,0,2,0.00%,3,0:14:22,0.00%,0,$0.00 
Marietta,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Overland Park,desktop,1,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 
Springfield,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Kansas City,desktop,1,1,1,0.00%,2,0:01:13,0.00%,0,$0.00 
Black Mountain,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,tablet,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Charlotte,desktop,1,0,1,0.00%,2,0:00:33,0.00%,0,$0.00 
Cherokee,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
