# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180826-20180826,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,google,70,39,81,59.26%,2.36,0:04:50,0.00%,0,$0.00 
Durham,myubc.org,62,21,78,16.67%,3.88,0:06:26,0.00%,0,$0.00 
Durham,(direct),52,20,68,48.53%,2.22,0:04:54,0.00%,0,$0.00 
Charlotte,google,20,6,27,48.15%,2.52,0:05:18,0.00%,0,$0.00 
Raleigh,google,15,7,18,33.33%,3.44,0:11:46,0.00%,0,$0.00 
Durham,bing,12,5,16,62.50%,1.75,0:04:31,0.00%,0,$0.00 
Raleigh,(direct),11,4,13,30.77%,2.38,0:05:10,0.00%,0,$0.00 
Charlotte,(direct),10,6,15,53.33%,3.27,0:05:41,0.00%,0,$0.00 
Franklin,(direct),10,6,11,72.73%,1.27,0:01:53,0.00%,0,$0.00 
Charlotte,myubc.org,9,5,10,30.00%,2.8,0:03:22,0.00%,0,$0.00 
Atlanta,google,8,5,9,66.67%,1.67,0:03:31,0.00%,0,$0.00 
Atlanta,(direct),7,1,9,44.44%,2.56,0:01:47,0.00%,0,$0.00 
Raleigh,myubc.org,5,2,6,16.67%,10.83,0:15:38,0.00%,0,$0.00 
Greensboro,(direct),4,4,4,75.00%,1.25,0:03:47,0.00%,0,$0.00 
New York,(direct),4,4,4,50.00%,3,0:07:02,0.00%,0,$0.00 
Norfolk,myubc.org,4,2,7,14.29%,2.43,0:03:24,0.00%,0,$0.00 
Atlanta,myubc.org,3,1,4,50.00%,1.75,0:00:21,0.00%,0,$0.00 
Durham,yahoo,3,2,4,50.00%,1.75,0:01:37,0.00%,0,$0.00 
Franklin,google,3,1,3,33.33%,2,0:16:06,0.00%,0,$0.00 
Hillsborough,myubc.org,3,2,4,0.00%,2,0:00:46,0.00%,0,$0.00 
Mebane,myubc.org,3,1,4,0.00%,3.25,0:00:30,0.00%,0,$0.00 
Norfolk,google,3,2,4,25.00%,4,0:11:27,0.00%,0,$0.00 
Miami,(direct),2,1,2,50.00%,1.5,0:04:31,0.00%,0,$0.00 
Smyrna,myubc.org,2,2,2,0.00%,2,0:00:04,0.00%,0,$0.00 
Apex,google,2,2,3,66.67%,3.67,0:07:24,0.00%,0,$0.00 
Cary,bing,2,2,3,66.67%,1.67,0:00:52,0.00%,0,$0.00 
Cary,myubc.org,2,1,3,33.33%,3.67,0:10:32,0.00%,0,$0.00 
Cashiers,(direct),2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Chapel Hill,myubc.org,2,2,2,0.00%,3,0:00:21,0.00%,0,$0.00 
Durham,m.facebook.com,2,1,3,66.67%,1.33,0:00:12,0.00%,0,$0.00 
Franklin,myubc.org,2,2,2,0.00%,3.5,0:10:08,0.00%,0,$0.00 
