# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181111-20181111,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,77,33,103,46.60%,2.14,0:05:32,0.00%,0,$0.00 
Durham,desktop,73,29,105,51.43%,2.24,0:03:06,0.00%,0,$0.00 
Durham,tablet,50,17,79,44.30%,2.43,0:06:39,0.00%,0,$0.00 
Charlotte,mobile,46,17,57,36.84%,2.18,0:03:53,0.00%,0,$0.00 
Raleigh,mobile,33,11,42,38.10%,2.64,0:05:20,0.00%,0,$0.00 
Atlanta,mobile,12,4,19,68.42%,2.26,0:01:50,0.00%,0,$0.00 
Virginia Beach,mobile,10,7,18,44.44%,2.39,0:04:08,0.00%,0,$0.00 
Franklin,desktop,8,1,9,44.44%,1.89,0:03:17,0.00%,0,$0.00 
Franklin,mobile,6,1,11,54.55%,2.45,0:04:29,0.00%,0,$0.00 
Raleigh,tablet,6,3,8,37.50%,3.5,0:04:32,0.00%,0,$0.00 
Miami,mobile,5,0,6,50.00%,3,0:11:51,0.00%,0,$0.00 
Cary,desktop,5,2,8,62.50%,1.38,0:02:52,0.00%,0,$0.00 
Chapel Hill,desktop,5,1,7,14.29%,1.86,0:00:09,0.00%,0,$0.00 
(not set),desktop,4,3,4,75.00%,3.25,0:16:44,0.00%,0,$0.00 
Chapel Hill,mobile,4,1,5,60.00%,2,0:05:50,0.00%,0,$0.00 
Creedmoor,desktop,4,0,6,16.67%,5.17,0:05:36,0.00%,0,$0.00 
Franklin,tablet,4,2,6,50.00%,1.83,0:05:56,0.00%,0,$0.00 
Greensboro,desktop,4,3,7,57.14%,2,0:03:02,0.00%,0,$0.00 
Mebane,desktop,4,2,5,20.00%,2.8,0:13:12,0.00%,0,$0.00 
Raleigh,desktop,4,1,5,60.00%,1.6,0:01:57,0.00%,0,$0.00 
Ashburn,desktop,4,4,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Los Angeles,mobile,3,3,4,25.00%,6.75,0:11:12,0.00%,0,$0.00 
Greensboro,mobile,3,3,3,33.33%,6.33,0:15:20,0.00%,0,$0.00 
Hillsborough,desktop,3,0,3,33.33%,1.67,0:00:09,0.00%,0,$0.00 
New York,mobile,3,1,4,25.00%,2,0:07:17,0.00%,0,$0.00 
Hampton,desktop,3,3,4,0.00%,2.75,0:01:20,0.00%,0,$0.00 
(not set),mobile,2,2,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Chicago,mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,tablet,2,0,4,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Charlotte,tablet,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Knightdale,mobile,2,1,3,0.00%,2.33,0:10:15,0.00%,0,$0.00 
Wake Forest,tablet,2,1,2,0.00%,3.5,0:01:18,0.00%,0,$0.00 
Winston-Salem,desktop,2,1,4,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Philadelphia,mobile,2,0,2,50.00%,3.5,0:06:23,0.00%,0,$0.00 
Columbia,desktop,2,2,5,0.00%,5.2,0:01:37,0.00%,0,$0.00 
Tel Aviv-Yafo,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tiberias,tablet,1,1,2,0.00%,4,0:05:13,0.00%,0,$0.00 
Corona,mobile,1,0,1,0.00%,3,0:18:54,0.00%,0,$0.00 
San Francisco,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New Haven,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lake City,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,mobile,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Atlanta,desktop,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Marietta,desktop,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Stockbridge,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Emporia,mobile,1,0,1,0.00%,3,0:02:05,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,4,0:21:14,0.00%,0,$0.00 
Burlington,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,tablet,1,0,2,50.00%,2.5,0:10:06,0.00%,0,$0.00 
Cary,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,tablet,1,0,2,50.00%,2,0:00:18,0.00%,0,$0.00 
Cherokee,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,mobile,1,1,1,0.00%,2,0:18:12,0.00%,0,$0.00 
Fayetteville,mobile,1,0,1,0.00%,2,0:16:55,0.00%,0,$0.00 
Garner,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,tablet,1,1,2,50.00%,5,0:04:33,0.00%,0,$0.00 
Greenville,mobile,1,1,1,0.00%,7,0:11:08,0.00%,0,$0.00 
Hillsborough,mobile,1,1,1,0.00%,3,0:00:18,0.00%,0,$0.00 
Hillsborough,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,desktop,1,0,1,0.00%,4,0:24:46,0.00%,0,$0.00 
Leland,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Leland,tablet,1,1,2,50.00%,1.5,0:00:12,0.00%,0,$0.00 
Marion,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Marion,mobile,1,0,1,0.00%,3,0:19:17,0.00%,0,$0.00 
Mebane,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,tablet,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Mocksville,desktop,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Morrisville,desktop,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Oxford,mobile,1,0,4,25.00%,4.75,0:13:26,0.00%,0,$0.00 
Pittsboro,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Robbinsville,mobile,1,1,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Stoneville,desktop,1,0,2,50.00%,2,0:01:36,0.00%,0,$0.00 
Swannanoa,desktop,1,0,2,50.00%,2,0:04:13,0.00%,0,$0.00 
Sylva,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,mobile,1,0,1,0.00%,2,0:01:11,0.00%,0,$0.00 
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,mobile,1,0,1,0.00%,9,0:19:34,0.00%,0,$0.00 
Wilson,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,mobile,1,0,1,0.00%,3,0:11:29,0.00%,0,$0.00 
Winston-Salem,tablet,1,1,2,0.00%,4,0:00:55,0.00%,0,$0.00 
Zebulon,desktop,1,0,1,0.00%,2,0:15:03,0.00%,0,$0.00 
Jackson,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Phillipsburg,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Las Vegas,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,tablet,1,0,1,0.00%,2,0:10:55,0.00%,0,$0.00 
Cincinnati,mobile,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Dublin,desktop,1,1,2,0.00%,2,0:04:04,0.00%,0,$0.00 
Portland,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,desktop,1,0,2,50.00%,2,0:01:29,0.00%,0,$0.00 
Pittsburgh,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
York,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,mobile,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Dallas,mobile,1,1,1,0.00%,2,0:00:21,0.00%,0,$0.00 
Houston,mobile,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Irving,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Longview,mobile,1,0,1,0.00%,10,0:12:00,0.00%,0,$0.00 
Charlottesville,desktop,1,0,3,33.33%,2.33,0:08:27,0.00%,0,$0.00 
Richmond,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Candler-McAfee,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Duck,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Friendly,tablet,1,0,2,0.00%,2,0:00:09,0.00%,0,$0.00 
North Druid Hills,mobile,1,0,1,0.00%,5,0:06:31,0.00%,0,$0.00 
Oxon Hill-Glassmanor,tablet,1,1,1,0.00%,2,0:00:46,0.00%,0,$0.00 
Palmetto Bay,mobile,1,0,1,0.00%,6,0:10:01,0.00%,0,$0.00 
Sandy Springs,mobile,1,0,1,0.00%,4,0:35:07,0.00%,0,$0.00 
Saint Charles,tablet,1,0,1,0.00%,4,0:19:17,0.00%,0,$0.00 
West Springfield,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,,477,182,657,45.81%,2.36,0:04:38,0.00%,0,$0.00 
