# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181014-20181014,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,197,84,253,49.41%,2.25,0:03:26,0.00%,0,$0.00 
Charlotte,41,19,54,59.26%,2,0:03:03,0.00%,0,$0.00 
Raleigh,27,13,42,54.76%,1.95,0:04:31,0.00%,0,$0.00 
Franklin,15,7,18,55.56%,1.72,0:03:14,0.00%,0,$0.00 
Atlanta,12,8,15,26.67%,2.47,0:03:44,0.00%,0,$0.00 
Cary,11,6,15,40.00%,3.53,0:05:02,0.00%,0,$0.00 
Chapel Hill,11,2,14,35.71%,1.79,0:04:10,0.00%,0,$0.00 
Creedmoor,7,1,9,33.33%,2.11,0:04:30,0.00%,0,$0.00 
Birmingham,5,1,7,57.14%,2,0:01:27,0.00%,0,$0.00 
Washington,5,2,7,42.86%,1.71,0:04:58,0.00%,0,$0.00 
Wake Forest,5,1,8,50.00%,2,0:03:40,0.00%,0,$0.00 
Winston-Salem,5,2,5,40.00%,2,0:05:45,0.00%,0,$0.00 
Mebane,4,0,4,25.00%,2,0:00:09,0.00%,0,$0.00 
Chicago,3,2,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Greensboro,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,3,0,3,33.33%,1.67,0:00:02,0.00%,0,$0.00 
New York,3,1,3,33.33%,2,0:01:02,0.00%,0,$0.00 
Columbia,3,3,6,16.67%,2.67,0:06:34,0.00%,0,$0.00 
Marietta,2,0,3,0.00%,3.33,0:05:55,0.00%,0,$0.00 
Clayton,2,1,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Fayetteville,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Greenville,2,0,2,50.00%,5,0:01:50,0.00%,0,$0.00 
Knightdale,2,0,2,0.00%,2.5,0:10:32,0.00%,0,$0.00 
Oxford,2,0,2,0.00%,2.5,0:25:59,0.00%,0,$0.00 
Pittsboro,2,2,3,66.67%,1.67,0:00:21,0.00%,0,$0.00 
Sylva,2,0,3,33.33%,2.67,0:03:48,0.00%,0,$0.00 
Cincinnati,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,2,1,2,50.00%,2,0:00:23,0.00%,0,$0.00 
Ashburn,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Blacksburg,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,2,0,2,0.00%,2,0:00:05,0.00%,0,$0.00 
North Druid Hills,2,1,2,0.00%,2,0:00:05,0.00%,0,$0.00 
(not set),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jasper,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Surprise,1,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 
Corona,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Middletown,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,1,0,1,0.00%,10,0:20:14,0.00%,0,$0.00 
