# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181118-20181118,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,73,20,90,58.89%,2,0:02:06,0.00%,0,$0.00 
Durham,mobile,72,25,98,53.06%,2.48,0:02:58,0.00%,0,$0.00 
Durham,tablet,51,14,66,36.36%,2.11,0:01:42,0.00%,0,$0.00 
Charlotte,mobile,33,12,41,41.46%,2.22,0:03:07,0.00%,0,$0.00 
Raleigh,mobile,26,7,32,53.12%,2.91,0:02:48,0.00%,0,$0.00 
Atlanta,mobile,9,5,12,41.67%,1.92,0:04:11,0.00%,0,$0.00 
Cary,desktop,7,0,8,75.00%,1.25,0:00:08,0.00%,0,$0.00 
Raleigh,desktop,5,0,7,42.86%,1.57,0:01:11,0.00%,0,$0.00 
Chapel Hill,tablet,4,2,5,20.00%,2.8,0:06:46,0.00%,0,$0.00 
Franklin,desktop,4,2,5,60.00%,1.4,0:00:02,0.00%,0,$0.00 
Franklin,mobile,4,1,5,0.00%,2.2,0:05:49,0.00%,0,$0.00 
Raleigh,tablet,4,3,5,40.00%,1.6,0:00:14,0.00%,0,$0.00 
Wake Forest,tablet,4,0,4,75.00%,4.25,0:29:28,0.00%,0,$0.00 
Cary,tablet,3,2,6,50.00%,2,0:00:34,0.00%,0,$0.00 
Chapel Hill,mobile,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,tablet,3,2,5,60.00%,1.4,0:03:10,0.00%,0,$0.00 
Hillsborough,desktop,3,1,5,80.00%,1.2,0:00:06,0.00%,0,$0.00 
North Druid Hills,mobile,3,2,4,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Miami,mobile,2,0,5,60.00%,1.4,0:00:03,0.00%,0,$0.00 
Franklin,tablet,2,1,2,50.00%,2,0:01:36,0.00%,0,$0.00 
Henderson,mobile,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Mars Hill,desktop,2,1,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Mebane,tablet,2,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
Winston-Salem,desktop,2,0,5,40.00%,1.6,0:00:07,0.00%,0,$0.00 
Winston-Salem,mobile,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Nashville,tablet,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Virginia Beach,mobile,2,1,6,16.67%,2.33,0:05:05,0.00%,0,$0.00 
(not set),mobile,1,1,1,0.00%,3,0:24:42,0.00%,0,$0.00 
(not set),tablet,1,0,1,0.00%,3,0:26:22,0.00%,0,$0.00 
Corona,mobile,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
New Haven,mobile,1,1,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Waterbury,mobile,1,1,1,0.00%,4,0:17:55,0.00%,0,$0.00 
Orlando,mobile,1,0,1,0.00%,5,0:36:04,0.00%,0,$0.00 
