# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181202-20181202,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,180,60,245,41.22%,2.6,0:03:28,0.00%,0,$0.00 
Charlotte,39,20,60,41.67%,3.07,0:03:36,0.00%,0,$0.00 
Raleigh,36,12,49,42.86%,2.71,0:03:21,0.00%,0,$0.00 
Atlanta,18,8,19,57.89%,2.42,0:01:22,0.00%,0,$0.00 
Franklin,11,6,19,57.89%,1.42,0:03:21,0.00%,0,$0.00 
Cary,6,1,6,33.33%,4,0:05:44,0.00%,0,$0.00 
Creedmoor,6,2,16,56.25%,1.5,0:01:22,0.00%,0,$0.00 
Sylva,5,1,5,60.00%,2.6,0:01:07,0.00%,0,$0.00 
Huntersville,3,3,3,0.00%,7,0:13:51,0.00%,0,$0.00 
Knightdale,3,1,3,33.33%,2.33,0:00:24,0.00%,0,$0.00 
Mebane,3,0,7,57.14%,1.71,0:03:29,0.00%,0,$0.00 
Winston-Salem,3,2,6,66.67%,2,0:03:04,0.00%,0,$0.00 
Virginia Beach,3,0,3,66.67%,1.67,0:00:50,0.00%,0,$0.00 
(not set),2,1,2,50.00%,2,0:05:47,0.00%,0,$0.00 
Washington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Miami,2,0,3,33.33%,2.67,0:04:55,0.00%,0,$0.00 
Carrboro,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,2,1,4,50.00%,2.5,0:02:24,0.00%,0,$0.00 
Hillsborough,2,0,9,22.22%,5.67,0:10:28,0.00%,0,$0.00 
Sanford,2,1,2,0.00%,3,0:04:17,0.00%,0,$0.00 
Wake Forest,2,0,3,0.00%,2.33,0:06:36,0.00%,0,$0.00 
Philadelphia,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Potomac Falls,2,2,4,75.00%,1.75,0:03:03,0.00%,0,$0.00 
Corona,1,0,1,0.00%,2,0:16:52,0.00%,0,$0.00 
Los Angeles,1,1,1,0.00%,4,0:12:55,0.00%,0,$0.00 
Phelan,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Middletown,1,0,1,0.00%,2,0:00:16,0.00%,0,$0.00 
Tampa,1,1,1,0.00%,2,0:03:15,0.00%,0,$0.00 
Winter Haven,1,1,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Cumming,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Forsyth,1,1,1,0.00%,2,0:00:21,0.00%,0,$0.00 
Lawrenceville,1,0,3,33.33%,1.67,0:00:52,0.00%,0,$0.00 
Marietta,1,0,2,0.00%,2.5,0:01:25,0.00%,0,$0.00 
Suwanee,1,1,2,50.00%,2,0:00:28,0.00%,0,$0.00 
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ann Arbor,1,0,4,50.00%,2.5,0:11:16,0.00%,0,$0.00 
