# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Atlanta,2018121607,1,0,2,0.00%,2,0:00:41,0.00%,0,$0.00 
Atlanta,2018121614,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121615,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121616,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121619,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121620,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Conyers,2018121611,1,1,1,0.00%,3,0:00:59,0.00%,0,$0.00 
Conyers,2018121612,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Conyers,2018121613,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
LaGrange,2018121611,1,0,1,0.00%,5,0:13:28,0.00%,0,$0.00 
Macon,2018121612,1,1,1,0.00%,3,0:00:44,0.00%,0,$0.00 
Chicago,2018121608,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,2018121614,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,2018121619,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Louisville,2018121609,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,2018121612,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Upper Marlboro,2018121609,1,1,1,0.00%,2,0:00:20,0.00%,0,$0.00 
Black Mountain,2018121607,1,0,1,0.00%,2,0:01:31,0.00%,0,$0.00 
Burlington,2018121611,1,0,1,0.00%,4,0:01:04,0.00%,0,$0.00 
Burlington,2018121612,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,2018121608,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,2018121607,1,0,3,33.33%,2.67,0:02:02,0.00%,0,$0.00 
Cary,2018121611,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Chapel Hill,2018121607,1,0,1,0.00%,3,0:06:30,0.00%,0,$0.00 
Chapel Hill,2018121609,1,0,1,0.00%,2,0:00:27,0.00%,0,$0.00 
Chapel Hill,2018121612,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Chapel Hill,2018121620,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
