# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181230-20181230,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,myubc.org,89,29,117,17.09%,2.85,0:03:06,0.00%,0,$0.00 
Durham,google,62,24,79,51.90%,2.08,0:03:29,0.00%,0,$0.00 
Durham,(direct),42,19,55,47.27%,2.29,0:04:27,0.00%,0,$0.00 
Raleigh,google,19,9,20,80.00%,1.25,0:00:57,0.00%,0,$0.00 
Charlotte,google,18,6,22,72.73%,1.55,0:02:58,0.00%,0,$0.00 
Charlotte,myubc.org,16,4,18,22.22%,3.22,0:07:04,0.00%,0,$0.00 
Raleigh,myubc.org,16,5,30,43.33%,2.1,0:01:15,0.00%,0,$0.00 
Atlanta,myubc.org,14,5,16,25.00%,2.5,0:03:56,0.00%,0,$0.00 
Raleigh,(direct),11,6,13,61.54%,1.77,0:01:57,0.00%,0,$0.00 
Durham,bing,10,2,16,75.00%,1.44,0:01:23,0.00%,0,$0.00 
Charlotte,(direct),9,2,13,69.23%,1.92,0:05:46,0.00%,0,$0.00 
Franklin,(direct),6,4,7,42.86%,2,0:05:03,0.00%,0,$0.00 
Atlanta,(direct),5,1,8,75.00%,1.88,0:03:06,0.00%,0,$0.00 
Atlanta,google,5,1,6,66.67%,2.17,0:02:00,0.00%,0,$0.00 
Cary,myubc.org,5,1,7,28.57%,1.71,0:00:08,0.00%,0,$0.00 
Franklin,myubc.org,3,0,6,33.33%,2.5,0:01:57,0.00%,0,$0.00 
New York,google,3,1,3,66.67%,1.67,0:00:49,0.00%,0,$0.00 
Washington,google,2,1,2,0.00%,3,0:10:56,0.00%,0,$0.00 
Fort Lauderdale,m.facebook.com,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,yahoo,2,0,3,66.67%,1.67,0:01:21,0.00%,0,$0.00 
Hillsborough,myubc.org,2,1,2,0.00%,3.5,0:06:28,0.00%,0,$0.00 
Raleigh,yahoo,2,1,2,50.00%,5,0:14:16,0.00%,0,$0.00 
Sylva,myubc.org,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,myubc.org,2,1,6,16.67%,2.67,0:04:12,0.00%,0,$0.00 
Winston-Salem,google,2,0,2,0.00%,2,0:01:11,0.00%,0,$0.00 
New York,myubc.org,2,0,2,0.00%,3.5,0:07:31,0.00%,0,$0.00 
Norfolk,google,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,myubc.org,2,2,2,0.00%,4,0:01:08,0.00%,0,$0.00 
Tysons,(direct),2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Kamloops,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Singapore,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Surprise,myubc.org,1,0,1,0.00%,3,0:04:07,0.00%,0,$0.00 
Miami,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,google,1,0,1,0.00%,2,0:00:42,0.00%,0,$0.00 
Orlando,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winter Haven,myubc.org,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Redan,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,bing,1,1,1,0.00%,7,0:57:29,0.00%,0,$0.00 
Springfield,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Olathe,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Billerica,myubc.org,1,1,2,0.00%,2,0:00:07,0.00%,0,$0.00 
Springfield,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
