# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180923-20180923,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,179,70,247,44.94%,2.51,0:04:34,0.00%,0,$0.00 
Charlotte,44,18,70,45.71%,2.26,0:03:53,0.00%,0,$0.00 
Raleigh,25,7,29,72.41%,1.69,0:01:58,0.00%,0,$0.00 
Franklin,14,9,19,47.37%,2.58,0:03:46,0.00%,0,$0.00 
Cary,12,4,14,21.43%,3.86,0:07:07,0.00%,0,$0.00 
Atlanta,8,3,11,63.64%,2.36,0:08:11,0.00%,0,$0.00 
Mebane,8,5,12,33.33%,2.33,0:02:21,0.00%,0,$0.00 
Washington,7,3,7,28.57%,4.43,0:01:13,0.00%,0,$0.00 
Greensboro,5,3,6,33.33%,2.17,0:09:10,0.00%,0,$0.00 
Hillsborough,5,4,7,42.86%,2,0:02:20,0.00%,0,$0.00 
New York,5,2,13,53.85%,2.08,0:01:03,0.00%,0,$0.00 
Norfolk,5,4,5,20.00%,1.8,0:00:04,0.00%,0,$0.00 
Creedmoor,4,1,5,40.00%,2.4,0:05:54,0.00%,0,$0.00 
Sylva,4,1,6,16.67%,3.17,0:02:21,0.00%,0,$0.00 
Mount Laurel,3,2,9,44.44%,3.89,0:05:08,0.00%,0,$0.00 
Fairport,3,3,4,75.00%,1.5,0:00:10,0.00%,0,$0.00 
Virginia Beach,3,0,5,40.00%,2.4,0:07:37,0.00%,0,$0.00 
Seattle,3,0,3,66.67%,1.33,0:00:38,0.00%,0,$0.00 
(not set),2,1,3,0.00%,2.67,0:14:42,0.00%,0,$0.00 
Miami,2,1,2,50.00%,2,0:12:24,0.00%,0,$0.00 
Chapel Hill,2,1,4,75.00%,2,0:02:05,0.00%,0,$0.00 
Greenville,2,2,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Henderson,2,0,2,50.00%,3.5,0:00:56,0.00%,0,$0.00 
Wake Forest,2,0,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Williamston,2,0,2,50.00%,2,0:09:01,0.00%,0,$0.00 
Winston-Salem,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Harrison,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,2,1,2,50.00%,2,0:03:06,0.00%,0,$0.00 
Surprise,1,1,1,0.00%,6,0:02:58,0.00%,0,$0.00 
San Diego,1,0,1,0.00%,3,0:14:58,0.00%,0,$0.00 
Merritt Island,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panama City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winter Haven,1,1,2,0.00%,3.5,0:02:29,0.00%,0,$0.00 
Kennesaw,1,0,3,0.00%,4.33,0:23:53,0.00%,0,$0.00 
Smyrna,1,1,1,0.00%,3,0:00:38,0.00%,0,$0.00 
Chicago,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
West Lafayette,1,1,1,0.00%,2,0:00:59,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,4,0:00:39,0.00%,0,$0.00 
Branson,1,1,6,66.67%,2.5,0:01:59,0.00%,0,$0.00 
Kansas City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
St. Louis,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Boone,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,1,0,4,25.00%,3.25,0:09:15,0.00%,0,$0.00 
Cherokee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Graham,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Kernersville,1,1,1,0.00%,2,0:02:39,0.00%,0,$0.00 
Kill Devil Hills,1,0,1,0.00%,5,0:27:00,0.00%,0,$0.00 
Knightdale,1,0,1,0.00%,4,0:30:11,0.00%,0,$0.00 
Mars Hill,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ocean Isle Beach,1,0,1,0.00%,3,0:08:41,0.00%,0,$0.00 
Oxford,1,0,2,50.00%,1.5,0:00:16,0.00%,0,$0.00 
Wilmington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cincinnati,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Oklahoma City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ligonier,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mountville,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Conway,1,0,1,0.00%,2,0:02:48,0.00%,0,$0.00 
Clarksville,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Gatlinburg,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Austin,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrollton,1,0,1,0.00%,9,0:17:37,0.00%,0,$0.00 
