# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180930-20180930,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,76,31,89,40.45%,2.31,0:03:14,0.00%,0,$0.00 
Durham,mobile,63,24,87,40.23%,2.59,0:05:14,0.00%,0,$0.00 
Charlotte,mobile,41,17,51,45.10%,2.25,0:04:15,0.00%,0,$0.00 
Durham,tablet,41,15,51,45.10%,2.73,0:05:37,0.00%,0,$0.00 
Raleigh,mobile,16,8,22,68.18%,1.41,0:01:32,0.00%,0,$0.00 
Atlanta,mobile,14,10,19,47.37%,2.63,0:04:26,0.00%,0,$0.00 
Raleigh,desktop,10,3,18,55.56%,1.5,0:01:12,0.00%,0,$0.00 
Franklin,mobile,8,5,11,63.64%,1.55,0:00:21,0.00%,0,$0.00 
Raleigh,tablet,7,3,7,42.86%,1.71,0:03:22,0.00%,0,$0.00 
Winston-Salem,mobile,5,4,9,66.67%,2.22,0:03:01,0.00%,0,$0.00 
Cary,desktop,4,0,4,75.00%,2.25,0:00:35,0.00%,0,$0.00 
Chapel Hill,desktop,4,2,9,44.44%,1.56,0:00:26,0.00%,0,$0.00 
Franklin,desktop,4,2,4,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Greensboro,desktop,4,3,4,50.00%,2,0:00:35,0.00%,0,$0.00 
Mebane,mobile,4,3,6,33.33%,2.83,0:09:01,0.00%,0,$0.00 
New York,mobile,4,1,8,62.50%,3.88,0:09:41,0.00%,0,$0.00 
Miami,mobile,3,1,3,66.67%,2.33,0:01:46,0.00%,0,$0.00 
Atlanta,desktop,3,1,3,0.00%,4,0:05:31,0.00%,0,$0.00 
Franklin,tablet,3,0,5,40.00%,2.6,0:05:08,0.00%,0,$0.00 
Smithfield,mobile,3,2,6,50.00%,3,0:04:50,0.00%,0,$0.00 
Winston-Salem,desktop,3,1,3,66.67%,1.33,0:00:25,0.00%,0,$0.00 
Orlando,mobile,2,2,2,50.00%,5,0:02:05,0.00%,0,$0.00 
Cary,mobile,2,1,2,50.00%,4.5,0:41:20,0.00%,0,$0.00 
Chapel Hill,mobile,2,2,2,0.00%,2,0:01:29,0.00%,0,$0.00 
Charlotte,tablet,2,0,3,66.67%,1.67,0:00:52,0.00%,0,$0.00 
Fayetteville,mobile,2,2,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Greensboro,mobile,2,1,4,0.00%,3,0:04:47,0.00%,0,$0.00 
High Point,tablet,2,0,3,33.33%,2.33,0:09:42,0.00%,0,$0.00 
