# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181028-20181028,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018102809,63,16,61,45.90%,2.02,0:04:03,0.00%,0,$0.00 
Durham,2018102807,42,13,44,36.36%,2.93,0:06:41,0.00%,0,$0.00 
Durham,2018102811,34,9,34,44.12%,2.21,0:02:29,0.00%,0,$0.00 
Durham,2018102810,30,10,27,62.96%,2.07,0:05:01,0.00%,0,$0.00 
Durham,2018102808,29,5,25,36.00%,2.92,0:04:56,0.00%,0,$0.00 
Durham,2018102812,11,2,10,50.00%,2.3,0:00:33,0.00%,0,$0.00 
Charlotte,2018102811,10,1,11,36.36%,2.09,0:02:47,0.00%,0,$0.00 
Charlotte,2018102808,9,4,9,44.44%,2.22,0:09:21,0.00%,0,$0.00 
Charlotte,2018102809,9,0,9,55.56%,2,0:02:22,0.00%,0,$0.00 
Charlotte,2018102807,7,3,8,50.00%,2.5,0:03:09,0.00%,0,$0.00 
Charlotte,2018102810,7,1,8,37.50%,2,0:05:06,0.00%,0,$0.00 
Charlotte,2018102812,6,0,6,66.67%,1.83,0:04:08,0.00%,0,$0.00 
Durham,2018102813,6,2,6,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Franklin,2018102811,6,1,5,80.00%,2,0:01:05,0.00%,0,$0.00 
Raleigh,2018102809,6,1,6,83.33%,1.17,0:00:01,0.00%,0,$0.00 
Cary,2018102809,5,3,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018102820,5,0,5,20.00%,4.8,0:12:00,0.00%,0,$0.00 
Raleigh,2018102808,5,1,5,40.00%,1.8,0:03:18,0.00%,0,$0.00 
Raleigh,2018102810,5,1,6,16.67%,2.17,0:04:14,0.00%,0,$0.00 
Raleigh,2018102811,5,1,9,66.67%,1.44,0:00:10,0.00%,0,$0.00 
Atlanta,2018102812,4,2,4,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Chapel Hill,2018102812,4,0,3,66.67%,1.67,0:00:01,0.00%,0,$0.00 
