# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180902-20180902,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,google,51,18,70,58.57%,2.23,0:04:45,0.00%,0,$0.00 
Durham,(direct),46,19,61,49.18%,2.3,0:05:40,0.00%,0,$0.00 
Durham,myubc.org,43,13,60,13.33%,3.18,0:05:11,0.00%,0,$0.00 
Charlotte,google,15,5,25,52.00%,2.28,0:05:19,0.00%,0,$0.00 
Charlotte,myubc.org,15,7,19,21.05%,3.47,0:07:25,0.00%,0,$0.00 
Charlotte,(direct),12,4,15,46.67%,2.53,0:06:20,0.00%,0,$0.00 
Durham,bing,10,1,13,61.54%,1.54,0:01:18,0.00%,0,$0.00 
Raleigh,(direct),9,5,12,75.00%,2.33,0:02:48,0.00%,0,$0.00 
Atlanta,myubc.org,8,2,8,12.50%,4.25,0:06:28,0.00%,0,$0.00 
Atlanta,(direct),7,4,9,77.78%,1.22,0:02:02,0.00%,0,$0.00 
Raleigh,myubc.org,6,4,6,33.33%,2.5,0:00:24,0.00%,0,$0.00 
Atlanta,google,5,4,7,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,myubc.org,5,2,9,0.00%,2.22,0:00:20,0.00%,0,$0.00 
Durham,yahoo,5,2,6,66.67%,1.33,0:00:19,0.00%,0,$0.00 
Franklin,(direct),5,1,6,50.00%,1.5,0:02:04,0.00%,0,$0.00 
Raleigh,google,5,2,9,44.44%,2,0:00:29,0.00%,0,$0.00 
Cary,myubc.org,4,2,4,0.00%,8,0:14:06,0.00%,0,$0.00 
Mebane,myubc.org,4,1,4,0.00%,3,0:10:00,0.00%,0,$0.00 
New York,(direct),4,3,6,66.67%,1.83,0:03:07,0.00%,0,$0.00 
(not set),google,3,3,4,75.00%,1.75,0:03:21,0.00%,0,$0.00 
Orlando,google,3,0,3,33.33%,3,0:04:10,0.00%,0,$0.00 
