# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181104-20181104,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,190,74,254,54.33%,2.02,0:03:31,0.00%,0,$0.00 
Charlotte,39,13,46,41.30%,2.17,0:03:57,0.00%,0,$0.00 
Raleigh,31,13,46,65.22%,1.91,0:03:54,0.00%,0,$0.00 
Atlanta,16,7,19,57.89%,2.26,0:05:27,0.00%,0,$0.00 
Franklin,10,2,15,66.67%,1.8,0:06:23,0.00%,0,$0.00 
Chapel Hill,8,2,10,40.00%,2.7,0:07:38,0.00%,0,$0.00 
Greensboro,7,1,8,75.00%,1.5,0:04:38,0.00%,0,$0.00 
Hillsborough,5,0,10,60.00%,1.8,0:00:19,0.00%,0,$0.00 
Cary,4,2,5,60.00%,1.6,0:00:12,0.00%,0,$0.00 
Creedmoor,4,2,6,16.67%,3.17,0:01:00,0.00%,0,$0.00 
(not set),3,2,3,33.33%,1.67,0:08:42,0.00%,0,$0.00 
Miami,3,1,3,33.33%,3.33,0:13:30,0.00%,0,$0.00 
Winston-Salem,3,0,6,0.00%,3.83,0:06:45,0.00%,0,$0.00 
New York,3,2,4,0.00%,2.5,0:01:12,0.00%,0,$0.00 
Virginia Beach,3,0,5,60.00%,3.4,0:01:01,0.00%,0,$0.00 
Tallahassee,2,1,2,50.00%,3,0:01:16,0.00%,0,$0.00 
Matthews,2,2,3,66.67%,1.33,0:01:04,0.00%,0,$0.00 
Sylva,2,1,2,50.00%,1.5,0:02:39,0.00%,0,$0.00 
Norfolk,2,1,2,0.00%,4,0:01:43,0.00%,0,$0.00 
Bay Minette,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,1,0,2,50.00%,2,0:14:10,0.00%,0,$0.00 
Washington,1,1,1,0.00%,4,0:03:03,0.00%,0,$0.00 
Orlando,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbus,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,1,0,2,0.00%,2,0:00:07,0.00%,0,$0.00 
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Frankfort,1,1,1,0.00%,7,0:32:14,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Oxford,1,0,1,0.00%,17,0:42:26,0.00%,0,$0.00 
Apex,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,1,0,1,0.00%,5,0:15:15,0.00%,0,$0.00 
Butner,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,1,0,1,0.00%,3,0:00:32,0.00%,0,$0.00 
Cornelius,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Graham,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
High Point,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,1,0,1,0.00%,4,0:00:39,0.00%,0,$0.00 
Leland,1,0,1,0.00%,2,0:19:50,0.00%,0,$0.00 
Monroe,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Murphy,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Oxford,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raeford,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Rockingham,1,0,1,0.00%,7,0:29:07,0.00%,0,$0.00 
Roxboro,1,0,1,0.00%,3,0:27:37,0.00%,0,$0.00 
Timberlake,1,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Wake Forest,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Weaverville,1,1,1,0.00%,2,0:03:48,0.00%,0,$0.00 
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilson,1,0,1,0.00%,2,0:01:33,0.00%,0,$0.00 
Oklahoma City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lititz,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,1,0,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,1,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Walterboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Nashville,1,1,3,66.67%,1.33,0:00:17,0.00%,0,$0.00 
Frisco,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blacksburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Danville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
McGaheysville,1,0,4,0.00%,2.25,0:00:16,0.00%,0,$0.00 
Bellingham,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Brookhaven,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Candler-McAfee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fearrington,1,1,1,0.00%,5,0:02:41,0.00%,0,$0.00 
Forest Acres,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Friendly,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
North Druid Hills,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Saint Charles,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Tysons,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,389,145,516,53.49%,2.08,0:03:43,0.00%,0,$0.00 
