# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181007-20181007,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,68,28,91,39.56%,2.63,0:06:09,0.00%,0,$0.00 
Durham,desktop,61,22,79,58.23%,1.78,0:01:16,0.00%,0,$0.00 
Charlotte,mobile,36,15,46,52.17%,2.04,0:03:34,0.00%,0,$0.00 
Durham,tablet,28,9,41,60.98%,1.66,0:02:09,0.00%,0,$0.00 
Atlanta,mobile,13,8,14,57.14%,2.71,0:07:30,0.00%,0,$0.00 
Mebane,mobile,9,7,12,75.00%,1.33,0:02:05,0.00%,0,$0.00 
Raleigh,mobile,8,4,11,63.64%,1.82,0:02:25,0.00%,0,$0.00 
Franklin,mobile,7,4,7,57.14%,1.43,0:00:14,0.00%,0,$0.00 
Raleigh,desktop,7,2,12,41.67%,2.08,0:05:00,0.00%,0,$0.00 
Chapel Hill,mobile,4,3,7,71.43%,1.57,0:04:43,0.00%,0,$0.00 
Franklin,desktop,4,0,7,14.29%,3,0:07:23,0.00%,0,$0.00 
Franklin,tablet,4,0,6,33.33%,2,0:02:52,0.00%,0,$0.00 
Charlotte,tablet,3,1,4,25.00%,2.75,0:02:29,0.00%,0,$0.00 
Raleigh,tablet,3,2,7,71.43%,1.57,0:00:44,0.00%,0,$0.00 
Wake Forest,tablet,3,1,4,50.00%,3.25,0:07:36,0.00%,0,$0.00 
Norfolk,mobile,3,0,5,40.00%,4.2,0:05:33,0.00%,0,$0.00 
Birmingham,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,mobile,2,1,2,50.00%,3.5,0:04:56,0.00%,0,$0.00 
Cary,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,tablet,2,1,2,0.00%,4.5,0:02:32,0.00%,0,$0.00 
Creedmoor,desktop,2,0,6,0.00%,4.83,0:05:30,0.00%,0,$0.00 
Garner,mobile,2,1,4,75.00%,1.25,0:03:37,0.00%,0,$0.00 
Henderson,mobile,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,desktop,2,1,2,0.00%,3,0:00:57,0.00%,0,$0.00 
Myrtle Beach,mobile,2,1,3,66.67%,2,0:03:00,0.00%,0,$0.00 
Dallas,mobile,2,1,2,0.00%,6,0:07:31,0.00%,0,$0.00 
Virginia Beach,mobile,2,0,2,0.00%,11,0:09:14,0.00%,0,$0.00 
Saint-Brieuc,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Los Angeles,mobile,1,1,2,50.00%,3,0:14:36,0.00%,0,$0.00 
San Francisco,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,desktop,1,0,1,0.00%,3,0:13:07,0.00%,0,$0.00 
Merritt Island,desktop,1,0,2,0.00%,2,0:00:32,0.00%,0,$0.00 
Orlando,mobile,1,0,1,0.00%,13,0:08:58,0.00%,0,$0.00 
Perry,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
