# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181007-20181007,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018100709,45,16,48,37.50%,2.35,0:04:28,0.00%,0,$0.00 
Durham,2018100711,37,8,37,45.95%,2,0:04:08,0.00%,0,$0.00 
Durham,2018100710,31,11,28,50.00%,2.36,0:05:01,0.00%,0,$0.00 
Durham,2018100708,27,6,26,50.00%,2.42,0:02:18,0.00%,0,$0.00 
Durham,2018100707,23,7,25,48.00%,1.68,0:04:45,0.00%,0,$0.00 
Durham,2018100712,16,2,16,87.50%,1.75,0:00:05,0.00%,0,$0.00 
Durham,2018100714,11,4,13,76.92%,1.38,0:00:33,0.00%,0,$0.00 
Charlotte,2018100711,9,2,9,44.44%,1.78,0:05:18,0.00%,0,$0.00 
Charlotte,2018100708,8,4,9,66.67%,1.89,0:00:36,0.00%,0,$0.00 
Charlotte,2018100710,8,3,8,50.00%,1.88,0:07:51,0.00%,0,$0.00 
Durham,2018100715,7,3,8,37.50%,3.25,0:03:44,0.00%,0,$0.00 
Franklin,2018100709,7,4,7,42.86%,1.86,0:02:31,0.00%,0,$0.00 
Charlotte,2018100707,6,2,6,33.33%,2.83,0:02:35,0.00%,0,$0.00 
Franklin,2018100710,6,0,6,33.33%,1.83,0:00:40,0.00%,0,$0.00 
Atlanta,2018100712,5,3,5,80.00%,1.2,0:00:01,0.00%,0,$0.00 
Charlotte,2018100712,5,0,4,25.00%,4,0:04:59,0.00%,0,$0.00 
Charlotte,2018100713,5,3,5,60.00%,2.2,0:02:59,0.00%,0,$0.00 
Raleigh,2018100707,5,2,6,16.67%,2.67,0:09:14,0.00%,0,$0.00 
Raleigh,2018100709,5,2,6,50.00%,2.33,0:04:51,0.00%,0,$0.00 
Raleigh,2018100710,5,3,4,75.00%,1.5,0:00:01,0.00%,0,$0.00 
Chapel Hill,2018100709,4,3,4,75.00%,2.5,0:01:12,0.00%,0,$0.00 
Charlotte,2018100709,4,1,5,40.00%,1.6,0:01:30,0.00%,0,$0.00 
Durham,2018100718,4,0,4,75.00%,2,0:05:19,0.00%,0,$0.00 
Mebane,2018100708,4,3,5,60.00%,1.8,0:00:22,0.00%,0,$0.00 
Raleigh,2018100711,4,0,7,57.14%,1.71,0:00:54,0.00%,0,$0.00 
Atlanta,2018100707,3,2,3,0.00%,6.33,0:19:06,0.00%,0,$0.00 
Atlanta,2018100710,3,2,3,0.00%,4.33,0:17:34,0.00%,0,$0.00 
Durham,2018100713,3,1,3,66.67%,1.33,0:00:09,0.00%,0,$0.00 
Mebane,2018100707,3,1,3,66.67%,1.33,0:00:01,0.00%,0,$0.00 
Mebane,2018100712,3,1,2,100.00%,1.5,0:00:00,0.00%,0,$0.00 
Raleigh,2018100708,3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,2018100707,3,1,3,66.67%,2.67,0:08:55,0.00%,0,$0.00 
Atlanta,2018100714,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,2018100709,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018100715,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,2018100707,2,0,2,0.00%,5.5,0:11:00,0.00%,0,$0.00 
Creedmoor,2018100709,2,0,3,0.00%,5.33,0:03:35,0.00%,0,$0.00 
Franklin,2018100707,2,0,3,33.33%,3.33,0:01:56,0.00%,0,$0.00 
Mebane,2018100716,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,2018100709,2,1,2,50.00%,2.5,0:04:30,0.00%,0,$0.00 
Norfolk,2018100708,2,0,3,33.33%,2.33,0:05:50,0.00%,0,$0.00 
Saint-Brieuc,2018100706,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,2018100707,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,2018100708,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Corona,2018100710,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Los Angeles,2018100708,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Los Angeles,2018100709,1,0,1,0.00%,5,0:29:12,0.00%,0,$0.00 
San Francisco,2018100714,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,2018100707,1,0,1,0.00%,4,0:09:51,0.00%,0,$0.00 
Washington,2018100708,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Washington,2018100713,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,2018100712,1,0,1,0.00%,3,0:13:07,0.00%,0,$0.00 
Merritt Island,2018100710,1,0,1,0.00%,2,0:00:33,0.00%,0,$0.00 
Merritt Island,2018100711,1,0,1,0.00%,2,0:00:30,0.00%,0,$0.00 
Orlando,2018100715,1,0,1,0.00%,13,0:08:58,0.00%,0,$0.00 
Perry,2018100711,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018100711,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018100715,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbus,2018100718,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Duluth,2018100712,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Marietta,2018100709,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Marietta,2018100711,1,0,1,0.00%,4,0:01:17,0.00%,0,$0.00 
Riverdale,2018100710,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Smyrna,2018100711,1,0,1,0.00%,7,0:02:49,0.00%,0,$0.00 
Chicago,2018100708,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,2018100709,1,0,1,0.00%,4,0:01:11,0.00%,0,$0.00 
Chicago,2018100713,1,0,1,0.00%,7,0:01:31,0.00%,0,$0.00 
Louisville,2018100707,1,1,1,0.00%,2,0:00:24,0.00%,0,$0.00 
