# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180923-20180923,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,google,73,21,88,53.41%,2.38,0:06:28,0.00%,0,$0.00 
Durham,myubc.org,73,29,89,21.35%,3.12,0:04:46,0.00%,0,$0.00 
Durham,(direct),32,14,53,60.38%,1.92,0:01:44,0.00%,0,$0.00 
Charlotte,(direct),17,5,22,54.55%,2.14,0:04:59,0.00%,0,$0.00 
Charlotte,google,17,7,28,46.43%,2.39,0:03:05,0.00%,0,$0.00 
Raleigh,google,15,6,15,66.67%,1.93,0:03:15,0.00%,0,$0.00 
Charlotte,myubc.org,10,5,18,38.89%,2.22,0:02:53,0.00%,0,$0.00 
Raleigh,(direct),8,1,11,72.73%,1.55,0:00:45,0.00%,0,$0.00 
Durham,bing,6,4,8,87.50%,1.38,0:00:15,0.00%,0,$0.00 
Franklin,(direct),6,5,7,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,myubc.org,6,2,7,0.00%,3.71,0:02:41,0.00%,0,$0.00 
Cary,myubc.org,5,2,7,0.00%,3.71,0:05:54,0.00%,0,$0.00 
Cary,google,4,1,4,50.00%,5.25,0:10:38,0.00%,0,$0.00 
Durham,yahoo,4,0,4,75.00%,2.25,0:08:47,0.00%,0,$0.00 
Mebane,google,4,4,4,75.00%,1.5,0:00:51,0.00%,0,$0.00 
Mebane,myubc.org,4,0,7,0.00%,3,0:03:32,0.00%,0,$0.00 
Washington,(direct),3,2,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Washington,myubc.org,3,1,3,0.00%,2,0:00:08,0.00%,0,$0.00 
Atlanta,(direct),3,2,5,80.00%,2,0:02:42,0.00%,0,$0.00 
Cary,(direct),3,1,3,33.33%,2.33,0:05:19,0.00%,0,$0.00 
Creedmoor,myubc.org,3,1,4,25.00%,2.75,0:07:23,0.00%,0,$0.00 
Greensboro,myubc.org,3,2,4,25.00%,2.25,0:05:44,0.00%,0,$0.00 
Hillsborough,myubc.org,3,2,3,0.00%,3,0:00:25,0.00%,0,$0.00 
New York,google,3,1,5,60.00%,1.4,0:00:59,0.00%,0,$0.00 
Norfolk,myubc.org,3,3,3,0.00%,2,0:00:05,0.00%,0,$0.00 
Atlanta,myubc.org,2,0,3,66.67%,2.33,0:08:51,0.00%,0,$0.00 
Chapel Hill,yahoo,2,1,4,75.00%,2,0:02:05,0.00%,0,$0.00 
Durham,outlook.live.com,2,1,2,0.00%,3.5,0:02:26,0.00%,0,$0.00 
Franklin,google,2,0,3,66.67%,3.67,0:12:03,0.00%,0,$0.00 
Sylva,myubc.org,2,0,2,0.00%,6,0:03:42,0.00%,0,$0.00 
Williamston,(direct),2,0,2,50.00%,2,0:09:01,0.00%,0,$0.00 
Mount Laurel,google,2,0,4,75.00%,2,0:00:31,0.00%,0,$0.00 
