# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181118-20181118,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,google,72,24,103,65.05%,1.89,0:02:42,0.00%,0,$0.00 
Durham,myubc.org,72,21,84,13.10%,3.26,0:03:14,0.00%,0,$0.00 
Durham,(direct),36,9,43,76.74%,1.4,0:00:38,0.00%,0,$0.00 
Charlotte,google,23,5,26,46.15%,1.88,0:04:31,0.00%,0,$0.00 
Raleigh,myubc.org,14,3,17,17.65%,2.88,0:02:01,0.00%,0,$0.00 
Charlotte,myubc.org,12,5,15,33.33%,2,0:00:15,0.00%,0,$0.00 
Durham,bing,12,3,14,64.29%,1.57,0:00:29,0.00%,0,$0.00 
Raleigh,google,12,3,16,75.00%,2.94,0:02:25,0.00%,0,$0.00 
Raleigh,(direct),9,4,10,70.00%,1.4,0:02:07,0.00%,0,$0.00 
Durham,yahoo,7,2,8,87.50%,1.12,0:00:55,0.00%,0,$0.00 
Atlanta,(direct),6,5,8,50.00%,1.88,0:03:44,0.00%,0,$0.00 
Charlotte,(direct),6,4,6,50.00%,3.5,0:03:43,0.00%,0,$0.00 
Cary,myubc.org,5,2,8,50.00%,1.88,0:00:26,0.00%,0,$0.00 
Franklin,myubc.org,4,2,5,0.00%,2.4,0:02:08,0.00%,0,$0.00 
Atlanta,google,3,1,4,50.00%,1.5,0:04:46,0.00%,0,$0.00 
Cary,(direct),3,1,4,75.00%,1.25,0:00:34,0.00%,0,$0.00 
Chapel Hill,google,3,0,3,66.67%,2.67,0:10:15,0.00%,0,$0.00 
Franklin,(direct),3,1,3,0.00%,2,0:07:17,0.00%,0,$0.00 
Atlanta,myubc.org,2,0,2,0.00%,2.5,0:00:59,0.00%,0,$0.00 
Cary,bing,2,0,2,50.00%,1.5,0:00:29,0.00%,0,$0.00 
Chapel Hill,(direct),2,2,2,50.00%,2,0:00:08,0.00%,0,$0.00 
Chapel Hill,myubc.org,2,1,3,33.33%,1.67,0:00:56,0.00%,0,$0.00 
Creedmoor,myubc.org,2,0,2,0.00%,2,0:00:15,0.00%,0,$0.00 
Franklin,google,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,(direct),2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,myubc.org,2,1,5,0.00%,3.6,0:06:26,0.00%,0,$0.00 
Mebane,myubc.org,2,0,2,0.00%,2,0:00:03,0.00%,0,$0.00 
Wake Forest,m.facebook.com,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,myubc.org,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Nashville,google,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,myubc.org,2,0,2,50.00%,2,0:01:02,0.00%,0,$0.00 
Virginia Beach,myubc.org,2,1,4,25.00%,1.75,0:00:29,0.00%,0,$0.00 
North Druid Hills,myubc.org,2,1,3,33.33%,1.67,0:00:05,0.00%,0,$0.00 
(not set),(direct),1,1,1,0.00%,3,0:24:42,0.00%,0,$0.00 
(not set),google,1,0,1,0.00%,3,0:26:22,0.00%,0,$0.00 
Corona,myubc.org,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
New Haven,google,1,1,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Waterbury,myubc.org,1,1,1,0.00%,4,0:17:55,0.00%,0,$0.00 
Miami,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Miami,myubc.org,1,0,3,33.33%,1.67,0:00:05,0.00%,0,$0.00 
Orlando,myubc.org,1,0,1,0.00%,5,0:36:04,0.00%,0,$0.00 
Carrollton,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,myubc.org,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Chicago,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Catonsville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Asheville,(direct),1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Bailey,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,myubc.org,1,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Candler,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,(direct),1,0,2,50.00%,2,0:07:18,0.00%,0,$0.00 
Creedmoor,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,r.search.aol.com,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Eden,myubc.org,1,0,1,0.00%,3,0:29:49,0.00%,0,$0.00 
Franklin,bing,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Graham,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,us.search.yahoo.com,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Leland,(direct),1,0,3,66.67%,1.33,0:03:04,0.00%,0,$0.00 
Marion,(direct),1,0,3,66.67%,1.33,0:04:36,0.00%,0,$0.00 
Mars Hill,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mars Hill,myubc.org,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Mebane,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mocksville,myubc.org,1,0,2,0.00%,2,0:00:13,0.00%,0,$0.00 
Oxford,(direct),1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,bing,1,0,1,0.00%,2,0:04:55,0.00%,0,$0.00 
Siler City,myubc.org,1,1,1,0.00%,8,0:05:00,0.00%,0,$0.00 
Swannanoa,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Swansboro,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,myubc.org,1,0,2,0.00%,2,0:00:04,0.00%,0,$0.00 
Wake Forest,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,myubc.org,1,0,1,0.00%,14,1:57:52,0.00%,0,$0.00 
Weaverville,(direct),1,0,1,0.00%,3,0:03:41,0.00%,0,$0.00 
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,google,1,0,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Wilmington,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,(direct),1,0,4,25.00%,1.75,0:00:08,0.00%,0,$0.00 
Winston-Salem,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jackson,myubc.org,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 
New York,(direct),1,1,2,0.00%,2.5,0:01:55,0.00%,0,$0.00 
Newburgh,google,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Bethel Park,facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,m.facebook.com,1,0,1,0.00%,2,0:01:20,0.00%,0,$0.00 
Blythewood,(direct),1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Charleston,myubc.org,1,1,1,0.00%,19,0:13:19,0.00%,0,$0.00 
Clemson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,myubc.org,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Kingstree,myubc.org,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Nashville,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,myubc.org,1,1,1,0.00%,3,0:01:53,0.00%,0,$0.00 
Virginia Beach,google,1,0,2,0.00%,3.5,0:14:18,0.00%,0,$0.00 
Madison,myubc.org,1,1,1,0.00%,4,0:13:55,0.00%,0,$0.00 
Friendly,myubc.org,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
North Druid Hills,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sandy Springs,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,,400,127,512,50.20%,2.14,0:02:39,0.00%,0,$0.00 
