# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181125-20181125,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,desktop,64,18,86,43.02%,2.29,0:03:19,0.00%,0,$0.00 
Durham,mobile,61,20,82,52.44%,2.17,0:02:33,0.00%,0,$0.00 
Durham,tablet,51,15,60,46.67%,2.07,0:03:24,0.00%,0,$0.00 
Charlotte,mobile,46,18,60,40.00%,2.25,0:03:40,0.00%,0,$0.00 
Raleigh,mobile,28,10,43,41.86%,1.72,0:01:56,0.00%,0,$0.00 
Atlanta,mobile,11,5,14,35.71%,3,0:08:06,0.00%,0,$0.00 
Raleigh,desktop,7,2,10,50.00%,1.8,0:01:00,0.00%,0,$0.00 
Cary,desktop,6,1,6,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Chapel Hill,desktop,6,1,7,14.29%,1.86,0:00:10,0.00%,0,$0.00 
Raleigh,tablet,5,2,7,42.86%,1.71,0:00:29,0.00%,0,$0.00 
Miami,mobile,4,1,4,50.00%,2.5,0:06:23,0.00%,0,$0.00 
Franklin,mobile,4,2,4,25.00%,2.25,0:03:26,0.00%,0,$0.00 
Cary,mobile,3,2,4,25.00%,2.75,0:10:48,0.00%,0,$0.00 
Chapel Hill,mobile,3,1,5,80.00%,1.2,<00:00:01,0.00%,0,$0.00 
Charlotte,tablet,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,desktop,3,1,3,33.33%,2.33,0:07:07,0.00%,0,$0.00 
Oxon Hill-Glassmanor,mobile,3,3,3,33.33%,2,0:00:12,0.00%,0,$0.00 
Surprise,mobile,2,2,3,33.33%,3.67,0:09:58,0.00%,0,$0.00 
Washington,mobile,2,1,2,0.00%,2.5,0:07:26,0.00%,0,$0.00 
Burlington,mobile,2,1,3,33.33%,2,0:04:08,0.00%,0,$0.00 
Cary,tablet,2,0,4,25.00%,3,0:12:28,0.00%,0,$0.00 
Franklin,desktop,2,0,6,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,tablet,2,0,4,75.00%,1.25,0:04:14,0.00%,0,$0.00 
Henderson,mobile,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Kernersville,tablet,2,0,2,50.00%,2,0:00:13,0.00%,0,$0.00 
Knightdale,mobile,2,1,2,50.00%,1.5,0:00:10,0.00%,0,$0.00 
Mebane,mobile,2,1,3,66.67%,5,0:05:46,0.00%,0,$0.00 
Oxford,mobile,2,1,2,50.00%,9,0:08:06,0.00%,0,$0.00 
Sylva,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
New York,mobile,2,1,4,75.00%,1.25,0:01:41,0.00%,0,$0.00 
Dubai,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Wycombe,mobile,1,1,1,0.00%,3,0:00:43,0.00%,0,$0.00 
Surprise,tablet,1,0,1,0.00%,3,0:10:23,0.00%,0,$0.00 
Washington,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,desktop,1,0,1,0.00%,6,0:03:34,0.00%,0,$0.00 
DeFuniak Springs,mobile,1,1,2,0.00%,5.5,0:06:44,0.00%,0,$0.00 
Tallahassee,mobile,1,0,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Atlanta,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Augusta,mobile,1,0,3,66.67%,1.33,0:00:09,0.00%,0,$0.00 
Hinesville,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,desktop,1,0,2,0.00%,2,0:00:07,0.00%,0,$0.00 
Newnan,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cedar Rapids,desktop,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Chicago,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Kansas City,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrboro,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,tablet,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Clayton,mobile,1,0,1,0.00%,2,0:00:19,0.00%,0,$0.00 
Clayton,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Concord,mobile,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Creedmoor,desktop,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Creedmoor,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Elm City,desktop,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Garner,desktop,1,0,1,0.00%,3,0:00:41,0.00%,0,$0.00 
Garner,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Goldsboro,tablet,1,0,1,0.00%,4,0:16:05,0.00%,0,$0.00 
Greensboro,desktop,1,0,1,0.00%,4,0:01:04,0.00%,0,$0.00 
High Point,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marion,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mebane,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsboro,desktop,1,0,1,0.00%,2,0:17:44,0.00%,0,$0.00 
Swannanoa,desktop,1,0,1,0.00%,2,0:03:39,0.00%,0,$0.00 
Wake Forest,tablet,1,0,1,0.00%,2,0:01:47,0.00%,0,$0.00 
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,mobile,1,0,2,50.00%,2.5,0:02:28,0.00%,0,$0.00 
Cherry Hill,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newark,tablet,1,1,1,0.00%,2,0:00:14,0.00%,0,$0.00 
Portland,mobile,1,0,2,50.00%,1.5,0:00:23,0.00%,0,$0.00 
Philadelphia,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,mobile,1,0,1,0.00%,2,0:01:13,0.00%,0,$0.00 
Blythewood,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kingstree,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clarksville,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Carrollton,mobile,1,0,1,0.00%,8,0:11:49,0.00%,0,$0.00 
Dallas,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dallas,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fort Worth,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,desktop,1,0,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Charlottesville,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Gloucester County,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,tablet,1,0,1,0.00%,3,0:00:39,0.00%,0,$0.00 
Virginia Beach,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Seattle,mobile,1,1,2,0.00%,6.5,0:16:31,0.00%,0,$0.00 
Brentwood,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Brookhaven,desktop,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Candler-McAfee,mobile,1,0,1,0.00%,2,0:19:36,0.00%,0,$0.00 
Friendly,tablet,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Marvin,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
North Druid Hills,mobile,1,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
,,399,130,519,47.98%,2.11,0:02:58,0.00%,0,$0.00 
