# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20181230-20181230,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,197,75,271,37.64%,2.41,0:03:21,0.00%,0,$0.00 
Raleigh,45,21,65,58.46%,1.86,0:01:42,0.00%,0,$0.00 
Charlotte,42,12,53,54.72%,2.21,0:05:03,0.00%,0,$0.00 
Atlanta,23,7,30,46.67%,2.27,0:03:20,0.00%,0,$0.00 
Franklin,11,5,17,52.94%,1.94,0:02:46,0.00%,0,$0.00 
Cary,7,2,9,22.22%,2.11,0:01:07,0.00%,0,$0.00 
New York,6,2,6,33.33%,2.33,0:02:58,0.00%,0,$0.00 
Norfolk,5,5,5,60.00%,2.2,0:00:27,0.00%,0,$0.00 
Hillsborough,4,2,6,66.67%,1.83,0:02:09,0.00%,0,$0.00 
Tysons,4,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,3,1,7,28.57%,2.43,0:03:36,0.00%,0,$0.00 
Washington,2,1,2,0.00%,3,0:10:56,0.00%,0,$0.00 
Fort Lauderdale,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Orlando,2,0,2,50.00%,1.5,0:00:21,0.00%,0,$0.00 
Chapel Hill,2,0,3,33.33%,2,0:01:41,0.00%,0,$0.00 
Greensboro,2,0,3,66.67%,2,0:00:18,0.00%,0,$0.00 
Jacksonville,2,2,2,50.00%,2,0:04:21,0.00%,0,$0.00 
Rocky Mount,2,1,2,50.00%,1.5,0:14:17,0.00%,0,$0.00 
Sylva,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,2,0,2,0.00%,2,0:01:11,0.00%,0,$0.00 
Charleston,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Nashville,2,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Kamloops,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Singapore,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Surprise,1,0,1,0.00%,3,0:04:07,0.00%,0,$0.00 
Miami,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
