# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181014-20181014,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,88,36,115,50.43%,2.42,0:04:15,0.00%,0,$0.00 
Durham,desktop,68,24,78,53.85%,1.79,0:01:50,0.00%,0,$0.00 
Durham,tablet,41,24,60,41.67%,2.52,0:03:56,0.00%,0,$0.00 
Charlotte,mobile,37,15,49,57.14%,2.08,0:03:21,0.00%,0,$0.00 
Raleigh,mobile,15,9,25,52.00%,2.2,0:06:02,0.00%,0,$0.00 
Atlanta,mobile,11,8,13,30.77%,2.31,0:03:56,0.00%,0,$0.00 
Raleigh,desktop,9,3,14,64.29%,1.57,0:02:33,0.00%,0,$0.00 
Franklin,mobile,8,5,10,60.00%,1.5,0:00:41,0.00%,0,$0.00 
Cary,mobile,6,3,10,20.00%,4.7,0:07:10,0.00%,0,$0.00 
Chapel Hill,desktop,6,1,7,28.57%,1.71,0:00:15,0.00%,0,$0.00 
Birmingham,mobile,5,1,7,57.14%,2,0:01:27,0.00%,0,$0.00 
Cary,desktop,5,3,5,80.00%,1.2,0:00:47,0.00%,0,$0.00 
Chapel Hill,mobile,4,1,4,75.00%,1.5,0:06:33,0.00%,0,$0.00 
Franklin,desktop,4,1,5,40.00%,2.4,0:09:31,0.00%,0,$0.00 
Washington,mobile,3,1,5,60.00%,1.6,0:00:21,0.00%,0,$0.00 
Charlotte,tablet,3,3,4,75.00%,1.25,0:00:13,0.00%,0,$0.00 
Creedmoor,tablet,3,0,3,33.33%,2.67,0:11:04,0.00%,0,$0.00 
Franklin,tablet,3,1,3,66.67%,1.33,0:01:14,0.00%,0,$0.00 
Greensboro,mobile,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,tablet,3,1,3,33.33%,1.67,0:01:05,0.00%,0,$0.00 
Wake Forest,tablet,3,0,5,40.00%,2.4,0:05:51,0.00%,0,$0.00 
Winston-Salem,desktop,3,1,3,66.67%,1.33,0:02:05,0.00%,0,$0.00 
New York,mobile,3,1,3,33.33%,2,0:01:02,0.00%,0,$0.00 
Washington,tablet,2,1,2,0.00%,2,0:16:29,0.00%,0,$0.00 
Chicago,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,mobile,2,1,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Creedmoor,desktop,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Creedmoor,mobile,2,0,4,25.00%,2,0:01:47,0.00%,0,$0.00 
Fayetteville,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,tablet,2,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Mebane,desktop,2,0,2,0.00%,2.5,0:00:16,0.00%,0,$0.00 
Mebane,tablet,2,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Sylva,mobile,2,0,3,33.33%,2.67,0:03:48,0.00%,0,$0.00 
Cincinnati,mobile,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Ashburn,desktop,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Blacksburg,mobile,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jasper,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Surprise,tablet,1,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 
Corona,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Middletown,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,desktop,1,0,1,0.00%,10,0:20:14,0.00%,0,$0.00 
Miami,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Perry,mobile,1,0,1,0.00%,2,0:24:00,0.00%,0,$0.00 
Tampa,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,desktop,1,0,2,0.00%,3.5,0:02:32,0.00%,0,$0.00 
Columbus,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,desktop,1,0,2,0.00%,2,0:00:08,0.00%,0,$0.00 
Marietta,mobile,1,0,1,0.00%,6,0:17:31,0.00%,0,$0.00 
Newnan,mobile,1,0,1,0.00%,6,0:04:35,0.00%,0,$0.00 
Richmond Hill,mobile,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Chicago,desktop,1,1,1,0.00%,2,0:00:16,0.00%,0,$0.00 
Kenner,mobile,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Detroit,mobile,1,1,1,0.00%,2,0:00:27,0.00%,0,$0.00 
Cape Girardeau,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,tablet,1,0,3,0.00%,2.33,0:10:08,0.00%,0,$0.00 
Charlotte,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Garner,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Greenville,desktop,1,0,1,0.00%,9,0:03:40,0.00%,0,$0.00 
Greenville,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Hillsborough,desktop,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 
Jacksonville,desktop,1,0,1,0.00%,3,0:02:46,0.00%,0,$0.00 
Knightdale,desktop,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Knightdale,mobile,1,0,1,0.00%,3,0:20:53,0.00%,0,$0.00 
Lexington,mobile,1,1,1,0.00%,4,0:26:09,0.00%,0,$0.00 
Morrisville,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,desktop,1,0,1,0.00%,2,0:24:19,0.00%,0,$0.00 
Oxford,mobile,1,0,1,0.00%,3,0:27:38,0.00%,0,$0.00 
Pittsboro,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsboro,tablet,1,1,1,0.00%,3,0:01:02,0.00%,0,$0.00 
Reidsville,mobile,1,1,2,50.00%,2,0:14:57,0.00%,0,$0.00 
Roxboro,tablet,1,0,1,0.00%,3,0:18:59,0.00%,0,$0.00 
Swannanoa,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,desktop,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,mobile,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Williamston,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilmington,desktop,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 
Winston-Salem,mobile,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Winston-Salem,tablet,1,0,1,0.00%,4,0:22:20,0.00%,0,$0.00 
Newburgh,tablet,1,0,1,0.00%,2,0:00:46,0.00%,0,$0.00 
Youngstown,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Allentown,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,desktop,1,1,4,25.00%,3,0:08:11,0.00%,0,$0.00 
