# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181202-20181202,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,myubc.org,73,23,89,17.98%,3.27,0:03:46,0.00%,0,$0.00 
Durham,google,55,16,67,50.75%,2.58,0:03:52,0.00%,0,$0.00 
Durham,(direct),48,16,60,61.67%,1.85,0:02:40,0.00%,0,$0.00 
Charlotte,google,18,9,28,50.00%,2.11,0:02:50,0.00%,0,$0.00 
Raleigh,google,17,7,22,50.00%,3.23,0:03:57,0.00%,0,$0.00 
Charlotte,myubc.org,16,7,20,35.00%,3.4,0:03:10,0.00%,0,$0.00 
Raleigh,myubc.org,13,1,18,33.33%,2.28,0:02:23,0.00%,0,$0.00 
Durham,bing,11,2,16,43.75%,2.25,0:05:27,0.00%,0,$0.00 
Atlanta,myubc.org,8,3,8,50.00%,3.38,0:01:10,0.00%,0,$0.00 
Charlotte,(direct),8,3,10,40.00%,5,0:05:46,0.00%,0,$0.00 
Raleigh,(direct),7,3,8,50.00%,2.38,0:04:14,0.00%,0,$0.00 
Atlanta,google,6,2,6,66.67%,2,0:01:42,0.00%,0,$0.00 
Durham,yahoo,5,3,7,42.86%,2.29,0:00:49,0.00%,0,$0.00 
Atlanta,(direct),4,3,5,60.00%,1.4,0:01:17,0.00%,0,$0.00 
Cary,myubc.org,4,1,4,25.00%,5,0:07:12,0.00%,0,$0.00 
Creedmoor,myubc.org,4,1,13,53.85%,1.54,0:00:21,0.00%,0,$0.00 
Franklin,(direct),4,4,4,75.00%,1.25,0:02:56,0.00%,0,$0.00 
Cary,google,2,0,2,50.00%,2,0:02:49,0.00%,0,$0.00 
Charlotte,yahoo,2,1,2,0.00%,3.5,0:07:33,0.00%,0,$0.00 
Creedmoor,google,2,1,3,66.67%,1.33,0:05:48,0.00%,0,$0.00 
Franklin,bing,2,1,5,60.00%,1.4,0:04:12,0.00%,0,$0.00 
Franklin,google,2,0,7,57.14%,1.43,0:04:14,0.00%,0,$0.00 
