# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180902-20180902,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,149,53,210,43.33%,2.45,0:04:48,0.00%,0,$0.00 
Charlotte,42,16,62,43.55%,2.65,0:05:57,0.00%,0,$0.00 
Raleigh,22,12,33,60.61%,2.15,0:01:47,0.00%,0,$0.00 
Atlanta,21,10,25,60.00%,2.32,0:02:57,0.00%,0,$0.00 
Franklin,10,2,11,45.45%,1.82,0:02:58,0.00%,0,$0.00 
Chapel Hill,8,4,12,16.67%,2,0:00:19,0.00%,0,$0.00 
Cary,6,2,9,11.11%,4.56,0:10:28,0.00%,0,$0.00 
Wake Forest,5,3,7,71.43%,1.29,0:00:15,0.00%,0,$0.00 
New York,5,3,7,57.14%,1.86,0:02:45,0.00%,0,$0.00 
(not set),4,3,5,80.00%,1.6,0:02:41,0.00%,0,$0.00 
Orlando,4,2,6,33.33%,3,0:02:57,0.00%,0,$0.00 
Hillsborough,4,1,6,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Mebane,4,1,4,0.00%,3,0:10:00,0.00%,0,$0.00 
Norfolk,4,1,4,0.00%,3.5,0:02:11,0.00%,0,$0.00 
Mobile,3,3,4,50.00%,1.75,0:00:38,0.00%,0,$0.00 
Savannah,3,1,7,0.00%,6,0:21:49,0.00%,0,$0.00 
Williamston,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,3,2,3,66.67%,1.67,0:05:35,0.00%,0,$0.00 
Fearrington,3,2,4,75.00%,1.25,0:00:02,0.00%,0,$0.00 
Friendly,3,2,3,0.00%,2.33,0:09:52,0.00%,0,$0.00 
Corona,2,1,2,0.00%,5.5,0:09:54,0.00%,0,$0.00 
Clayton,2,1,3,66.67%,2.67,0:09:08,0.00%,0,$0.00 
Creedmoor,2,0,3,33.33%,3,0:13:49,0.00%,0,$0.00 
Fayetteville,2,2,2,50.00%,2,0:00:49,0.00%,0,$0.00 
Goldsboro,2,2,2,50.00%,2.5,0:10:35,0.00%,0,$0.00 
Graham,2,0,2,0.00%,5.5,0:08:39,0.00%,0,$0.00 
Greensboro,2,1,3,33.33%,1.67,0:02:16,0.00%,0,$0.00 
Hickory,2,2,3,33.33%,1.67,0:00:32,0.00%,0,$0.00 
Roxboro,2,1,3,33.33%,3.67,0:06:24,0.00%,0,$0.00 
Sylva,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,2,1,4,25.00%,1.75,0:06:15,0.00%,0,$0.00 
Cincinnati,2,2,2,50.00%,1.5,0:01:34,0.00%,0,$0.00 
Carrollton,2,1,3,33.33%,5.33,0:06:39,0.00%,0,$0.00 
Saint Charles,2,2,2,0.00%,2,0:00:03,0.00%,0,$0.00 
Chandler,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Berkeley,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Oakland,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hartford,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Middletown,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,1,1,1,0.00%,7,0:09:48,0.00%,0,$0.00 
Miami Beach,1,0,1,0.00%,3,0:29:41,0.00%,0,$0.00 
Columbus,1,0,1,0.00%,2,0:00:25,0.00%,0,$0.00 
Honolulu,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Shreveport,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Billerica,1,0,7,100.00%,1,0:00:00,0.00%,0,$0.00 
Boston,1,0,3,66.67%,1.33,0:03:09,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Black Mountain,1,0,3,0.00%,2.33,0:01:51,0.00%,0,$0.00 
Cherokee,1,1,1,0.00%,10,0:08:18,0.00%,0,$0.00 
Clemmons,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hayesville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Kernersville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Murphy,1,0,1,0.00%,4,0:13:44,0.00%,0,$0.00 
Oxford,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Rocky Mount,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Salisbury,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Selma,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Timberlake,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,1,0,1,0.00%,2,0:01:24,0.00%,0,$0.00 
Cherry Hill,1,0,2,50.00%,1.5,0:01:46,0.00%,0,$0.00 
Mount Laurel,1,0,2,0.00%,4,0:06:22,0.00%,0,$0.00 
Newark,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Las Vegas,1,1,1,0.00%,3,0:02:14,0.00%,0,$0.00 
Newburgh,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Cleveland,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Canonsburg,1,1,1,0.00%,4,0:28:01,0.00%,0,$0.00 
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Conway,1,0,2,50.00%,1.5,0:02:17,0.00%,0,$0.00 
Myrtle Beach,1,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 
North Myrtle Beach,1,0,2,0.00%,6,0:11:51,0.00%,0,$0.00 
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dallas,1,0,2,50.00%,5,0:04:31,0.00%,0,$0.00 
Fort Worth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Houston,1,1,1,0.00%,3,0:00:20,0.00%,0,$0.00 
New Caney,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tyler,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,1,0,2,50.00%,1.5,0:03:08,0.00%,0,$0.00 
Danville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hampton,1,1,1,0.00%,2,0:01:08,0.00%,0,$0.00 
Virginia Beach,1,0,1,0.00%,12,1:03:04,0.00%,0,$0.00 
Holden Beach,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Richlands,1,0,2,0.00%,2.5,0:09:52,0.00%,0,$0.00 
Saxapahaw,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Spokane Valley,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,391,165,542,45.94%,2.42,0:04:26,0.00%,0,$0.00 
