# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181223-20181223,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018122309,54,21,101,26.73%,3.11,0:05:46,0.00%,0,$0.00 
Durham,2018122310,44,12,55,47.27%,2.96,0:03:23,0.00%,0,$0.00 
Durham,2018122311,33,8,45,20.00%,4.09,0:05:40,0.00%,0,$0.00 
Durham,2018122307,30,7,45,26.67%,4.07,0:06:48,0.00%,0,$0.00 
Durham,2018122308,29,9,41,56.10%,2.32,0:02:35,0.00%,0,$0.00 
Durham,2018122312,16,6,15,53.33%,2.47,0:00:25,0.00%,0,$0.00 
Charlotte,2018122309,13,3,17,17.65%,3.71,0:04:58,0.00%,0,$0.00 
Charlotte,2018122311,11,5,15,26.67%,2.8,0:02:44,0.00%,0,$0.00 
Charlotte,2018122308,8,2,6,33.33%,3.67,0:10:23,0.00%,0,$0.00 
Charlotte,2018122307,7,1,7,42.86%,7.43,0:14:32,0.00%,0,$0.00 
Raleigh,2018122309,7,0,7,42.86%,3.86,0:07:09,0.00%,0,$0.00 
Atlanta,2018122311,6,0,8,50.00%,2.25,0:01:09,0.00%,0,$0.00 
Charlotte,2018122310,6,0,6,33.33%,4.5,0:05:53,0.00%,0,$0.00 
Raleigh,2018122307,6,1,10,10.00%,7.1,0:12:48,0.00%,0,$0.00 
Raleigh,2018122311,6,3,6,33.33%,5,0:04:36,0.00%,0,$0.00 
Charlotte,2018122313,5,0,5,40.00%,1.8,0:02:09,0.00%,0,$0.00 
Raleigh,2018122308,5,0,5,20.00%,6.6,0:17:50,0.00%,0,$0.00 
Raleigh,2018122310,5,2,5,60.00%,3,0:01:22,0.00%,0,$0.00 
Atlanta,2018122309,4,3,8,75.00%,1.62,0:02:38,0.00%,0,$0.00 
Atlanta,2018122312,4,0,4,25.00%,2.5,0:00:55,0.00%,0,$0.00 
Atlanta,2018122315,4,2,5,40.00%,2,0:01:32,0.00%,0,$0.00 
Charlotte,2018122312,4,0,3,100.00%,1.33,0:00:00,0.00%,0,$0.00 
Durham,2018122314,4,0,5,80.00%,1.4,0:00:16,0.00%,0,$0.00 
Durham,2018122322,4,1,4,25.00%,6.75,0:03:47,0.00%,0,$0.00 
Franklin,2018122307,4,1,6,16.67%,4.33,0:17:12,0.00%,0,$0.00 
Franklin,2018122308,4,1,2,50.00%,5.5,0:00:34,0.00%,0,$0.00 
Atlanta,2018122308,3,1,6,33.33%,3.67,0:01:45,0.00%,0,$0.00 
Cary,2018122311,3,1,5,60.00%,1.6,0:00:18,0.00%,0,$0.00 
Charlotte,2018122314,3,2,3,66.67%,2.67,0:00:24,0.00%,0,$0.00 
Creedmoor,2018122317,3,2,3,33.33%,2,0:00:56,0.00%,0,$0.00 
Durham,2018122313,3,1,3,0.00%,4,0:06:57,0.00%,0,$0.00 
Durham,2018122315,3,1,4,25.00%,3.25,0:04:20,0.00%,0,$0.00 
Mebane,2018122309,3,1,3,66.67%,2.67,0:02:04,0.00%,0,$0.00 
Birmingham,2018122307,2,2,2,0.00%,1.5,0:01:50,0.00%,0,$0.00 
Columbus,2018122310,2,1,2,0.00%,2.5,0:00:19,0.00%,0,$0.00 
Columbus,2018122321,2,2,2,50.00%,2,0:00:22,0.00%,0,$0.00 
New Orleans,2018122308,2,1,1,100.00%,2,0:00:00,0.00%,0,$0.00 
Senatobia,2018122309,2,1,4,0.00%,3.25,0:04:43,0.00%,0,$0.00 
Cary,2018122310,2,1,1,100.00%,2,0:00:00,0.00%,0,$0.00 
Chapel Hill,2018122308,2,0,1,0.00%,9,0:39:08,0.00%,0,$0.00 
Chapel Hill,2018122309,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Chapel Hill,2018122310,2,1,2,50.00%,1.5,0:00:13,0.00%,0,$0.00 
Chapel Hill,2018122312,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018122318,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018122321,2,0,2,50.00%,1.5,0:02:18,0.00%,0,$0.00 
Currituck,2018122307,2,0,3,33.33%,7.33,0:18:47,0.00%,0,$0.00 
Currituck,2018122308,2,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Currituck,2018122309,2,1,2,0.00%,5,0:00:24,0.00%,0,$0.00 
Durham,2018122316,2,0,2,0.00%,4.5,0:00:14,0.00%,0,$0.00 
Durham,2018122317,2,0,2,50.00%,1.5,0:00:22,0.00%,0,$0.00 
Durham,2018122318,2,0,3,33.33%,2,0:00:29,0.00%,0,$0.00 
Durham,2018122319,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018122320,2,0,3,33.33%,2,0:01:09,0.00%,0,$0.00 
Durham,2018122321,2,1,2,50.00%,2,0:02:44,0.00%,0,$0.00 
Durham,2018122323,2,0,2,0.00%,7,0:01:47,0.00%,0,$0.00 
Franklin,2018122312,2,0,1,0.00%,4,0:03:45,0.00%,0,$0.00 
Greensboro,2018122309,2,2,4,75.00%,3,0:03:25,0.00%,0,$0.00 
Raleigh,2018122312,2,0,4,50.00%,1.5,0:00:22,0.00%,0,$0.00 
Raleigh,2018122313,2,0,2,50.00%,1.5,0:09:30,0.00%,0,$0.00 
Raleigh,2018122314,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,2018122315,2,0,2,50.00%,3.5,0:00:30,0.00%,0,$0.00 
Raleigh,2018122316,2,0,2,50.00%,6.5,0:04:47,0.00%,0,$0.00 
Wake Forest,2018122309,2,1,4,25.00%,3.25,0:02:56,0.00%,0,$0.00 
Winston-Salem,2018122308,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,2018122307,2,0,2,50.00%,3,0:08:19,0.00%,0,$0.00 
Dallas,2018122311,2,1,4,50.00%,4,0:02:31,0.00%,0,$0.00 
Houston,2018122313,2,1,2,0.00%,4.5,0:01:27,0.00%,0,$0.00 
Tega Cay,2018122307,2,2,2,50.00%,2.5,0:01:25,0.00%,0,$0.00 
Tysons,2018122307,2,0,4,25.00%,3,0:07:57,0.00%,0,$0.00 
Tysons,2018122308,2,1,1,100.00%,3,0:00:00,0.00%,0,$0.00 
Birmingham,2018122308,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Birmingham,2018122309,1,1,2,0.00%,2,0:00:10,0.00%,0,$0.00 
Birmingham,2018122310,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,2018122311,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,2018122316,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,2018122307,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 
New Castle,2018122309,1,0,1,0.00%,5,0:03:30,0.00%,0,$0.00 
Orlando,2018122311,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018122310,1,0,4,25.00%,3.75,0:03:14,0.00%,0,$0.00 
Atlanta,2018122313,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018122318,1,0,2,50.00%,2,0:00:26,0.00%,0,$0.00 
Columbus,2018122312,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hiram,2018122314,1,0,1,0.00%,4,0:24:22,0.00%,0,$0.00 
Hiram,2018122315,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
New Orleans,2018122307,1,0,2,0.00%,4.5,0:19:23,0.00%,0,$0.00 
New Orleans,2018122309,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Detroit,2018122310,1,0,1,0.00%,2,0:00:54,0.00%,0,$0.00 
Detroit,2018122311,1,0,1,0.00%,3,0:29:54,0.00%,0,$0.00 
Detroit,2018122312,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Pontotoc,2018122309,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Black Mountain,2018122308,1,0,3,33.33%,2,0:01:08,0.00%,0,$0.00 
Brasstown,2018122309,1,0,2,0.00%,4,0:05:02,0.00%,0,$0.00 
Burlington,2018122311,1,0,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 
Carrboro,2018122308,1,0,1,0.00%,2,0:06:10,0.00%,0,$0.00 
Cary,2018122307,1,0,5,0.00%,3.4,0:04:01,0.00%,0,$0.00 
